Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsContested,ReceptionsHero
D'Onta Foreman,CLV,RB,10,No,No,Yes,6,4,No,No,3,0.75,0.6667,2,0.5,14,9,2,-2,,0.1667,-0.5,58.3,2.3333,3.5,-2.315,7,4.5,1,6.6547,6.6547,0.4,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,11,,,0.8333,,,,1,0.25,,,
Deebo Samuel,SF,WR,21,No,No,No,20,,No,No,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.6,,,,,,,,,,
Devin Duvernay,JAX,WR,6,No,Yes,No,6,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5,,,,,,,,,,
Mike Gesicki,CIN,TE,33,No,Yes,No,33,1,Yes,Yes,1,1,0.0303,1,1,12,9,1,3,0.1212,0.697,3,116.7,0.3636,12,5.6782,12,9,1,1.3604,1.3604,0.0303,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,17,0.1818,,,1,,,,,,,
Nikko Remigio,KC,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,
Ryan Flournoy,DAL,WR,6,No,No,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,
Dalvin Cook,DAL,RB,2,No,Yes,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Hayden Hurst,LAC,TE,7,No,No,No,7,,No,No,,,,,,,,,,0.1429,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.2857,,,,,,,,,,
Clyde Edwards-Helaire,NO,RB,1,Yes,Yes,No,1,1,No,Yes,1,1,1,1,1,8,15,2,-7,,,-7,100,8,8,3.4713,8,15,2,1.2479,1.2479,1,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,2,,,1,,1,1,,,,,
Zack Moss,CIN,RB,20,No,No,No,20,16,No,Yes,16,1,0.8,14,0.875,113,120,45,-3,0.05,,-0.1875,96.1,5.65,7.0625,1.0368,8.0714,8.5714,3.2143,22.7776,22.7776,0.8,11.3,25.3,18.3,32.3,25.3,28.3,21.3,25.3,25.3,25.3,18.3,25.3,25.3,,8,0.05,1,0.9,5,1,0.0714,1,0.0625,,,
Tyreek Hill,MIA,WR,46,Yes,Yes,No,45,2,No,Yes,2,1,0.0444,2,1,6,9,2,-3,,0.3778,-1.5,79.2,0.1333,3,-2.8345,3,4.5,1,2.9956,2.9956,0.0435,0.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,17,0.6222,,,1,,,,,,,
Demarcus Robinson,LA,WR,28,Yes,Yes,Yes,28,,No,Yes,,,,,,,,,,,0.1786,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8214,,,,,,,,,,
Travis Kelce,KC,TE,37,No,Yes,No,37,5,No,No,5,1,0.1351,5,1,19,17,5,2,0.4324,0.3514,0.4,82.5,0.5135,3.8,-2.1339,3.8,3.4,1,8.2476,8.2476,0.1351,1.9,6.9,4.4,6.9,9.4,6.9,4.4,6.9,6.9,6.9,4.4,9.4,6.9,,16,0.2162,,,,,,,,,,
Cole Kmet,CHI,TE,29,No,No,No,25,1,No,Yes,1,1,0.04,1,1,3,1,,2,0.28,0.52,2,79.2,0.12,3,-3.3701,3,1,,1.4126,1.4126,0.0345,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,17,0.04,,0.16,,,,,,,,
Brenton Strange,JAX,TE,26,No,Yes,No,23,,No,Yes,,,,,,,,,,0.5217,0.3478,,,,,,,,,1.4959,1.4959,,,,,,,,,,,,,,,,17,0.087,,0.0435,,,,,,,,
Rhamondre Stevenson,NE,RB,23,No,Yes,Yes,19,16,No,Yes,16,1,0.8421,15,0.9375,66,112,25,-51,,,-3.1875,83.9,3.4737,4.125,-1.5763,4.4,7.4667,1.6667,29.7792,29.7792,0.6957,6.6,21.6,14.1,29.1,21.6,21.6,14.1,21.6,21.6,21.6,14.1,21.6,21.6,4,15,0.0526,,0.9474,3,4,0.2667,1,0.0625,,,
Kylen Granson,IND,TE,10,No,Yes,No,9,,No,Yes,,,,,,,,,,0.5556,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
John Ross,PHI,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Devin Thompkins,CAR,WR,3,No,No,Yes,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Terrace Marshall,LV,WR,6,No,No,No,6,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.6667,,,,,,,,,,
Mike Williams,PIT,WR,25,No,Yes,No,24,,Yes,Yes,,,,,,,,,,,0.2083,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.7917,,,,,,,,,,
Derius Davis,LAC,WR,7,No,No,No,7,4,No,No,4,1,0.5714,4,1,24,50,12,-26,,0.8571,-6.5,91.7,3.4286,6,2.673,6,12.5,3,6.0586,6.0586,0.5714,2.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,,15,0.1429,,,1,2,0.5,,,,,
Kimani Vidal,LAC,RB,5,No,No,No,5,3,No,No,3,1,0.6,2,0.6667,12,10,3,4,,0.2,1.3333,74.3,2.4,4,-2.241,6,5,1.5,6.0611,6.0611,0.6,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,10,,1,0.8,,,,,,,,
Mason Tipton,NO,WR,32,No,No,No,32,1,No,Yes,1,1,0.0312,1,1,6,5,1,1,,0.4062,1,91.7,0.1875,6,0.8789,6,5,1,1.3977,1.3977,0.0312,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,11,0.5625,,0.0312,,,,,,,,
Isaac Guerendo,SF,RB,5,Yes,Yes,No,5,3,No,No,3,1,0.6,3,1,38,38,10,,,,,118.8,7.6,12.6667,6.4083,12.6667,12.6667,3.3333,4.4021,4.4021,0.6,3.8,6.8,5.3,8.3,6.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,,16,,,1,2,,,,,,,
Jalin Hyatt,NYG,WR,15,No,Yes,No,15,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,
David Njoku,CLV,TE,18,No,Yes,Yes,18,6,No,Yes,6,1,0.3333,5,0.8333,9,6,2,6,0.7222,0.2222,1,79.2,0.5,1.5,-4.0867,1.8,1.2,0.4,8.9507,8.9507,0.3333,0.9,5.9,3.4,5.9,8.4,5.9,3.4,5.9,5.9,5.9,3.4,8.4,5.9,,11,0.0556,,,,,,1,0.1667,,,
Brock Bowers,LV,TE,48,No,No,No,47,5,No,No,3,0.6,0.1064,3,0.6,24,19,2,6,0.1702,0.5319,1.2,72.1,0.5106,4.8,-0.8391,8,6.3333,0.6667,6.9385,6.9385,0.1042,2.4,5.4,3.9,5.4,6.9,5.4,3.9,5.4,5.4,5.4,3.9,6.9,5.4,,17,0.2766,,0.0213,,,,,,,,
Jamaal Williams,NO,RB,10,Yes,Yes,No,8,6,No,Yes,6,1,0.75,6,1,47,40,12,7,,0.125,1.1667,99.3,5.875,7.8333,1.5926,7.8333,6.6667,2,8.1219,8.1219,0.6,4.7,10.7,7.7,13.7,10.7,10.7,7.7,10.7,10.7,10.7,7.7,10.7,10.7,,14,,,0.875,3,,,,,,,
Kenny Yeboah,NYJ,TE,4,Yes,Yes,No,4,1,No,Yes,1,1,0.25,1,1,7,6,1,1,1,,1,95.8,1.75,7,1.2246,7,6,1,1.3977,1.3977,0.25,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,9,,,,,,,,,,,
A.J. Brown,PHI,WR,23,Yes,Yes,No,23,,No,Yes,,,,,,,,,,,0.2609,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.7391,,,,,,,,,,
Luke McCaffrey,WAS,WR,13,No,No,No,13,3,No,Yes,3,1,0.2308,3,1,14,16,6,-2,,0.8462,-0.6667,86.1,1.0769,4.6667,-0.205,4.6667,5.3333,2,4.3443,4.3443,0.2308,1.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,,17,0.1538,,,,1,0.3333,,,,,
Brock Wright,DET,TE,21,Yes,No,Yes,18,1,No,Yes,1,1,0.0556,1,1,10,5,2,5,0.8333,0.0556,5,108.3,0.5556,10,3.52,10,5,2,1.4352,1.4352,0.0476,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,,17,0.0556,,0.0556,1,,,,,,,
Brandin Cooks,DAL,WR,19,No,No,No,19,,No,Yes,,,,,,,,,,,0.2105,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.7895,,,,,,,,,,
Greg Dulcich,NYG,TE,10,No,Yes,No,8,,No,Yes,,,,,,,,,,0.5,0.25,,,,,,,,,1.6115,1.6115,,,,,,,,,,,,,,,,9,0.25,,,,,,,,,,
Ryan Miller,TB,WR,11,Yes,Yes,No,11,,No,Yes,,,,,,,,,,,0.4545,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5455,,,,,,,,,,
Justin Jefferson,MIN,WR,29,Yes,No,Yes,28,3,No,Yes,3,1,0.1071,3,1,13,23,,-10,,0.3214,-3.3333,84.7,0.4643,4.3333,-0.4556,4.3333,7.6667,,4.6015,4.6015,0.1034,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,1,17,0.6786,,,,,,,,,,
Rashid Shaheed,NO,WR,24,No,No,No,24,,No,Yes,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.8333,,,,,,,,,,
Xavier Legette,CAR,WR,36,No,Yes,No,35,1,No,Yes,1,1,0.0286,1,1,-3,,,-3,,0.4,-3,79.2,-0.0857,-3,-7.9408,-3,,,2.2389,2.2389,0.0278,-0.3,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,1,16,0.6,,,,,,,,,,
Johnny Mundt,MIN,TE,13,Yes,No,Yes,12,5,No,Yes,4,0.8,0.4167,4,0.8,18,14,7,3,0.5833,0.25,0.6,81.7,1.5,3.6,-1.8594,4.5,3.5,1.75,6.7801,6.7801,0.3846,1.8,5.8,3.8,5.8,7.8,5.8,3.8,5.8,5.8,5.8,3.8,7.8,5.8,1,17,0.1667,,,,1,0.25,,,,,
Durham Smythe,MIA,TE,12,Yes,Yes,No,6,,No,Yes,,,,,,,,,,0.5,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3333,,,,,,,,,,
Kendric Pryor,CIN,WR,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Alex Bachman,LV,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,
Tony Pollard,TEN,RB,25,No,Yes,No,21,17,No,No,13,0.7647,0.8095,10,0.5882,30,41,13,-23,0.0476,0.0952,-1.3529,63.6,1.4286,1.7647,-4.1646,3,4.1,1.3,28.1393,28.1393,0.68,3,13,8,18,13,13,8,13,13,13,8,13,13,,16,,,0.8571,1,,,3,0.1765,,,
Romeo Doubs,GB,WR,22,No,Yes,No,22,,No,Yes,,,,,,,,,,,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.8636,,,,,,,,,,
Ray Davis,BUF,RB,7,No,No,No,7,6,No,Yes,6,1,0.8571,6,1,32,47,14,-15,,,-2.5,88.9,4.5714,5.3333,-0.2409,5.3333,7.8333,2.3333,8.6851,8.6851,0.8571,3.2,9.2,6.2,12.2,9.2,9.2,6.2,9.2,9.2,9.2,6.2,9.2,9.2,,17,,,1,2,,,,,,,
JuJu Smith-Schuster,KC,WR,16,Yes,No,No,16,,No,Yes,,,,,,,,,,0.0625,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.625,,,,,,,,,,
Ladd McConkey,LAC,WR,31,No,No,No,31,,No,No,,,,,,,,,,,0.6129,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.3871,,,,,,,,,,
Brenden Rice,LAC,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Chig Okonkwo,TEN,TE,26,No,Yes,No,24,3,No,No,3,1,0.125,3,1,13,21,11,-8,0.5,0.375,-2.6667,84.7,0.5417,4.3333,-1.4413,4.3333,7,3.6667,5.0097,5.0097,0.1154,1.3,4.3,2.8,4.3,5.8,4.3,2.8,4.3,4.3,4.3,2.8,5.8,4.3,,17,0.0833,,0.0417,2,3,1,,,,,
Gerald Everett,CHI,TE,11,No,No,No,8,2,No,Yes,2,1,0.25,2,1,11,12,4,-1,0.625,0.25,-0.5,89.6,1.375,5.5,-0.6176,5.5,6,2,2.641,2.641,0.1818,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,,17,,,0.125,,,,,,,,
Lucas Krull,DEN,TE,27,Yes,No,No,27,2,No,Yes,2,1,0.0741,2,1,13,12,3,1,0.6667,0.2593,0.5,93.8,0.4815,6.5,0.8643,6.5,6,1.5,2.5605,2.5605,0.0741,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,,13,0.0741,,,,,,,,,,
Tyler Johnson,LA,WR,13,Yes,Yes,Yes,12,1,No,Yes,1,1,0.0833,1,1,20,26,23,-6,,0.6667,-6,118.8,1.6667,20,16.2581,20,26,23,1.577,1.577,0.0769,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,,15,0.3333,,,1,1,1,,,,,
Ja'Lynn Polk,NE,WR,17,No,Yes,Yes,17,,No,Yes,,,,,,,,,,,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8824,,,,,,,,,,
Jared Wiley,KC,TE,2,Yes,No,No,2,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
James Cook,BUF,RB,24,No,No,No,22,18,No,Yes,18,1,0.8182,17,0.9444,130,155,41,-24,,,-1.3333,115.3,5.9091,7.2222,1.4215,7.6471,9.1176,2.4118,27.1108,27.1108,0.75,19,36,27.5,44.5,36,39,30.5,36,36,36,27.5,36,36,3,16,0.0455,,0.9545,6,2,0.1176,1,0.0556,1,,
Treylon Burks,TEN,WR,6,No,No,No,6,,No,Yes,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.8333,,,,,,,,,,
Dalton Schultz,HST,TE,43,No,Yes,No,40,8,No,No,6,0.75,0.2,6,0.75,47,30,8,20,0.75,0.125,2.5,89.1,1.175,5.875,-0.1917,7.8333,5,1.3333,13.172,13.172,0.186,4.7,10.7,7.7,10.7,13.7,10.7,7.7,10.7,10.7,10.7,7.7,13.7,10.7,1,17,0.075,,0.05,1,,,,,,,
Anthony Gould,IND,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,
George Kittle,SF,TE,25,Yes,Yes,No,23,6,No,No,6,1,0.2609,5,0.8333,33,39,15,-11,0.6522,0.1739,-1.8333,89.6,1.4348,5.5,0.0397,6.6,7.8,3,9.0781,9.0781,0.24,3.3,8.3,5.8,8.3,10.8,8.3,5.8,8.3,8.3,8.3,5.8,10.8,8.3,1,15,0.087,,0.087,1,1,0.2,1,0.1667,,,
Keenan Allen,CHI,WR,24,No,No,No,24,,No,Yes,,,,,,,,,,,0.4167,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.5833,,,,,,,,,,
Isaiah Likely,BLT,TE,14,No,No,Yes,13,4,No,No,4,1,0.3077,4,1,15,18,4,-3,0.6154,0.2308,-0.75,82.3,1.1538,3.75,-1.7077,3.75,4.5,1,5.5509,5.5509,0.2857,1.5,5.5,3.5,5.5,7.5,5.5,3.5,5.5,5.5,5.5,3.5,7.5,5.5,,16,0.1538,,,,,,,,,,
Noah Fant,SEA,TE,29,Yes,Yes,Yes,28,7,No,Yes,6,0.8571,0.25,6,0.8571,64,44,17,22,0.3571,0.5,3.1429,104.8,2.2857,9.1429,2.7914,10.6667,7.3333,2.8333,9.9125,9.9125,0.2414,6.4,12.4,9.4,12.4,15.4,12.4,9.4,12.4,12.4,12.4,9.4,15.4,12.4,,14,0.0357,,0.1071,2,1,0.1667,,,,,
CeeDee Lamb,DAL,WR,34,Yes,Yes,No,34,1,No,Yes,1,1,0.0294,1,1,4,1,,3,,0.6471,3,83.3,0.1176,4,-1.4499,4,1,,1.4062,1.4062,0.0294,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,16,0.3529,,,,,,,,,,
Peyton Hendershot,KC,TE,4,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,9,9,,,0.75,0.25,,104.2,2.25,9,3.711,9,9,,1.4339,1.4339,0.25,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,7,,,,,1,1,,,,,
Jordan Akins,CLV,TE,18,No,No,Yes,17,5,No,No,4,0.8,0.2941,4,0.8,41,36,6,9,0.7647,0.1765,1.8,100.8,2.4118,8.2,2.3543,10.25,9,1.5,6.8633,6.8633,0.2778,4.1,8.1,6.1,8.1,10.1,8.1,6.1,8.1,8.1,8.1,6.1,10.1,8.1,,17,0.0588,,,2,,,,,,,
