Name,Team,POS,RTE,TGT,AY,REC,YDS,YAC
Harrison Bryant,HST,TE,4,2,22,,,
Tylan Wallace,BLT,WR,13,2,40,1,14,3
Jonnu Smith,PIT,TE,38,7,41,5,37,34
Adam Thielen,PIT,WR,24,6,68,4,43,13
Elijah Higgins,ARZ,TE,76,8,15,7,30,21
Braelon Allen,NYJ,RB,1,,,,,
Josiah Deguara,ARZ,TE,12,1,5,1,6,1
David Moore,CAR,WR,7,,,,,
Amon-Ra St. Brown,DET,WR,69,21,197,16,162,62
Chris Moore,WAS,WR,24,,,,,
Tutu Atwell,LA,WR,23,3,33,1,19,6
Isaiah Williams,NYJ,WR,31,7,10,6,44,39
Josh Palmer,BUF,WR,21,4,89,3,66,4
Charlie Woerner,ATL,TE,21,4,11,4,33,22
Mason Kinsey,TEN,WR,4,,,,,
Omarion Hampton,LAC,RB,25,11,-30,11,68,98
Corey Kiner,ARZ,RB,4,1,4,1,4,
Jeff Wilson,MIA,RB,1,,,,,
Kameron Johnson,TB,WR,8,,,,,
Dyami Brown,JAX,WR,27,9,148,5,36,6
Luther Burden,CHI,WR,33,8,109,7,118,32
Garrett Wilson,NYJ,WR,26,12,110,7,93,29
Blake Whiteheart,CLV,TE,16,2,7,,,
Cameron Latu,PHI,TE,4,,,,,
Chris Manhertz,NYG,TE,2,1,1,1,7,6
Mason Taylor,NYJ,TE,39,6,49,4,31,15
Emanuel Wilson,GB,RB,23,5,-9,4,28,32
Quentin Johnston,LAC,WR,70,9,177,5,61,11
Xavier Worthy,KC,WR,65,14,148,10,103,45
Rachaad White,TB,RB,37,8,-30,8,49,79
Cam Grandy,CIN,TE,1,,,,,
Elijah Moore,BUF,WR,7,1,-6,1,-3,3
Malachi Corley,CLV,WR,6,,,,,
AJ Barner,SEA,TE,63,8,37,7,56,23
Zach Charbonnet,SEA,RB,36,7,7,5,35,34
Chuba Hubbard,CAR,RB,43,9,-33,8,55,79
Derrick Henry,BLT,RB,16,4,-5,4,16,21
Robert Tonyan,KC,TE,6,,,,,
Jared Wayne,HST,WR,1,,,,,
Sean McKeon,IND,TE,1,,,,,
Kareem Hunt,KC,RB,28,4,-10,3,28,37
Ty Johnson,BUF,RB,21,3,-8,3,17,25
Van Jefferson,TEN,WR,48,5,64,,,
Elic Ayomanor,TEN,WR,65,13,194,3,33,12
Andre Baccellia,ARZ,WR,22,1,6,1,5,-1
Bijan Robinson,ATL,RB,53,16,34,12,96,89
Jaleel McLaughlin,DEN,RB,3,,,,,
LeQuint Allen,JAX,RB,26,3,-2,3,20,22
Calvin Austin,PIT,WR,40,6,64,6,87,23
Colston Loveland,CHI,TE,47,8,48,7,46,22
Ronnie Bell,NO,WR,8,2,31,2,23,1
Isiah Pacheco,KC,RB,47,10,-10,9,48,57
Pat Freiermuth,PIT,TE,49,12,64,10,103,54
Darren Waller,MIA,TE,23,4,54,2,33,16
Stefon Diggs,NE,WR,42,11,106,11,166,60
Jaydon Blue,DAL,RB,7,,,,,
Ashton Jeanty,LV,RB,60,14,-21,10,46,68
Kyle Monangai,CHI,RB,25,4,11,3,18,12
Ben Sinnott,WAS,TE,16,1,25,,,
Zay Jones,ARZ,WR,33,2,39,2,48,9
Jaylin Noel,HST,WR,22,5,67,4,67,13
Andrei Iosivas,CIN,WR,51,4,18,2,20,8
Isaac TeSlaa,DET,WR,39,4,63,3,36,4
Allen Lazard,NYJ,WR,14,,,,,
Hunter Renfrow,CAR,WR,27,5,37,3,12,6
Darnell Mooney,ATL,WR,57,7,96,5,89,16
Jeremy Ruckert,NYJ,TE,19,,,,,
Kalif Raymond,DET,WR,24,5,38,5,65,27
Curtis Samuel,BUF,WR,8,,,,,
Tanner Hudson,CIN,TE,12,5,20,5,44,24
Najee Harris,LAC,RB,4,,,,,
Chase Brown,CIN,RB,40,8,-23,6,9,28
Daniel Bellinger,NYG,TE,22,5,29,4,37,20
Dylan Drummond,ATL,WR,10,3,41,2,6,3
Drew Sample,CIN,TE,17,2,-4,2,7,11
Austin Ekeler,WAS,RB,2,,,,,
Devontez Walker,BLT,WR,5,1,37,,,
Malik Davis,DAL,RB,14,,,,,
Marcedes Lewis,DEN,TE,1,,,,,
Emeka Egbuka,TB,WR,81,27,395,15,260,105
Dontayvion Wicks,GB,WR,32,6,55,4,57,19
Dawson Knox,BUF,TE,32,5,46,4,36,11
Noah Brown,WAS,WR,11,1,27,1,28,1
John Bates,WAS,TE,21,2,2,2,17,15
Trey McBride,ARZ,TE,144,36,237,28,262,144
Cam Skattebo,NYG,RB,17,7,3,7,73,70
Dont'e Thornton,LV,WR,40,2,41,,,
Will Shipley,PHI,RB,13,1,-5,1,3,8
Kyren Williams,LA,RB,64,11,37,9,63,33
Payne Durham,TB,TE,11,2,-2,1,11,11
Tucker Kraft,GB,TE,23,3,15,3,43,28
Raheem Mostert,LV,RB,13,2,-6,2,13,19
Jalen Coker,CAR,WR,54,7,80,6,79,17
Dallas Goedert,PHI,TE,66,12,81,10,74,15
Cedric Tillman,CLV,WR,39,4,30,1,4,-1
Arian Smith,NYJ,WR,27,,,,,
Marvin Mims,DEN,WR,50,10,169,6,35,31
Calvin Ridley,TEN,WR,18,5,58,3,39,7
Harold Fannin,CLV,TE,65,22,116,14,164,84
Chris Godwin,TB,WR,24,4,38,3,56,35
Terry McLaurin,WAS,WR,28,6,56,4,37,3
TreVeyon Henderson,NE,RB,34,10,-22,10,71,93
