Name,Team,POS,RTE,TGT,AY,REC,YDS,YAC
Tylan Wallace,BLT,WR,5,1,31,,,
Jonnu Smith,PIT,TE,11,2,-2,2,5,7
Adam Thielen,PIT,WR,4,1,2,1,4,2
Elijah Higgins,ARZ,TE,4,3,16,2,18,5
Amon-Ra St. Brown,DET,WR,31,16,72,9,91,61
Chris Moore,WAS,WR,7,1,34,,,
Tutu Atwell,LA,WR,3,,,,,
Isaiah Williams,NYJ,WR,6,,,,,
Josh Palmer,BUF,WR,9,3,17,1,8,3
Antonio Gibson,NE,RB,1,,,,,
Charlie Woerner,ATL,TE,5,1,-7,1,-5,2
Omarion Hampton,LAC,RB,4,1,,1,4,4
Dyami Brown,JAX,WR,2,1,4,,,
Luther Burden,CHI,WR,11,2,3,1,-2,1
Garrett Wilson,NYJ,WR,9,5,52,4,47,7
Blake Whiteheart,CLV,TE,2,,,,,
Chris Manhertz,NYG,TE,1,,,,,
Mason Taylor,NYJ,TE,15,4,21,2,7,1
Emanuel Wilson,GB,RB,1,,,,,
Quentin Johnston,LAC,WR,15,4,54,3,50,6
Xavier Worthy,KC,WR,14,2,32,,,
Rachaad White,TB,RB,4,,,,,
Cam Grandy,CIN,TE,1,,,,,
Elijah Moore,BUF,WR,2,,,,,
Malachi Corley,CLV,WR,1,,,,,
AJ Barner,SEA,TE,7,2,13,1,2,
Zach Charbonnet,SEA,RB,2,,,,,
Chuba Hubbard,CAR,RB,4,2,-9,2,-5,4
Derrick Henry,BLT,RB,6,,,,,
Kareem Hunt,KC,RB,8,2,,1,13,9
Ty Johnson,BUF,RB,3,,,,,
Van Jefferson,TEN,WR,7,,,,,
Elic Ayomanor,TEN,WR,9,2,-3,,,
Bijan Robinson,ATL,RB,11,3,9,2,2,
LeQuint Allen,JAX,RB,6,1,-2,1,3,5
Colston Loveland,CHI,TE,19,1,6,1,9,3
Calvin Austin,PIT,WR,5,2,11,1,19,13
Isiah Pacheco,KC,RB,6,2,-3,1,5,5
Pat Freiermuth,PIT,TE,10,,,,,
Darren Waller,MIA,TE,4,2,22,2,13,
Stefon Diggs,NE,WR,18,3,27,1,1,
Ashton Jeanty,LV,RB,6,2,-9,2,26,35
Kyle Monangai,CHI,RB,5,1,,1,7,7
Ben Sinnott,WAS,TE,4,1,22,1,36,14
Zay Jones,ARZ,WR,3,,,,,
Jaylin Noel,HST,WR,10,3,27,1,4,6
Andrei Iosivas,CIN,WR,12,,,,,
Isaac TeSlaa,DET,WR,17,1,18,,,
Allen Lazard,NYJ,WR,7,,,,,
Hunter Renfrow,CAR,WR,3,1,5,1,1,
Darnell Mooney,ATL,WR,15,2,16,1,6,8
Jeremy Ruckert,NYJ,TE,6,1,8,,,
Kalif Raymond,DET,WR,12,,,,,
Curtis Samuel,BUF,WR,2,,,,,
Tanner Hudson,CIN,TE,3,1,12,,,
Najee Harris,LAC,RB,1,,,,,
Chase Brown,CIN,RB,6,2,7,,,
Daniel Bellinger,NYG,TE,10,,,,,
Dylan Drummond,ATL,WR,2,1,-4,1,3,7
Drew Sample,CIN,TE,6,,,,,
Devontez Walker,BLT,WR,6,2,29,2,40,20
Malik Davis,DAL,RB,1,,,,,
Dawson Knox,BUF,TE,18,6,21,2,3,4
Noah Brown,WAS,WR,4,,,,,
Emeka Egbuka,TB,WR,6,1,17,,,
Dontayvion Wicks,GB,WR,2,1,,1,1,1
John Bates,WAS,TE,8,2,11,2,4,2
Trey McBride,ARZ,TE,14,4,22,4,11,-1
Cam Skattebo,NYG,RB,5,1,-1,,,
Dont'e Thornton,LV,WR,7,1,37,1,36,-1
Will Shipley,PHI,RB,2,,,,,
Kyren Williams,LA,RB,6,,,,,
Payne Durham,TB,TE,2,,,,,
Tucker Kraft,GB,TE,3,1,-1,1,16,17
Raheem Mostert,LV,RB,1,1,-2,1,3,5
Jalen Coker,CAR,WR,6,1,1,1,1,
Dallas Goedert,PHI,TE,28,8,8,6,21,25
Cedric Tillman,CLV,WR,6,1,2,1,2,
Arian Smith,NYJ,WR,7,1,-3,1,,3
Harold Fannin,CLV,TE,8,5,31,2,8,1
Marvin Mims,DEN,WR,9,1,30,,,
Calvin Ridley,TEN,WR,4,,,,,
Chris Godwin,TB,WR,2,1,7,1,25,18
Terry McLaurin,WAS,WR,13,6,73,3,34,2
TreVeyon Henderson,NE,RB,3,1,1,1,2,1
Jayden Reed,GB,WR,2,,,,,
Devin Neal,NO,RB,2,,,,,
Oronde Gadsden,LAC,TE,6,,,,,
Kyle Pitts,ATL,TE,17,5,26,3,22,5
Dante Pettis,NO,WR,1,,,,,
Brayden Willis,SF,TE,1,,,,,
Albert Okwuegbunam,LV,TE,1,,,,,
Tyler Warren,IND,TE,16,2,20,,,
Chris Rodriguez,WAS,RB,3,,,,,
Olamide Zaccheaus,CHI,WR,20,7,76,4,22,4
Jalen Tolbert,DAL,WR,10,,,,,
Drake London,ATL,WR,14,5,24,4,9,2
Alec Pierce,IND,WR,20,1,7,,,
LaJohntay Wester,BLT,WR,4,,,,,
Jaylin Lane,WAS,WR,8,,,,,
Bo Melton,GB,WR,1,,,,,
Tez Johnson,TB,WR,4,,,,,
Christian McCaffrey,SF,RB,8,5,11,4,21,9
Sterling Shepard,TB,WR,4,3,9,2,2,-1
Khalil Shakir,BUF,WR,15,3,39,2,42,6
Mitchell Tinsley,CIN,WR,1,,,,,
Brycen Tremayne,CAR,WR,2,,,,,
Jaxon Smith-Njigba,SEA,WR,10,5,79,4,67,4
Sam LaPorta,DET,TE,6,1,2,1,11,9
Jackson Hawes,BUF,TE,6,3,56,2,34,5
AJ Dillon,PHI,RB,1,,,,,
Ross Dwelley,DET,TE,2,1,6,,,
Rashod Bateman,BLT,WR,19,2,14,2,20,6
Grant Calcaterra,PHI,TE,11,1,4,1,8,4
Josh Jacobs,GB,RB,1,1,5,1,5,
Cade Stover,HST,TE,2,1,,,,
Jaylen Waddle,MIA,WR,12,3,20,2,6,
Tee Higgins,CIN,WR,10,4,94,1,13,
Scott Miller,PIT,WR,1,,,,,
Jeremy McNichols,WAS,RB,6,1,-3,1,,3
Jerome Ford,CLV,RB,4,,,,,
George Pickens,DAL,WR,23,9,69,4,75,47
Pharaoh Brown,ARZ,TE,1,,,,,
Rico Dowdle,CAR,RB,1,,,,,
Chris Olave,NO,WR,14,5,47,5,57,10
Ricky Pearsall,SF,WR,4,,,,,
Jake Tonges,SF,TE,3,,,,,
Ben Skowronek,PIT,WR,2,,,,,
Roman Wilson,PIT,WR,2,1,3,1,13,10
Trey Benson,ARZ,RB,1,,,,,
Wan'Dale Robinson,NYG,WR,18,5,51,2,28,7
Ryan Flournoy,DAL,WR,21,6,41,6,44,11
Mike Gesicki,CIN,TE,7,3,40,2,18,
Deebo Samuel,WAS,WR,20,8,48,8,54,17
Devin Duvernay,CHI,WR,3,1,39,,,
Tory Horton,SEA,WR,3,,,,,
Travis Kelce,KC,TE,22,8,35,7,43,12
Cole Kmet,CHI,TE,14,1,20,,,
Tyreek Hill,MIA,WR,3,1,12,1,5,
Demarcus Robinson,SF,WR,2,,,,,
Rhamondre Stevenson,NE,RB,3,1,-4,1,14,18
Brenton Strange,JAX,TE,15,4,24,3,25,16
Derius Davis,LAC,WR,5,,,,,
Kylen Granson,PHI,TE,3,,,,,
Konata Mumpfield,LA,WR,4,1,15,,,
Kimani Vidal,LAC,RB,3,1,3,,,
RJ Harvey,DEN,RB,12,7,9,5,24,25
Mason Tipton,NO,WR,5,1,13,,,
Savion Williams,GB,WR,1,1,-5,1,8,13
David Njoku,CLV,TE,5,1,-1,,,
Brock Bowers,LV,TE,11,2,9,2,14,5
Jalin Hyatt,NYG,WR,4,,,,,
Terrance Ferguson,LA,TE,5,1,35,1,31,
Brock Wright,DET,TE,1,,,,,
Brandin Cooks,BUF,WR,9,,,,,
A.J. Brown,PHI,WR,33,13,111,7,90,32
Luke McCaffrey,WAS,WR,4,,,,,
Rashid Shaheed,SEA,WR,11,2,28,1,3,2
Gunnar Helm,TEN,TE,6,2,5,2,3,
Justin Jefferson,MIN,WR,12,4,72,,,
Greg Dulcich,MIA,TE,3,,,,,
Johnny Mundt,JAX,TE,2,,,,,
Durham Smythe,CHI,TE,5,,,,,
Xavier Legette,CAR,WR,10,,,,,
Ray Davis,BUF,RB,1,,,,,
JuJu Smith-Schuster,KC,WR,17,2,2,1,3,4
Tony Pollard,TEN,RB,2,,,,,
Ladd McConkey,LAC,WR,18,3,8,2,17,14
Romeo Doubs,GB,WR,15,7,35,6,29,12
Lucas Krull,DEN,TE,1,,,,,
Tyler Johnson,NYJ,WR,11,1,19,1,15,
Chig Okonkwo,TEN,TE,7,1,16,1,15,-1
Treylon Burks,WAS,WR,6,,,,,
James Cook,BUF,RB,14,3,-6,3,24,30
Jared Wiley,KC,TE,1,,,,,
Isaiah Likely,BLT,TE,15,4,27,3,22,6
George Kittle,SF,TE,6,1,10,1,1,
Dalton Schultz,HST,TE,19,3,15,,,
Keenan Allen,LAC,WR,15,6,54,3,30,14
Anthony Gould,IND,WR,4,,,,,
CeeDee Lamb,DAL,WR,20,5,21,2,18,10
Noah Fant,CIN,TE,5,,,,,
Rome Odunze,CHI,WR,19,5,48,2,3,
Brenden Bates,CLV,TE,1,,,,,
Colby Parkinson,LA,TE,6,3,6,3,7,2
Isaiah Bond,CLV,WR,12,5,126,1,52,9
Josh Oliver,MIN,TE,3,1,15,1,32,17
Nick Chubb,HST,RB,1,,,,,
Michael Carter,ARZ,RB,3,,,,,
Tyjae Spears,TEN,RB,4,1,-3,1,7,10
Keaton Mitchell,BLT,RB,1,,,,,
DJ Moore,CHI,WR,32,7,58,4,40,21
David Sills,ATL,WR,8,,,,,
Ameer Abdullah,IND,RB,1,,,,,
Isaiah Hodgins,NYG,WR,3,,,,,
Devin Singletary,NYG,RB,2,1,-1,1,8,9
Gage Larvadain,CLV,WR,6,1,28,,,
Tyler Allgeier,ATL,RB,2,,,,,
KeAndre Lambert-Smith,LAC,WR,3,,,,,
Josh Downs,IND,WR,13,8,49,4,31,8
Quinshon Judkins,CLV,RB,2,,,,,
Tetairoa McMillan,CAR,WR,11,5,96,2,24,
Devaughn Vele,NO,WR,4,2,7,1,10,2
Andrew Ogletree,IND,TE,2,,,,,
Jaylen Warren,PIT,RB,4,2,1,2,43,42
Kendrick Bourne,SF,WR,4,,,,,
Jack Bech,LV,WR,10,1,6,1,6,
Dareke Young,SEA,WR,3,,,,,
Mack Hollins,NE,WR,17,,,,,
Juwan Johnson,NO,TE,13,2,7,1,8,2
David Montgomery,DET,RB,2,1,11,,,
Tanner Conner,MIA,TE,3,,,,,
Quintin Morris,JAX,TE,4,1,1,1,5,4
Ja'Tavion Sanders,CAR,TE,5,1,-3,1,5,8
Jahdae Walker,CHI,WR,5,2,21,1,6,
Jauan Jennings,SF,WR,7,2,21,2,27,10
Ashton Dulin,IND,WR,1,1,6,1,48,42
KaVontae Turpin,DAL,WR,9,2,1,1,1,
John Metchie,NYJ,WR,6,3,29,3,53,24
Jalen Nailor,MIN,WR,9,3,23,2,20,1
Marquise Brown,KC,WR,13,3,31,3,26,
Kenneth Gainwell,PIT,RB,7,1,,1,5,5
Bhayshul Tuten,JAX,RB,4,,,,,
Casey Washington,ATL,WR,3,1,7,1,7,
Kevin Austin,NO,WR,3,1,3,1,4,1
Jalen Brooks,ARZ,WR,2,,,,,
J.K. Dobbins,DEN,RB,1,,,,,
Emari Demercado,ARZ,RB,1,,,,,
