Name,Team,POS,RTE,TGT,REC,AY,YAC,YDS
Bucky Irving,TB,RB,24,2,2,-7,7,
Keaton Mitchell,BLT,RB,9,1,1,-5,22,17
DJ Moore,CHI,WR,84,11,5,123,17,49
Tyjae Spears,TEN,RB,33,4,3,-8,35,29
Josh Oliver,MIN,TE,21,6,4,4,11,13
Nick Chubb,HST,RB,15,3,1,4,3,
Michael Carter,ARZ,RB,23,3,1,35,17,14
Isaiah Bond,CLV,WR,81,14,6,232,26,124
Isaiah Davis,NYJ,RB,23,3,2,9,30,35
Colby Parkinson,LA,TE,27,7,5,44,47,77
Jacory Croskey-Merritt,WAS,RB,23,3,2,-6,18,10
Rome Odunze,CHI,WR,69,22,13,303,47,186
Brenden Bates,CLV,TE,4,,,,,
Khalil Herbert,NYJ,RB,3,1,,-4,,
Quinshon Judkins,CLV,RB,35,6,3,-14,9,3
Devaughn Vele,NO,WR,26,3,2,65,,32
Josh Downs,IND,WR,77,18,9,117,16,80
Tetairoa McMillan,CAR,WR,101,29,13,313,104,210
Foster Moreau,NO,TE,9,1,,5,,
Tyler Allgeier,ATL,RB,15,1,1,-6,37,31
KeAndre Lambert-Smith,LAC,WR,17,2,1,25,6,10
Isaiah Hodgins,NYG,WR,54,7,2,101,1,34
Devin Singletary,NYG,RB,21,3,3,-6,61,55
Gage Larvadain,CLV,WR,18,4,2,25,9,16
Trayveon Williams,CLV,RB,8,2,1,-8,28,26
David Sills,ATL,WR,64,8,2,120,6,20
Zamir White,LV,RB,5,,,,,
Ameer Abdullah,IND,RB,6,3,3,-5,25,20
Ashton Dulin,IND,WR,13,2,1,36,,20
Jauan Jennings,SF,WR,74,22,14,183,41,121
Ja'Tavion Sanders,CAR,TE,41,4,3,34,1,13
Jahdae Walker,CHI,WR,10,,,,,
Moliki Matavao,NO,TE,2,,,,,
Tahj Washington,MIA,WR,5,1,1,4,3,7
Tanner Conner,MIA,TE,13,3,,25,,
Quintin Morris,JAX,TE,15,,,,,
Mack Hollins,NE,WR,69,14,8,159,26,105
Juwan Johnson,NO,TE,73,14,10,107,41,118
David Montgomery,DET,RB,25,2,1,7,11,13
Hassan Haskins,LAC,RB,8,1,1,-4,4,
Jack Bech,LV,WR,35,5,3,71,9,35
Andrew Ogletree,IND,TE,3,1,,13,,
Jaylen Warren,PIT,RB,19,2,2,5,8,13
Kendrick Bourne,SF,WR,63,8,6,76,9,54
Tyler Badie,DEN,RB,24,3,3,-17,40,23
Jalen Brooks,ARZ,WR,15,1,1,4,16,20
Kevin Austin,NO,WR,20,2,,48,,
Bhayshul Tuten,JAX,RB,10,2,2,-4,14,10
Casey Washington,ATL,WR,18,4,1,78,4,19
Kenneth Gainwell,PIT,RB,67,16,15,14,107,124
Marquise Brown,KC,WR,91,21,12,200,70,140
John Metchie,NYJ,WR,47,11,7,74,31,81
Jalen Nailor,MIN,WR,82,18,10,265,56,205
KaVontae Turpin,DAL,WR,38,7,3,38,35,25
Jake Ferguson,DAL,TE,82,16,12,38,29,53
Davante Adams,LA,WR,95,23,12,324,29,152
Dare Ogunbowale,HST,RB,9,2,1,4,15,16
Jerry Jeudy,CLV,WR,137,35,18,355,75,191
Nico Collins,HST,WR,76,19,14,230,92,256
Ronnie Rivers,LA,RB,2,,,,,
Elijah Arroyo,SEA,TE,18,4,1,52,5,26
Bam Knight,ARZ,RB,22,3,2,13,5,6
Jaret Patterson,LAC,RB,5,,,,,
Samaje Perine,CIN,RB,27,,,,,
Travis Etienne,JAX,RB,43,6,4,-12,76,60
Josh Whyle,GB,TE,13,2,1,15,9,21
Jordan Whittington,LA,WR,47,5,3,53,13,20
