name,team,pos,posrk,ff_pt,g,p_att,comp,p_yds,p_td,int,sk,carry,ru_yds,ru_td,targ,rec,re_yd,re_td,car_pct,targ_pct,dk_season,dk_pg
Bhayshul Tuten,JAX,RB,24.0,205.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,992.0,7.0,45.0,34.0,250.0,1.0,59.0,8.0,206.2,12.129411764705882
Colston Loveland,CHI,TE,4.0,206.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,80.0,898.0,6.0,0.0,23.0,205.8,12.105882352941178
Tyler Warren,IND,TE,3.0,208.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,115.0,87.0,870.0,5.0,2.0,22.0,205.4,12.08235294117647
Zach Charbonnet,SEA,RB,42.0,134.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,554.0,7.0,26.0,20.0,145.0,0.0,30.0,5.0,131.9,11.990909090909092
Luther Burden III,CHI,WR,28.0,206.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,50.0,0.0,113.0,75.0,938.0,5.0,2.0,22.0,203.8,11.988235294117647
Fernando Mendoza,LV,QB,30.0,187.0,17.0,448.0,283.0,3053.0,14.0,10.0,36.0,52.0,226.0,2.0,0.0,0.0,0.0,0.0,,,202.72,11.92470588235294
Alec Pierce,IND,WR,30.0,203.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,68.0,1024.0,5.0,0.0,22.0,200.4,11.788235294117648
Michael Pittman Jr.,PIT,WR,31.0,197.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,88.0,860.0,4.0,0.0,23.0,198.0,11.647058823529411
David Montgomery,HOU,RB,26.0,192.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,930.0,7.0,38.0,32.0,231.0,1.0,51.0,7.0,196.1,11.535294117647059
Rhamondre Stevenson,NE,RB,28.0,191.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,722.0,7.0,47.0,38.0,313.0,2.0,41.0,9.0,195.5,11.5
DK Metcalf,PIT,WR,32.0,195.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,65.0,941.0,6.0,0.0,20.0,195.10000000000002,11.476470588235296
Marvin Harrison Jr.,ARI,WR,33.0,194.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,69.0,956.0,5.0,0.0,22.0,194.60000000000002,11.447058823529414
Jadarian Price,SEA,RB,25.0,194.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,922.0,8.0,35.0,27.0,212.0,1.0,48.0,7.0,194.4,11.435294117647059
Tony Pollard,TEN,RB,29.0,190.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,1076.0,6.0,39.0,30.0,181.0,0.0,61.0,7.0,191.70000000000002,11.276470588235295
Aaron Jones,MIN,RB,30.0,188.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,740.0,4.0,61.0,47.0,344.0,2.0,42.0,11.0,191.4,11.258823529411766
Jordyn Tyson,NO,WR,34.0,188.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,67.0,917.0,5.0,0.0,20.0,188.7,11.1
Matthew Golden,GB,WR,37.0,186.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,105.0,67.0,874.0,5.0,1.0,20.0,186.9,10.994117647058824
Sam LaPorta,DET,TE,6.0,189.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,78.0,788.0,5.0,0.0,19.0,186.8,10.988235294117647
Jaylen Warren,PIT,RB,27.0,191.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,789.0,4.0,57.0,46.0,319.0,1.0,42.0,10.0,186.8,10.988235294117647
Christian Watson,GB,WR,36.0,186.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,94.0,55.0,870.0,7.0,1.0,18.0,185.3,10.9
Harold Fannin Jr.,CLE,TE,7.0,187.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,0.0,119.0,83.0,818.0,3.0,2.0,23.0,184.9,10.876470588235295
Kyle Pitts,ATL,TE,8.0,186.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,80.0,862.0,3.0,0.0,21.0,184.2,10.835294117647058
Mike Evans,SF,WR,38.0,185.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,57.0,908.0,6.0,0.0,19.0,183.8,10.811764705882354
Rico Dowdle,PIT,RB,31.0,185.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,972.0,5.0,40.0,29.0,210.0,1.0,52.0,7.0,183.2,10.776470588235293
Parker Washington,JAX,WR,35.0,188.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,39.0,0.0,108.0,64.0,850.0,5.0,2.0,19.0,182.9,10.758823529411766
Chuba Hubbard,CAR,RB,32.0,185.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,797.0,4.0,52.0,41.0,302.0,1.0,48.0,10.0,180.9,10.641176470588235
Makai Lemon,PHI,WR,39.0,182.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,62.0,883.0,5.0,0.0,20.0,180.3,10.605882352941178
Jakobi Meyers,JAX,WR,40.0,182.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0,108.0,70.0,766.0,5.0,2.0,19.0,179.8,10.576470588235296
Dallas Goedert,PHI,TE,10.0,176.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,70.0,724.0,6.0,0.0,19.0,178.4,10.494117647058824
Xavier Worthy,KC,WR,43.0,173.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,76.0,1.0,92.0,55.0,788.0,5.0,3.0,17.0,177.4,10.435294117647059
J.K. Dobbins,DEN,RB,35.0,174.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,1012.0,7.0,23.0,17.0,105.0,1.0,53.0,4.0,176.7,10.394117647058822
Brian Thomas Jr.,JAX,WR,41.0,176.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,102.0,57.0,860.0,5.0,1.0,18.0,175.3,10.311764705882354
Rachaad White,WAS,RB,34.0,174.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,567.0,5.0,52.0,47.0,295.0,2.0,33.0,10.0,175.2,10.305882352941175
Travis Kelce,KC,TE,9.0,177.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,74.0,770.0,4.0,0.0,19.0,175.0,10.294117647058824
Wan'Dale Robinson,TEN,WR,42.0,174.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,116.0,79.0,817.0,2.0,1.0,21.0,174.89999999999998,10.288235294117646
Romeo Doubs,NE,WR,46.0,171.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,60.0,763.0,6.0,0.0,17.0,172.3,10.13529411764706
Kyle Monangai,CHI,RB,33.0,176.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,825.0,6.0,36.0,26.0,215.0,1.0,42.0,7.0,172.0,10.117647058823529
Khalil Shakir,BUF,WR,44.0,171.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,92.0,70.0,765.0,4.0,1.0,18.0,171.7,10.1
Mark Andrews,BAL,TE,11.0,169.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,1.0,84.0,58.0,618.0,7.0,2.0,18.0,171.3,10.076470588235296
RJ Harvey,DEN,RB,37.0,167.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,431.0,4.0,62.0,49.0,366.0,3.0,26.0,11.0,170.7,10.041176470588235
Kenneth Gainwell,TB,RB,36.0,173.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,483.0,4.0,64.0,52.0,343.0,2.0,25.0,12.0,170.60000000000002,10.03529411764706
Jake Ferguson,DAL,TE,12.0,167.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,73.0,600.0,6.0,0.0,17.0,169.0,9.941176470588236
Jordan Addison,MIN,WR,47.0,170.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,100.0,60.0,770.0,5.0,1.0,18.0,168.4,9.905882352941177
Quentin Johnston,LAC,WR,51.0,165.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,90.0,53.0,773.0,6.0,1.0,17.0,167.4,9.847058823529412
Josh Downs,IND,WR,50.0,165.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,105.0,76.0,718.0,3.0,1.0,20.0,166.9,9.81764705882353
Jayden Reed,GB,WR,45.0,171.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,65.0,0.0,89.0,63.0,730.0,4.0,2.0,17.0,166.5,9.794117647058824
Michael Wilson,ARI,WR,48.0,167.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,67.0,814.0,3.0,0.0,19.0,166.4,9.788235294117648
Ricky Pearsall,SF,WR,49.0,165.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,90.0,58.0,814.0,4.0,1.0,17.0,165.8,9.75294117647059
Tucker Kraft,GB,TE,14.0,162.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,89.0,64.0,732.0,4.0,1.0,17.0,162.0,9.529411764705882
Chris Godwin,TB,WR,53.0,158.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,60.0,703.0,5.0,0.0,17.0,160.3,9.429411764705883
Kenyon Sadiq,NYJ,TE,13.0,162.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,67.0,692.0,4.0,0.0,17.0,160.2,9.423529411764704
T.J. Hockenson,MIN,TE,15.0,158.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,78.0,639.0,3.0,0.0,18.0,159.9,9.405882352941177
KC Concepcion,CLE,WR,52.0,162.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,0.0,98.0,61.0,772.0,3.0,2.0,19.0,159.7,9.394117647058822
Isaiah Likely,NYG,TE,16.0,157.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,64.0,685.0,4.0,0.0,17.0,156.5,9.205882352941176
Tyjae Spears,TEN,RB,40.0,149.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,411.0,3.0,61.0,50.0,333.0,2.0,24.0,11.0,154.4,9.08235294117647
Blake Corum,LAR,RB,39.0,150.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,775.0,7.0,22.0,17.0,117.0,1.0,37.0,4.0,154.2,9.070588235294117
Dalton Kincaid,BUF,TE,17.0,156.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,59.0,698.0,4.0,0.0,16.0,152.8,8.988235294117647
Hunter Henry,NE,TE,18.0,150.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,56.0,628.0,5.0,0.0,15.0,148.8,8.75294117647059
Jacory Croskey-Merritt,WAS,RB,38.0,152.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,846.0,7.0,15.0,13.0,88.0,0.0,48.0,3.0,148.4,8.729411764705883
Jalen Coker,CAR,WR,54.0,148.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,61.0,692.0,3.0,0.0,17.0,148.2,8.717647058823529
Jonathon Brooks,CAR,RB,41.0,145.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,677.0,4.0,36.0,28.0,216.0,1.0,39.0,7.0,147.3,8.664705882352942
Calvin Ridley,TEN,WR,56.0,144.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0,88.0,46.0,722.0,4.0,2.0,16.0,145.39999999999998,8.552941176470586
Juwan Johnson,NO,TE,19.0,143.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,63.0,637.0,3.0,0.0,16.0,144.7,8.511764705882353
Brenton Strange,JAX,TE,20.0,142.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,59.0,598.0,4.0,0.0,15.0,142.8,8.4
Rashid Shaheed,SEA,WR,55.0,144.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,87.0,1.0,71.0,43.0,646.0,3.0,3.0,14.0,140.3,8.25294117647059
Jerry Jeudy,CLE,WR,58.0,138.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,51.0,710.0,3.0,0.0,18.0,140.0,8.235294117647058
Jayden Higgins,HOU,WR,57.0,142.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,55.0,667.0,3.0,0.0,16.0,139.7,8.217647058823529
Pat Freiermuth,PIT,TE,21.0,136.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,60.0,601.0,3.0,0.0,15.0,138.1,8.123529411764705
Tre Tucker,LV,WR,59.0,138.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,58.0,0.0,81.0,48.0,656.0,3.0,3.0,15.0,137.40000000000003,8.082352941176472
Denzel Boston,CLE,WR,61.0,132.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,52.0,639.0,3.0,0.0,16.0,133.9,7.876470588235295
Deshaun Watson,CLE,QB,31.0,124.0,17.0,312.0,191.0,2041.0,8.0,7.0,31.0,42.0,211.0,1.0,0.0,0.0,0.0,0.0,,,133.74,7.867058823529412
Dalton Schultz,HOU,TE,22.0,134.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,60.0,556.0,3.0,0.0,15.0,133.6,7.858823529411764
Jalen McMillan,TB,WR,60.0,133.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,75.0,47.0,591.0,4.0,1.0,14.0,132.6,7.8
Isiah Pacheco,DET,RB,46.0,124.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,639.0,5.0,22.0,17.0,114.0,1.0,32.0,4.0,128.3,7.5470588235294125
Jordan Mason,MIN,RB,43.0,130.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,748.0,5.0,17.0,13.0,83.0,0.0,40.0,3.0,126.1,7.417647058823529
Woody Marks,HOU,RB,44.0,127.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,579.0,3.0,33.0,24.0,201.0,1.0,34.0,6.0,126.0,7.411764705882353
Germie Bernard,PIT,WR,62.0,127.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,79.0,47.0,594.0,3.0,1.0,14.0,125.60000000000001,7.3882352941176475
Gunnar Helm,TEN,TE,23.0,126.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,58.0,495.0,3.0,0.0,14.0,125.5,7.382352941176471
Terrance Ferguson,LAR,TE,24.0,125.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,42.0,534.0,5.0,0.0,12.0,125.4,7.376470588235295
Alvin Kamara,NO,RB,45.0,124.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,481.0,2.0,44.0,35.0,232.0,1.0,28.0,8.0,124.30000000000001,7.311764705882354
Rashod Bateman,BAL,WR,63.0,123.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,38.0,615.0,4.0,0.0,14.0,123.5,7.264705882352941
Tua Tagovailoa,ATL,QB,32.0,114.0,17.0,302.0,204.0,2169.0,10.0,8.0,20.0,16.0,44.0,0.0,0.0,0.0,0.0,0.0,,,123.16000000000003,7.244705882352942
Chigoziem Okonkwo,WAS,TE,25.0,122.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,54.0,555.0,2.0,0.0,14.0,121.5,7.147058823529412
Michael Penix Jr.,ATL,QB,33.0,113.0,17.0,265.0,168.0,1884.0,9.0,5.0,16.0,19.0,77.0,1.0,0.0,0.0,0.0,0.0,,,120.06,7.062352941176471
Oronde Gadsden II,LAC,TE,26.0,116.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,45.0,485.0,4.0,0.0,12.0,117.5,6.911764705882353
Jalen Nailor,LV,WR,66.0,115.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,70.0,41.0,559.0,3.0,1.0,13.0,116.0,6.823529411764706
Adonai Mitchell,NYJ,WR,64.0,116.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,69.0,39.0,564.0,3.0,1.0,13.0,114.5,6.735294117647059
Justice Hill,BAL,RB,47.0,114.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,223.0,1.0,51.0,39.0,349.0,2.0,10.0,11.0,114.2,6.7176470588235295
Greg Dulcich,MIA,TE,28.0,111.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,48.0,540.0,2.0,0.0,14.0,114.0,6.705882352941177
A.J. Barner,SEA,TE,27.0,114.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0,61.0,45.0,432.0,4.0,2.0,12.0,114.0,6.705882352941177
Antonio Williams,WAS,WR,65.0,116.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,62.0,41.0,522.0,3.0,1.0,12.0,113.4,6.670588235294118
Jauan Jennings,MIN,WR,67.0,115.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,46.0,486.0,3.0,0.0,13.0,112.6,6.623529411764705
Travis Hunter,JAX,WR,68.0,112.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,68.0,42.0,496.0,3.0,1.0,12.0,110.69999999999999,6.511764705882352
Mike Gesicki,CIN,TE,30.0,107.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,40.0,393.0,5.0,0.0,10.0,109.30000000000001,6.429411764705883
Cade Otton,TB,TE,29.0,111.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,48.0,480.0,2.0,0.0,13.0,108.0,6.352941176470588
Omar Cooper Jr.,NYJ,WR,72.0,105.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,58.0,40.0,478.0,3.0,1.0,11.0,107.00000000000001,6.294117647058824
Tank Dell,HOU,WR,69.0,106.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,45.0,0.0,60.0,38.0,462.0,3.0,2.0,11.0,106.7,6.276470588235294
Chris Bell,MIA,WR,71.0,105.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,40.0,535.0,2.0,0.0,13.0,105.5,6.205882352941177
Evan Engram,DEN,TE,31.0,106.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,47.0,463.0,2.0,0.0,12.0,105.30000000000001,6.194117647058825
Shedeur Sanders,CLE,QB,34.0,96.0,17.0,232.0,147.0,1623.0,7.0,6.0,18.0,21.0,119.0,1.0,0.0,0.0,0.0,0.0,,,104.82,6.165882352941176
Malik Washington,MIA,WR,70.0,106.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,77.0,0.0,60.0,41.0,431.0,2.0,3.0,12.0,103.8,6.105882352941176
Cooper Kupp,SEA,WR,73.0,101.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,38.0,472.0,3.0,0.0,11.0,103.2,6.070588235294117
Jack Bech,LV,WR,74.0,100.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,41.0,483.0,2.0,0.0,12.0,101.30000000000001,5.958823529411766
Samaje Perine,CIN,RB,48.0,101.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,443.0,3.0,23.0,19.0,139.0,1.0,25.0,4.0,101.2,5.952941176470588
Darnell Mooney,NYG,WR,76.0,95.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,60.0,32.0,469.0,3.0,1.0,12.0,98.10000000000001,5.7705882352941185
Nick Westbrook-Ikhine,IND,WR,75.0,96.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,34.0,433.0,3.0,0.0,11.0,95.30000000000001,5.605882352941177
Brian Robinson Jr.,ATL,RB,49.0,94.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,560.0,4.0,11.0,9.0,59.0,0.0,31.0,2.0,94.9,5.582352941176471
Ryan Flournoy,DAL,WR,77.0,90.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,51.0,34.0,385.0,3.0,1.0,9.0,91.7,5.394117647058824
Caleb Douglas,MIA,WR,79.0,88.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,34.0,448.0,2.0,0.0,11.0,90.80000000000001,5.341176470588236
Braelon Allen,NYJ,RB,51.0,87.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,421.0,4.0,16.0,13.0,89.0,0.0,23.0,3.0,88.0,5.176470588235294
Tre Harris,LAC,WR,78.0,89.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,35.0,408.0,2.0,0.0,10.0,87.80000000000001,5.1647058823529415
Dyami Brown,WAS,WR,81.0,85.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,30.0,395.0,3.0,0.0,9.0,87.5,5.147058823529412
Tyler Allgeier,ARI,RB,50.0,91.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,385.0,3.0,23.0,18.0,126.0,0.0,26.0,4.0,87.1,5.123529411764705
Darius Slayton,NYG,WR,80.0,87.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,49.0,31.0,428.0,2.0,1.0,10.0,87.00000000000001,5.11764705882353
Dylan Sampson,CLE,RB,52.0,87.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,227.0,1.0,36.0,30.0,207.0,1.0,13.0,7.0,85.4,5.023529411764706
David Njoku,LAC,TE,32.0,85.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,33.0,337.0,3.0,0.0,9.0,84.7,4.982352941176471
Jahan Dotson,ATL,WR,82.0,84.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,32.0,403.0,2.0,0.0,10.0,84.30000000000001,4.958823529411766
Ja'Kobi Lane,BAL,WR,83.0,82.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,26.0,393.0,3.0,0.0,9.0,83.30000000000001,4.9
Ty Johnson,BUF,RB,53.0,85.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,219.0,2.0,31.0,22.0,208.0,1.0,11.0,6.0,82.7,4.864705882352942
Tyrone Tracy Jr.,NYG,RB,54.0,80.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,417.0,1.0,20.0,16.0,117.0,1.0,22.0,4.0,81.4,4.788235294117648
Michael Mayer,LV,TE,33.0,81.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,37.0,363.0,1.0,0.0,10.0,79.30000000000001,4.6647058823529415
Tyquan Thornton,KC,WR,85.0,77.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.0,359.0,3.0,0.0,8.0,77.9,4.582352941176471
Andrei Iosivas,CIN,WR,84.0,77.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,46.0,27.0,317.0,3.0,1.0,8.0,77.8,4.576470588235294
Ja'Tavion Sanders,CAR,TE,34.0,77.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,35.0,302.0,2.0,0.0,9.0,77.2,4.541176470588235
Van Jefferson,WAS,WR,86.0,75.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,28.0,358.0,2.0,0.0,9.0,75.80000000000001,4.458823529411766
Darnell Washington,PIT,TE,35.0,72.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,31.0,304.0,2.0,0.0,8.0,73.4,4.31764705882353
Isaac TeSlaa,DET,WR,87.0,73.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,302.0,3.0,0.0,7.0,72.2,4.247058823529412
Pat Bryant,DEN,WR,88.0,73.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,28.0,320.0,2.0,0.0,8.0,72.0,4.235294117647059
Xavier Legette,CAR,WR,89.0,71.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,47.0,27.0,308.0,2.0,1.0,9.0,70.89999999999999,4.170588235294117
Dawson Knox,BUF,TE,36.0,68.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,265.0,3.0,0.0,7.0,69.5,4.088235294117647
Chris Rodriguez,JAX,RB,55.0,71.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,431.0,3.0,6.0,4.0,29.0,0.0,25.0,1.0,68.0,4.0
Savion Williams,GB,WR,90.0,70.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,47.0,0.0,37.0,24.0,272.0,2.0,2.0,7.0,67.9,3.994117647058824
Kayshon Boutte,NE,WR,92.0,68.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,319.0,2.0,0.0,7.0,67.9,3.994117647058824
Marvin Mims,DEN,WR,91.0,70.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,45.0,0.0,34.0,24.0,272.0,2.0,2.0,6.0,67.7,3.9823529411764707
MarShawn Lloyd,GB,RB,57.0,65.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,286.0,2.0,16.0,12.0,85.0,1.0,15.0,3.0,67.1,3.9470588235294115
Colby Parkinson,LAR,TE,37.0,65.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,249.0,3.0,0.0,6.0,66.9,3.935294117647059
Christian Kirk,SF,WR,93.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,318.0,2.0,0.0,7.0,66.8,3.929411764705882
Jalen Tolbert,MIA,WR,95.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.0,325.0,1.0,0.0,9.0,65.5,3.8529411764705883
