name,pos,team,n_situations,trend_metric,trend_2024,trend_2025,trend_delta,rec_vs_man,rec_vs_zone,rec_yprr,rec_deep_routes,rec_short_routes,rec_yac,rec_adot,rec_drop,rec_qbr,rec_epa_route_pro,rec_epa_tgt_pro,rec_sep_pro,rec_croe_pro,rec_yacoe_pro,rec_deep,rec_slot,rec_wide,rec_vman_ftn,rec_vzone_ftn,rec_sep,rec_contested,rec_rz,rec_dvoa,rec_success,rec_rz_vol,rec_man_qbr,rb_elusive,rb_breakaway,rb_yco,rb_grade_run,rb_rec_yprr,rb_explosive,rb_inside_zone,rb_outside_zone,rb_gap,rb_mtf_rate,rb_epa_att_pro,rb_ryoe_att_pro,rb_success_pro,rb_yaco_att_pro,rb_rec_epa_pro,rb_rec_sep_pro,qb_btt,qb_twp,qb_acc,qb_grade,qb_p2s,qb_adot,qb_ttt,qb_pressure,qb_pressure_grade,qb_pa,qb_pa_grade,qb_clean,qb_blitz,qb_deep,qb_deep_grade,qb_epa_db_pro,qb_cpoe_pro
,,,,,,,,vs Man coverage (YPRR),vs Zone coverage (YPRR),Overall YPRR,Deep routes (yds/route),Short routes (yds/route),Yards after catch / reception,Avg depth of target (aDOT),Drop rate (lower=better),QB rating when targeted,Rec EPA / route (NFL Pro),Rec EPA / target (NFL Pro),Avg separation (NFL Pro NGS),Catch rate over expected (CROE),YAC over expected / rec (NFL Pro),Deep ball (yds/deep target),From slot (yds/route),Out wide (yds/route),"vs Man (yds/man route, FTN)","vs Zone (yds/zone route, FTN)",Separation (step sep at catch pt),Contested catch rate,Red zone TD rate (TD/target),Overall efficiency (DVOA),Success rate,Red zone targets (volume),vs Man (QB rating when targeted),Elusiveness (PFF elusive rating),Breakaway run rate,Yards after contact / attempt,Rushing grade,Receiving YPRR (as RB),Explosive run rate,Inside zone (yds/carry),Outside zone (yds/carry),Gap/Power scheme (yds/carry),Missed tackles forced /carry,Rush EPA / attempt (NFL Pro),RYOE / attempt (NFL Pro),Rush success rate (NFL Pro),Yards after contact / att (NFL Pro),"Receiving EPA / route (NFL Pro, RB)","Receiving separation (NFL Pro, RB)",Big-time throw rate,Turnover-worthy play rate (lower=better),Accuracy %,Overall passing grade,Pressure-to-sack rate (lower=better),Avg depth of target,Time to throw,Under pressure (YPA),Under pressure (grade),Play-action (YPA),Play-action grade,Clean pocket (YPA),vs Blitz (YPA),Deep ball accuracy %,Deep ball grade,EPA / dropback (NFL Pro),Completion % over expected (CPOE)
Jaylen Warren,RB,PIT,16,Elusive,76.0,92.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9,65.2,50.0,62.1,90.7,75.8,9.6,91.8,35.1,85.5,72.3,85.1,83.0,91.5,74.1,63.0,,,,,,,,,,,,,,,,,
Jaylen Wright,RB,MIA,7,Elusive,73.2,68.9,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,24.2,83.3,53.0,65.3,13.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Ford,RB,WAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,RB,IND,16,Elusive,35.1,72.4,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7,81.8,89.4,83.3,45.3,92.4,38.5,45.9,87.7,40.0,83.0,63.8,63.8,87.2,63.0,77.8,,,,,,,,,,,,,,,,,
Jordan Mason,RB,MIN,14,Elusive,77.5,65.0,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,56.1,81.8,86.4,1.3,68.2,84.6,68.9,78.9,81.8,53.2,89.4,74.5,78.7,,,,,,,,,,,,,,,,,,,
Josh Jacobs,RB,GB,16,Elusive,96.5,57.9,-38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,43.9,42.4,80.3,72.0,71.2,78.8,11.5,61.4,54.5,34.0,25.5,44.7,27.7,81.5,88.9,,,,,,,,,,,,,,,,,
Justice Hill,RB,BAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,RB,FA,14,Elusive,40.1,45.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,6.1,22.7,66.7,17.3,28.8,51.9,54.1,14.0,14.5,93.6,29.8,93.6,44.7,,,,,,,,,,,,,,,,,,,
Keaton Mitchell,RB,LAC,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,97.0,80.3,4.5,80.0,36.4,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,RB,TB,16,Elusive,49.1,57.3,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,72.7,62.1,51.5,88.0,56.1,98.1,13.1,68.4,80.0,46.8,57.4,89.4,72.3,48.1,7.4,,,,,,,,,,,,,,,,,
Kenneth Walker III,RB,KC,14,Elusive,110.4,83.5,-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4,86.4,53.0,100.0,94.7,98.5,96.2,75.4,22.8,100.0,27.7,36.2,27.7,48.9,,,,,,,,,,,,,,,,,,,
Kimani Vidal,RB,LAC,14,Elusive,40.7,53.7,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,68.2,34.8,57.6,22.7,48.5,55.8,9.8,36.8,23.6,42.6,51.1,25.5,19.1,,,,,,,,,,,,,,,,,,,
Kyle Monangai,RB,CHI,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,45.5,33.3,54.5,40.0,54.5,21.2,65.6,75.4,10.9,59.6,40.4,91.5,46.8,,,,,,,,,,,,,,,,,,,
Kyren Williams,RB,LAR,16,Elusive,46.0,48.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,22.7,51.5,92.4,38.7,89.4,73.1,88.5,52.6,58.2,80.9,55.3,100.0,83.0,59.3,0.0,,,,,,,,,,,,,,,,,
LeQuint Allen Jr.,RB,JAX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Davis,RB,DAL,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,92.4,74.2,9.1,0.0,7.6,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chubb,RB,FA,14,Elusive,52.5,51.7,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,30.3,19.7,63.6,12.0,22.7,82.7,1.6,57.9,21.8,19.1,53.2,4.3,42.6,,,,,,,,,,,,,,,,,,,
Ollie Gordon II,RB,MIA,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,33.3,0.0,30.3,5.3,9.1,,24.6,5.3,12.7,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton,RB,LAC,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8,84.8,78.8,87.9,56.0,51.5,0.0,37.7,86.0,72.7,68.1,70.2,55.3,68.1,40.7,70.4,,,,,,,,,,,,,,,,,
Quinshon Judkins,RB,CLE,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,51.5,66.7,16.7,57.3,57.6,7.7,31.1,54.4,43.6,10.6,42.6,2.1,55.3,,,,,,,,,,,,,,,,,,,
RJ Harvey,RB,DEN,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,54.5,25.8,24.2,86.7,21.2,46.2,27.9,24.6,69.1,6.4,4.3,34.0,25.5,92.6,81.5,,,,,,,,,,,,,,,,,
Rachaad White,RB,WAS,15,Elusive,60.0,63.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1,15.2,40.9,93.9,28.0,43.9,,42.6,59.6,61.8,97.9,12.8,97.9,36.2,33.3,40.7,,,,,,,,,,,,,,,,,
Ray Davis,RB,BUF,8,Elusive,70.9,48.5,-22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,40.9,31.8,27.3,76.0,25.8,,96.7,43.9,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,RB,NE,16,Elusive,60.5,83.7,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,78.8,86.4,60.6,85.3,62.1,76.9,26.2,96.5,92.7,8.5,100.0,17.0,63.8,85.2,44.4,,,,,,,,,,,,,,,,,
Rico Dowdle,RB,PIT,16,Elusive,63.5,46.6,-16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,50.0,60.6,33.3,68.0,72.7,63.5,57.4,29.8,45.5,61.7,68.1,66.0,31.9,29.6,96.3,,,,,,,,,,,,,,,,,
Samaje Perine,RB,CIN,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8,12.1,69.7,36.4,13.3,24.2,48.1,,77.2,47.3,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,RB,PHI,16,Elusive,64.0,51.4,-12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,77.3,18.2,59.1,34.7,87.9,30.8,49.2,40.4,34.5,21.3,38.3,12.8,10.6,22.2,100.0,,,,,,,,,,,,,,,,,
Sean Tucker,RB,TB,9,Elusive,49.7,28.6,-21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,53.0,9.1,34.8,18.7,16.7,,3.3,64.9,25.5,,,,,,,,,,,,,,,,,,,,,,,
Tank Bigsby,RB,PHI,9,Elusive,106.8,123.6,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,69.7,95.5,95.5,20.0,47.0,5.8,,98.2,94.5,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,RB,TEN,16,Elusive,47.4,51.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,48.5,68.2,31.8,24.0,83.3,94.2,83.6,28.1,41.8,14.9,48.9,38.3,66.0,14.8,55.6,,,,,,,,,,,,,,,,,
Travis Etienne Jr.,RB,NO,16,Elusive,32.8,59.4,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6,71.2,59.1,50.0,69.3,86.4,61.5,63.9,19.3,27.3,31.9,34.0,14.9,40.4,55.6,33.3,,,,,,,,,,,,,,,,,
TreVeyon Henderson,RB,NE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,90.9,71.2,43.9,46.7,60.6,1.9,98.4,73.7,38.2,91.5,80.9,70.2,51.1,51.9,85.2,,,,,,,,,,,,,,,,,
Trey Benson,RB,ARI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Johnson,RB,BUF,7,Elusive,49.6,46.2,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,42.4,3.0,28.8,73.3,0.0,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears,RB,TEN,10,Elusive,81.0,94.4,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,66.7,30.3,25.8,74.7,12.1,,44.3,8.8,,,,,,25.9,92.6,,,,,,,,,,,,,,,,,
Tyler Allgeier,RB,ARI,13,Elusive,105.8,52.1,-53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,21.2,36.4,37.9,44.0,50.0,,39.3,3.5,30.9,29.8,21.3,29.8,53.2,,,,,,,,,,,,,,,,,,,
Tyrone Tracy Jr.,RB,NYG,16,Elusive,55.6,43.9,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,37.9,21.2,40.9,60.0,63.6,88.5,23.0,45.6,20.0,36.2,27.7,19.1,8.5,37.0,48.1,,,,,,,,,,,,,,,,,
Will Shipley,RB,PHI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks,RB,HOU,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,31.8,13.6,18.2,33.3,59.1,28.8,8.2,38.6,0.0,12.8,31.9,10.6,6.4,,,,,,,,,,,,,,,,,,,
Zach Charbonnet,RB,SEA,14,Elusive,81.3,79.6,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,75.8,77.3,97.0,25.3,42.4,17.3,59.0,31.6,87.3,51.1,44.7,51.1,80.9,,,,,,,,,,,,,,,,,,,
AJ Barner,TE,SEA,24,YPRR,1.13,1.35,0.22,89.4,14.6,41.7,9.3,58.7,63.6,22.2,75.6,77.8,70.6,67.6,94.1,52.9,73.5,,6.2,,83.3,16.3,77.1,87.1,77.5,55.6,68.9,73.3,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sinnott,TE,WAS,7,YPRR,0.46,1.09,0.63,97.9,2.1,20.8,,,,,,,,,,,,,10.4,,85.4,2.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenton Strange,TE,JAX,24,YPRR,1.49,1.58,0.09,83.0,43.8,64.6,34.9,78.3,70.5,53.3,48.9,73.3,88.2,91.2,91.2,44.1,17.6,,47.9,97.7,72.9,75.5,58.3,67.7,27.5,84.4,64.4,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers,TE,LV,25,YPRR,2.02,1.7,-0.32,78.7,56.2,77.1,65.1,89.1,43.2,66.7,62.2,64.4,58.8,55.9,17.6,70.6,79.4,,77.1,90.9,93.8,53.1,47.9,83.9,72.5,75.6,82.2,88.9,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Otton,TE,TB,25,YPRR,1.31,1.08,-0.23,12.8,37.5,18.8,7.0,19.6,59.1,13.3,77.8,13.3,17.6,11.8,55.9,11.8,67.6,,45.8,34.1,14.6,26.5,45.8,12.9,12.5,26.7,66.7,11.1,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Kolar,TE,LAC,6,,,,,51.1,45.8,50.0,,,,,,,,,,,,,,,2.1,67.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TE,WAS,15,,,,,,,,25.6,32.6,,,,,32.4,32.4,88.2,2.9,88.2,,83.3,9.1,39.6,38.8,70.8,,,17.8,53.3,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson,TE,LAR,24,YPRR,1.0,1.8,0.8,95.7,60.4,87.5,4.7,80.4,93.2,24.4,4.4,82.2,52.9,47.1,61.8,85.3,55.9,,4.2,50.0,37.5,42.9,72.9,16.1,47.5,66.7,60.0,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Kmet,TE,CHI,19,YPRR,0.91,0.96,0.05,29.8,16.7,6.2,53.5,15.2,50.0,86.7,55.6,15.6,,,,,,57.1,43.8,40.9,31.2,4.1,41.7,,17.5,42.2,24.4,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland,TE,CHI,26,,,,,55.3,89.6,89.6,83.7,71.7,25.0,93.3,82.2,46.7,85.3,85.3,79.4,35.3,61.8,85.7,93.8,84.1,50.0,95.9,75.0,25.8,57.5,82.2,84.4,80.0,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,TE,PHI,25,YPRR,2.18,1.34,-0.84,44.7,31.2,37.5,41.9,6.5,20.5,64.4,64.4,91.1,79.4,76.5,41.2,58.8,29.4,,31.2,75.0,18.8,77.6,54.2,0.0,97.5,68.9,77.8,82.2,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Kincaid,TE,BUF,25,YPRR,1.54,2.7,1.16,91.5,100.0,100.0,95.3,97.8,81.8,91.1,68.9,97.8,100.0,97.1,47.1,91.2,85.3,,95.8,100.0,95.8,100.0,25.0,58.1,75.0,100.0,46.7,40.0,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Schultz,TE,HOU,25,YPRR,1.08,1.57,0.49,31.9,77.1,62.5,14.0,39.1,45.5,44.4,88.9,48.9,73.5,64.7,85.3,50.0,38.2,,35.4,93.2,56.2,65.3,97.9,9.7,45.0,44.4,93.3,60.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Washington,TE,PIT,18,YPRR,1.26,1.72,0.46,66.0,62.5,81.2,60.5,67.4,95.5,20.0,6.7,17.8,,,,,,,58.3,68.2,54.2,55.1,10.4,,10.0,22.2,31.1,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Waller,TE,FA,19,,,,,72.3,22.9,83.3,88.4,28.3,6.8,97.8,95.6,93.3,,,,,,,85.4,86.4,87.5,83.7,29.2,71.0,100.0,95.6,15.6,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,TE,LAC,24,YPRR,1.33,1.06,-0.27,4.3,35.4,12.5,23.3,34.8,56.8,37.8,53.3,33.3,5.9,5.9,0.0,82.4,70.6,,16.7,47.7,8.3,24.5,37.5,93.5,87.5,40.0,20.0,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,TE,BUF,25,YPRR,1.04,1.35,0.31,34.0,27.1,43.8,67.4,13.0,54.5,68.9,17.8,51.1,47.1,52.9,70.6,41.2,50.0,,39.6,22.7,43.8,71.4,6.2,29.0,70.0,77.8,44.4,71.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Arroyo,TE,SEA,9,,,,,42.6,25.0,16.7,,0.0,,,,,,,,,,,0.0,43.2,10.4,28.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Engram,TE,DEN,23,YPRR,1.51,1.21,-0.3,19.1,33.3,25.0,,65.2,77.3,4.4,35.6,6.7,14.7,17.6,97.1,0.0,26.5,,14.6,29.5,35.4,34.7,22.9,35.5,2.5,2.2,42.2,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,TE,SF,25,YPRR,2.62,2.11,-0.51,74.5,97.9,93.8,76.7,60.9,34.1,55.6,73.3,95.6,94.1,88.2,73.5,97.1,76.5,,89.6,20.5,97.9,91.8,62.5,96.8,90.0,97.8,75.6,75.6,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dulcich,TE,MIA,15,YPRR,0.25,2.31,2.06,,95.8,95.8,81.4,95.7,97.7,26.7,93.3,80.0,,,,,,,97.9,4.5,,98.0,,,22.5,73.3,8.9,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar Helm,TE,TEN,24,,,,,23.4,68.8,54.2,74.4,41.3,15.9,28.9,42.2,44.4,20.6,20.6,58.8,88.2,2.9,,70.8,61.4,45.8,40.8,20.8,80.6,7.5,15.6,28.9,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr.,TE,CLE,25,,,,,76.6,81.2,72.9,62.8,84.8,52.3,40.0,40.0,40.0,11.8,14.7,8.8,17.6,91.2,,50.0,81.8,79.2,63.3,81.2,32.3,80.0,31.1,73.3,51.1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Henry,TE,NE,26,YPRR,1.39,1.54,0.15,48.9,85.4,60.4,32.6,91.3,68.2,80.0,26.7,60.0,76.5,79.4,14.7,55.9,47.1,42.9,66.7,54.5,81.2,59.2,60.4,38.7,32.5,71.1,88.9,93.3,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Likely,TE,NYG,18,YPRR,1.71,1.29,-0.42,70.2,12.5,35.4,16.3,87.0,38.6,73.3,71.1,66.7,,,,,,,54.2,95.5,41.7,36.7,43.8,,20.0,24.4,6.7,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,TE,CAR,18,YPRR,1.09,0.83,-0.26,0.0,6.2,2.1,0.0,21.7,9.1,17.8,37.8,37.8,,,,,,,29.2,15.9,4.2,14.3,14.6,,0.0,6.7,2.2,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,TE,DAL,25,YPRR,1.27,1.2,-0.07,27.7,41.7,22.9,37.2,26.1,18.2,11.1,60.0,68.9,35.3,38.2,35.3,94.1,35.3,,22.9,65.9,22.9,32.7,85.4,54.8,60.0,8.9,80.0,97.8,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Tonges,TE,SF,23,,,,,53.2,52.1,39.6,46.5,45.7,36.4,60.0,84.4,71.1,64.7,58.8,67.6,29.4,20.6,,27.1,,16.7,46.9,35.4,6.5,95.0,88.9,33.3,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,TE,NO,25,YPRR,1.34,1.69,0.35,63.8,64.6,75.0,55.8,30.4,47.7,71.1,24.4,62.2,67.6,70.6,76.5,67.6,32.4,,87.5,63.6,58.3,79.6,68.8,51.6,37.5,51.1,91.1,31.1,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts Sr.,TE,ATL,26,YPRR,1.33,1.71,0.38,93.6,50.0,79.2,79.1,82.6,29.5,62.2,66.7,42.2,44.1,41.2,64.7,61.8,0.0,14.3,75.0,56.8,91.7,51.0,95.8,45.2,82.5,53.3,97.8,66.7,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Musgrave,TE,GB,15,,,,,59.6,10.4,14.6,,,13.6,77.8,31.1,28.9,,,,,,,18.8,2.3,60.4,22.4,52.1,,,46.7,4.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,TE,BAL,25,YPRR,1.88,1.23,-0.65,85.1,4.2,29.2,27.9,37.0,0.0,75.6,51.1,24.4,8.8,8.8,5.9,32.4,14.7,,72.9,27.3,77.1,18.4,91.7,64.5,42.5,20.0,55.6,84.4,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Taylor,TE,NYJ,24,,,,,6.4,18.8,10.4,51.2,69.6,11.4,33.3,11.1,8.9,26.5,26.5,32.4,8.8,8.8,,8.3,36.4,0.0,44.9,33.3,100.0,5.0,4.4,62.2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Mayer,TE,LV,22,YPRR,0.67,1.48,0.81,68.1,70.8,58.3,69.8,73.9,75.0,6.7,57.8,0.0,2.9,2.9,50.0,5.9,41.2,,56.2,,52.1,30.6,18.8,,15.0,11.1,22.2,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,TE,CIN,19,YPRR,1.58,1.22,-0.36,17.0,47.9,27.1,72.1,2.2,2.3,95.6,97.8,2.2,,,,,,,60.4,59.1,27.1,49.0,31.2,41.9,52.5,62.2,26.7,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Fant,TE,NO,22,YPRR,1.29,1.35,0.06,2.1,75.0,45.8,2.3,93.5,61.4,0.0,80.0,84.4,0.0,0.0,100.0,79.4,44.1,,2.1,0.0,6.2,73.5,16.7,,,13.3,17.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Gray,TE,KC,17,YPRR,1.29,0.7,-0.59,36.2,0.0,0.0,18.6,23.9,65.9,42.2,15.6,4.4,,,,,,,12.5,25.0,33.3,0.0,64.6,,,0.0,0.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oronde Gadsden II,TE,LAC,25,,,,,21.3,93.8,70.8,100.0,4.3,31.8,84.4,8.9,35.6,50.0,50.0,23.5,64.7,94.1,100.0,37.5,88.6,68.8,87.8,83.3,90.3,30.0,86.7,71.1,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,TE,PIT,24,YPRR,1.42,1.41,-0.01,38.3,72.9,52.1,39.5,56.5,86.4,57.8,86.7,55.6,61.8,73.5,26.5,76.5,97.1,,91.7,13.6,64.6,57.1,39.6,48.4,65.0,80.0,37.8,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta,TE,DET,23,YPRR,1.56,2.0,0.44,40.4,87.5,91.7,86.0,76.1,90.9,31.1,100.0,88.9,91.2,94.1,44.1,100.0,82.4,,68.8,77.3,47.9,93.9,50.0,,67.5,93.3,48.9,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,TE,MIN,23,YPRR,1.56,1.05,-0.51,8.5,58.3,8.3,20.9,47.8,27.3,15.6,33.3,53.3,41.2,44.1,82.4,38.2,23.5,,52.1,18.2,25.0,20.4,66.7,,50.0,48.9,51.1,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,TE,LAR,15,,,,,80.9,29.2,31.2,93.0,10.9,,100.0,28.9,11.1,,,,,,71.4,62.5,31.8,89.6,6.1,12.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Johnson,TE,NYG,25,YPRR,0.9,1.24,0.34,87.2,20.8,33.3,44.2,17.4,22.7,82.2,0.0,22.2,23.5,23.5,11.8,14.7,11.8,,64.6,52.3,75.0,12.2,87.5,74.2,55.0,35.6,40.0,77.8,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,TE,CAR,16,YPRR,0.89,0.88,-0.01,10.6,8.3,4.2,,50.0,84.1,2.2,44.4,57.8,,,,,,,25.0,6.8,20.8,8.2,2.1,,,28.9,11.1,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce,TE,KC,26,YPRR,1.49,1.47,-0.02,57.4,54.2,56.2,11.6,43.5,72.7,48.9,22.2,26.7,55.9,61.8,29.4,23.5,52.9,0.0,79.2,72.7,66.7,61.2,100.0,19.4,35.0,64.4,95.6,64.4,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,TE,ARI,26,YPRR,2.14,1.78,-0.36,61.7,83.3,85.4,58.1,63.0,40.9,51.1,91.1,75.6,82.4,82.4,20.6,73.5,64.7,28.6,81.2,79.5,70.8,89.8,93.8,61.3,62.5,60.0,100.0,100.0,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft,TE,GB,24,YPRR,1.55,2.33,0.78,100.0,39.6,97.9,90.7,100.0,100.0,8.9,20.0,100.0,97.1,100.0,52.9,20.6,100.0,,100.0,11.4,100.0,10.2,79.2,,85.0,91.1,35.6,68.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Higbee,TE,LAR,19,,,,,46.8,66.7,66.7,97.7,52.2,79.5,46.7,13.3,86.7,,,,,,,41.7,45.5,12.5,85.7,27.1,,40.0,57.8,13.3,44.4,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren,TE,IND,25,,,,,25.5,91.7,68.8,48.8,54.3,88.6,35.6,46.7,31.1,38.2,35.3,38.2,26.5,58.8,,20.8,38.6,62.5,69.4,56.2,22.6,25.0,33.3,86.7,91.1,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Ertz,TE,FA,25,YPRR,1.32,1.37,0.05,14.9,79.2,47.9,30.2,8.7,4.5,88.9,2.2,20.0,29.4,29.4,2.9,47.1,5.9,,33.3,70.5,29.2,81.6,89.6,77.4,92.5,37.8,57.8,35.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
