Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TargetedReadFirstTotal
Nick Vannett,TEN,TE,11,No,Yes,No,6,4,No,No,3,0.75,0.6667,3,0.75,12,15,7,-4,0.8333,0.1667,-1,37.5,2,3,-2.3608,4,5,2.3333,7.4059,7.4059,0.3636,1.2,4.2,2.7,4.2,5.7,4.2,2.7,4.2,4.2,4.2,2.7,5.7,4.2,1,17,,,,,,,,,,,,
Brenden Bates,CLV,TE,4,No,No,Yes,4,1,No,No,,,0.25,,,,,,-2,0.75,,-2,39.6,,,-4.8511,,,,1.6098,1.6098,0.25,,,,,,,,,,,,,,,6,0.25,,,,,,,,,,,
Rome Odunze,CHI,WR,28,No,No,No,28,,No,Yes,,,,,,,,,,,0.1786,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8214,,,,,,,,,,,
Isaiah Davis,NYJ,RB,5,Yes,Yes,No,5,3,No,Yes,3,1,0.6,2,0.6667,20,13,5,16,,,5.3333,85.4,4,6.6667,-0.1886,10,6.5,2.5,4.19,4.19,0.6,2,4,3,5,4,4,3,4,4,4,3,4,4,,13,,1,1,2,,,,,,,,
Colby Parkinson,LA,TE,18,Yes,Yes,Yes,13,2,No,Yes,2,1,0.1538,2,1,17,11,1,6,0.9231,0.0769,3,102.1,1.3077,8.5,2.309,8.5,5.5,0.5,2.598,2.598,0.1111,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,,17,,,,,,,,,,,,
Tyjae Spears,TEN,RB,11,No,No,No,11,9,No,Yes,9,1,0.8182,9,1,48,50,21,-2,0.0909,,-0.2222,88.9,4.3636,5.3333,-0.6474,5.3333,5.5556,2.3333,12.6361,12.6361,0.8182,4.8,13.8,9.3,18.3,13.8,13.8,9.3,13.8,13.8,13.8,9.3,13.8,13.8,,12,,,0.9091,3,2,0.2222,,,,,,
Laviska Shenault,LAC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,
Josh Oliver,MIN,TE,8,No,No,No,6,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
Nick Chubb,CLV,RB,2,No,Yes,No,2,2,No,Yes,2,1,1,,,,,,7,,,3.5,,,,-6.8138,,,,2.9137,2.9137,1,,,,,,,,,,,,,,,8,,,1,,,,1,0.5,,,,
Michael Carter,ARZ,RB,6,Yes,Yes,No,6,4,No,No,4,1,0.6667,4,1,14,14,4,,,,,81.3,2.3333,3.5,-2.5353,3.5,3.5,1,5.5349,5.5349,0.6667,1.4,5.4,3.4,7.4,5.4,5.4,3.4,5.4,5.4,5.4,3.4,5.4,5.4,,3,,,1,1,,,,,,,,
