Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadFirstTotal,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage
Josh Palmer,LAC,WR,59,No,No,No,58,12,No,No,11,0.9167,0.2069,10,0.8333,98,5,4,113,,0.3276,0.6724,9.4167,100.7,1.6897,8.1667,0.5188,9.8,0.5,0.4,20.1656,20.1656,0.2034,9.8,19.8,14.8,19.8,19.8,19.8,14.8,19.8,19.8,19.8,14.8,19.8,19.8,15,10,,1,,5,,,,,2,,1,1,,,,
Antonio Gibson,NE,RB,36,No,Yes,No,31,1,No,Yes,,,0.0323,,,,,,,0.0323,0.0323,0.1613,,,,,-5.8271,,,,1.3082,1.3082,0.0278,,,,,,,,,,,,,,17,,,,,,,0.7742,,,,,,,,,,
Mason Kinsey,TEN,WR,6,No,No,No,6,2,No,Yes,2,1,0.3333,2,1,17,,,17,,1,,8.5,102.1,2.8333,8.5,0.8678,8.5,,,3.2312,3.2312,0.3333,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,6,2,,,,1,,,,,,,,,,,,
Charlie Woerner,ATL,TE,22,No,No,No,12,2,No,Yes,1,0.5,0.1667,1,0.5,6,1,,16,0.3333,0.5,0.1667,8,16.7,0.5,3,-4.6101,6,1,,2.983,2.983,0.0909,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,16,1,,,,,,,,,,,,,,,,
David Moore,CAR,WR,39,No,No,No,38,16,No,Yes,12,0.75,0.4211,10,0.625,100,26,23,169,,0.4211,0.5789,10.5625,80.2,2.6316,6.25,-2.0437,10,2.6,2.3,28.4041,28.4041,0.4103,10,20,15,20,20,23,18,20,20,20,15,20,20,17,11,,1,,4,2,,1,0.1,4,1,1,1,,,,
Justin Shorter,LV,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,94,Yes,Yes,No,93,35,No,Yes,33,0.9429,0.3763,29,0.8286,253,89,31,210,,0.5269,0.4409,6,106.3,2.7204,7.2286,0.4058,8.7241,3.069,1.069,56.2088,56.2088,0.3723,31.3,60.3,45.8,60.3,60.3,63.3,48.8,60.3,60.3,60.3,45.8,60.3,60.3,17,23,,,,14,9,0.0323,8,0.2759,7,1,3,1,1,1,1,0.0286
Isaiah Williams,CIN,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,4,,,4,,0.5,0.5,4,83.3,2,4,-2.0498,4,,,1.5114,1.5114,0.5,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,8,1,,,,,,,,,,,,,,,,
Chris Moore,ARZ,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,45,No,No,No,45,15,No,Yes,11,0.7333,0.3333,9,0.6,131,18,6,153,,0.3778,0.6222,10.2,60.7,2.9111,8.7333,0.565,14.5556,2,0.6667,23.9857,23.9857,0.3333,13.1,22.1,17.6,22.1,22.1,25.1,20.6,22.1,22.1,22.1,17.6,22.1,22.1,17,14,1,1,0.0667,7,1,,,,1,,,,,,,
Garrett Wilson,NYJ,WR,81,No,No,Yes,81,23,No,Yes,22,0.9565,0.284,20,0.8696,186,72,34,128,,0.3827,0.6173,5.5652,100.4,2.2963,8.087,1.2617,9.3,3.6,1.7,33.8759,33.8759,0.284,18.6,38.6,28.6,38.6,38.6,41.6,31.6,38.6,38.6,38.6,28.6,38.6,38.6,17,20,1,,0.0435,12,1,,5,0.25,1,,1,,,,,
Jeff Wilson,MIA,RB,6,No,No,Yes,4,1,No,Yes,1,1,0.25,1,1,6,4,2,2,,0.5,,2,91.7,1.5,6,-0.3947,6,4,2,1.3915,1.3915,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,9,,,,,,,0.5,,,,,,,,,,
Kenny McIntosh,SEA,RB,10,No,No,No,8,1,No,Yes,1,1,0.125,1,1,5,2,,3,,,0.375,3,87.5,0.625,5,-1.5094,5,2,,1.4333,1.4333,0.1,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,11,1,,,,,,0.625,,,,,,,,,,
Deuce Vaughn,DAL,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,
Kameron Johnson,TB,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,36,No,No,No,35,7,No,Yes,7,1,0.2,5,0.7143,50,15,9,63,,0.2286,0.7714,9,91.4,1.4286,7.1429,-0.631,10,3,1.8,12.6655,12.6655,0.1944,5,10,7.5,10,10,10,7.5,10,10,10,7.5,10,10,16,5,1,,0.1429,2,,,1,0.2,1,,,,,,,
Johnny Wilson,PHI,WR,23,No,Yes,No,22,4,No,Yes,3,0.75,0.1818,2,0.5,15,6,3,25,,0.2727,0.7273,6.25,59.4,0.6818,3.75,-3.1401,7.5,3,1.5,11.0014,11.0014,0.1739,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,16,2,1,,0.25,,,,,,,,,,,,,
Erik Ezukanma,MIA,WR,2,No,Yes,No,2,,Yes,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,14,No,No,Yes,8,,No,Yes,,,,,,,,,,0.125,,0.125,,,,,,,,,1.3723,1.3723,,,,,,,,,,,,,,,17,,,,,,,0.75,,,,,,,,,,
Quentin Johnston,LAC,WR,73,No,No,No,73,24,No,Yes,23,0.9583,0.3288,18,0.75,141,76,38,133,,0.1096,0.8904,5.5417,103,1.9315,5.875,-0.9246,7.8333,4.2222,2.1111,39.1463,39.1463,0.3288,20.1,38.1,29.1,38.1,38.1,41.1,32.1,38.1,38.1,38.1,29.1,38.1,38.1,15,19,3,,0.125,7,3,,5,0.2778,3,,1,,1,,1,0.0417
Blake Whiteheart,CLV,TE,7,No,No,Yes,6,1,No,Yes,1,1,0.1667,1,1,8,5,2,3,0.3333,0.1667,0.3333,3,100,1.3333,8,1.6782,8,5,2,3.0541,3.0541,0.1429,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,11,,,,,,,0.1667,1,1,,,,,,,,
Chris Manhertz,NYG,TE,27,No,Yes,No,13,1,No,Yes,1,1,0.0769,1,1,12,5,3,7,0.7692,0.2308,,7,116.7,0.9231,12,4.6922,12,5,3,1.3152,1.3152,0.037,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,17,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,49,No,No,No,44,9,No,Yes,9,1,0.2045,8,0.8889,46,13,11,40,0.4318,0.4091,0.1591,4.4444,125,1.0455,5.1111,-1.2358,5.75,1.625,1.375,15.4259,15.4259,0.1837,10.6,18.6,14.6,18.6,22.6,18.6,14.6,18.6,18.6,18.6,14.6,22.6,18.6,17,5,1,,0.1111,3,1,,3,0.375,1,1,1,,1,1,,
Zach Charbonnet,SEA,RB,75,No,No,No,57,7,No,Yes,6,0.8571,0.1228,6,0.8571,40,25,12,20,,0.1053,0.1754,2.8571,90.5,0.7018,5.7143,-0.8788,6.6667,4.1667,2,10.3117,10.3117,0.0933,4,10,7,13,10,10,7,10,10,10,7,10,10,17,2,,,,,,0.7193,1,0.1667,,,,,,,,
Chuba Hubbard,CAR,RB,53,No,No,No,39,2,No,Yes,2,1,0.0513,1,0.5,5,1,,9,,0.1026,0.3333,4.5,56.3,0.1282,2.5,-4.4474,5,1,,3.0334,3.0334,0.0377,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,15,1,1,,0.5,,,0.5641,,,,,,,,,,
Jared Wayne,HST,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,92,No,No,No,91,16,No,Yes,15,0.9375,0.1758,11,0.6875,107,36,18,123,,0.3516,0.6484,7.6875,87.2,1.1758,6.6875,-0.9499,9.7273,3.2727,1.6364,27.3795,27.3795,0.1739,10.7,21.7,16.2,21.7,21.7,24.7,19.2,21.7,21.7,21.7,16.2,21.7,21.7,17,12,2,,0.125,7,1,,1,0.0909,2,,1,,,,,
Cam Grandy,CIN,TE,6,No,No,No,5,1,No,Yes,1,1,0.2,1,1,3,,,3,0.6,,0.4,3,79.2,0.6,3,-3.3218,3,,,1.3675,1.3675,0.1667,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,8,1,,,,,1,,,,,,,,,,,
Malachi Corley,NYJ,WR,7,No,No,No,6,2,No,Yes,,,0.3333,,,,,,21,,0.3333,0.6667,10.5,39.6,,,-7.9076,,,,7.7939,7.7939,0.2857,,,,,,,,,,,,,,7,,,,,,2,,,,,1,,,,,,
Elijah Moore,CLV,WR,108,No,No,Yes,108,21,No,Yes,16,0.7619,0.1944,14,0.6667,110,8,4,174,,0.6019,0.3889,8.2857,59.6,1.0185,5.2381,-2.2482,7.8571,0.5714,0.2857,34.5768,34.5768,0.1944,11,25,18,25,25,28,21,25,25,25,18,25,25,17,15,1,1,0.0476,4,1,0.0093,2,0.1429,2,1,1,,,,,
Rachaad White,TB,RB,48,No,No,Yes,38,1,No,Yes,1,1,0.0263,1,1,-1,4,1,-5,,0.1053,0.1053,-5,79.2,-0.0263,-1,-6.8711,-1,4,1,1.176,1.176,0.0208,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,16,1,,,,,,0.7895,,,,,,,,,1,1
Ty Johnson,BUF,RB,34,No,Yes,No,30,2,No,Yes,1,0.5,0.0667,1,0.5,9,5,2,7,,0.0333,0.1,3.5,62.5,0.3,4.5,-2.0857,9,5,2,2.6691,2.6691,0.0588,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,17,1,,,,1,,0.8667,,,,,,,,,,
Van Jefferson,PIT,WR,58,No,No,No,55,10,No,Yes,9,0.9,0.1818,9,0.9,78,27,17,57,,0.2,0.8,5.7,99.2,1.4182,7.8,1.0685,8.6667,3,1.8889,17.0258,17.0258,0.1724,7.8,16.8,12.3,16.8,16.8,16.8,12.3,16.8,16.8,16.8,12.3,16.8,16.8,17,9,,,,3,,,2,0.2222,2,,2,,,,,
Derrick Henry,BLT,RB,34,No,No,Yes,20,1,No,Yes,1,1,0.05,1,1,12,12,12,,,0.05,0.05,,116.7,0.6,12,6.1729,12,12,12,1.1808,1.1808,0.0294,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,17,,,,,1,,0.9,1,1,,,,,,,,
Kareem Hunt,KC,RB,49,No,Yes,No,43,,No,Yes,,,,,,,,,,,0.0465,0.1163,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,0.8372,,,,,,,,,,
Brandon Powell,MIN,WR,16,Yes,Yes,No,16,5,No,Yes,5,1,0.3125,5,1,51,4,2,47,,0.625,0.375,9.4,109.2,3.1875,10.2,2.2825,10.2,0.8,0.4,8.3507,8.3507,0.3125,5.1,10.1,7.6,10.1,10.1,10.1,7.6,10.1,10.1,10.1,7.6,10.1,10.1,17,2,,,,3,1,,,,,,,,,,,
Calvin Austin,PIT,WR,57,No,No,No,57,12,No,Yes,9,0.75,0.2105,7,0.5833,54,9,5,109,,0.6491,0.3509,9.0833,69.4,0.9474,4.5,-3.5616,7.7143,1.2857,0.7143,22.4883,22.4883,0.2105,5.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,17,8,,1,,1,2,,,,1,1,,,,,,
Ronnie Bell,SF,WR,11,No,No,No,11,1,No,Yes,1,1,0.0909,1,1,12,19,,15,,0.0909,0.9091,15,116.7,1.0909,12,1.5903,12,19,,3.1685,3.1685,0.0909,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,8,1,,,,1,,,,,,,,,,,,
Jacob Cowing,SF,WR,11,No,No,No,11,1,Yes,Yes,1,1,0.0909,1,1,16,9,2,7,,0.7273,0.2727,7,118.8,1.4545,16,8.9355,16,9,2,3.423,3.423,0.0909,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,15,,,,,1,,,,,,,,,,,,
Geoff Swaim,CLV,TE,9,No,No,No,7,,No,Yes,,,,,,,,,,0.7143,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0.1429,,,,,,,,,,
Bijan Robinson,ATL,RB,94,No,No,No,71,5,No,Yes,5,1,0.0704,5,1,56,34,18,22,0.0141,0.0845,0.0563,4.4,113.3,0.7887,11.2,4.245,11.2,6.8,3.6,6.9425,6.9425,0.0532,5.6,10.6,8.1,13.1,10.6,10.6,8.1,10.6,10.6,10.6,8.1,10.6,10.6,17,,,,,3,,0.8451,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,13,No,No,No,10,,No,Yes,,,,,,,,,,,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,0.4,,,,,,,,,,
Cordarrelle Patterson,PIT,RB,15,No,No,No,14,6,No,Yes,6,1,0.4286,4,0.6667,27,18,7,24,0.0714,0.1429,0.4286,4,36.8,1.9286,4.5,-2.006,6.75,4.5,1.75,9.3773,9.3773,0.4,2.7,6.7,4.7,8.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,13,4,,,,1,1,0.3571,,,3,,1,,,,,
Isiah Pacheco,KC,RB,23,No,Yes,No,21,,No,Yes,,,,,,,,,,,0.0952,0.0952,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.8095,,,,,,,,,,
Pat Freiermuth,PIT,TE,76,No,No,No,74,17,No,Yes,17,1,0.2297,16,0.9412,169,66,36,106,0.2297,0.6351,0.1351,6.2353,127.7,2.2838,9.9412,2.815,10.5625,4.125,2.25,25.4794,25.4794,0.2237,21.9,37.9,29.9,37.9,45.9,40.9,31.9,36.9,36.9,36.9,28.9,45.9,36.9,17,11,1,,0.0588,5,1,,1,0.0625,,,,,1,,,
Zay Jones,ARZ,WR,17,No,No,No,17,2,Yes,Yes,2,1,0.1176,2,1,26,1,,25,,0.2353,0.7647,12.5,118.8,1.5294,13,4.386,13,0.5,,7.8583,7.8583,0.1176,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,11,,,1,,1,,,,,1,,1,,,,,
Irv Smith,HST,TE,3,No,No,No,2,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Stefon Diggs,HST,WR,39,Yes,No,No,39,16,No,Yes,14,0.875,0.4103,14,0.875,125,41,17,120,,0.5128,0.4872,7.5,73.2,3.2051,7.8125,0.5934,8.9286,2.9286,1.2143,25.0125,25.0125,0.4103,12.5,26.5,19.5,26.5,26.5,29.5,22.5,26.5,26.5,26.5,19.5,26.5,26.5,8,12,,1,,6,,,,,1,,1,,,,,
Ben Sinnott,WAS,TE,17,No,No,No,12,,No,Yes,,,,,,,,,,0.5833,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,0.0833,,,,,,,,,,
Darnell Mooney,ATL,WR,96,Yes,No,No,96,23,No,Yes,19,0.8261,0.2396,15,0.6522,209,57,20,269,,0.4375,0.5625,11.6957,94.3,2.1771,9.087,0.5862,13.9333,3.8,1.3333,38.2686,38.2686,0.2396,20.9,35.9,28.4,35.9,35.9,38.9,31.4,35.9,35.9,35.9,28.4,35.9,35.9,16,21,2,3,0.087,12,,,4,0.2667,3,,1,,,,,
Jeremy Ruckert,NYJ,TE,18,No,No,Yes,14,4,No,Yes,4,1,0.2857,4,1,23,6,4,17,0.3571,0.4286,0.2143,4.25,90.6,1.6429,5.75,-0.5871,5.75,1.5,1,5.9309,5.9309,0.2222,2.3,6.3,4.3,6.3,8.3,6.3,4.3,6.3,6.3,6.3,4.3,8.3,6.3,17,3,,,,3,,,,,1,,1,,,,,
Kalif Raymond,DET,WR,18,Yes,Yes,No,18,1,No,Yes,1,1,0.0556,,,,,,17,,0.3889,0.6111,17,39.6,,,-11.6653,,,,1.5328,1.5328,0.0556,,,,,,,,,,,,,,12,1,,,,,,,,,1,,,,,,,
Andrei Iosivas,CIN,WR,107,No,No,No,106,12,No,Yes,10,0.8333,0.1132,7,0.5833,45,4,5,86,0.0094,0.5,0.4906,7.1667,105.9,0.4245,3.75,-3.2322,6.4286,0.5714,0.7143,23.077,23.077,0.1121,16.5,23.5,20,23.5,23.5,23.5,20,23.5,23.5,23.5,20,23.5,23.5,17,7,1,,0.0833,3,2,,,,1,2,,1,2,2,,
Brandon Aiyuk,SF,WR,33,No,Yes,Yes,33,9,No,No,8,0.8889,0.2727,8,0.8889,100,8,4,101,,0.1818,0.8182,11.2222,113,3.0303,11.1111,1.3935,12.5,1,0.5,18.7912,18.7912,0.2727,10,18,14,18,18,21,17,18,18,18,14,18,18,7,6,,,,4,1,,,,1,,1,,,,,
Allen Lazard,NYJ,WR,52,No,No,Yes,51,11,No,Yes,9,0.8182,0.2157,7,0.6364,49,22,16,61,,0.3529,0.6471,5.5455,73.7,0.9608,4.4545,-2.1446,7,3.1429,2.2857,19.3131,19.3131,0.2115,4.9,11.9,8.4,11.9,11.9,11.9,8.4,11.9,11.9,11.9,8.4,11.9,11.9,12,8,1,,0.0909,5,2,,,,2,1,1,,,,,
Tanner Hudson,CIN,TE,21,No,No,No,19,9,No,Yes,9,1,0.4737,8,0.8889,56,25,11,37,0.2105,0.5789,0.1579,4.1111,129.6,2.9474,6.2222,-0.0702,7,3.125,1.375,15.4414,15.4414,0.4286,11.6,19.6,15.6,19.6,23.6,19.6,15.6,19.6,19.6,19.6,15.6,23.6,19.6,11,6,1,,0.1111,4,2,0.0526,1,0.125,,1,,,1,1,,
Curtis Samuel,BUF,WR,40,No,Yes,No,40,12,No,Yes,7,0.5833,0.3,6,0.5,61,20,8,94,,0.4,0.575,7.8333,30.2,1.525,5.0833,-2.3027,10.1667,3.3333,1.3333,18.2057,18.2057,0.3,6.1,12.1,9.1,12.1,12.1,12.1,9.1,12.1,12.1,12.1,9.1,12.1,12.1,14,7,,1,,3,1,0.025,1,0.1667,2,1,1,,,,,
Chase Brown,CIN,RB,77,No,No,Yes,65,7,No,Yes,7,1,0.1077,7,1,37,16,7,30,,0.0308,0.0769,4.2857,128.3,0.5692,5.2857,-1.2942,5.2857,2.2857,1,15.451,15.451,0.0909,9.7,16.7,13.2,20.2,16.7,16.7,13.2,16.7,16.7,16.7,13.2,16.7,16.7,16,3,,,,3,2,0.8923,1,0.1429,,1,,,1,1,,
Najee Harris,PIT,RB,36,No,No,No,33,4,No,Yes,4,1,0.1212,3,0.75,44,36,17,12,,0.0303,0.0909,3,110.4,1.3333,11,4.4717,14.6667,12,5.6667,5.3672,5.3672,0.1111,4.4,7.4,5.9,8.9,7.4,7.4,5.9,7.4,7.4,7.4,5.9,7.4,7.4,17,2,1,,0.25,2,,0.8788,2,0.6667,,,,,,,,
Devontez Walker,BLT,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,38,No,No,No,31,1,No,Yes,1,1,0.0323,,,,,,4,,0.2903,0.0323,4,39.6,,,-6.6619,,,,1.8659,1.8659,0.0263,,,,,,,,,,,,,,12,,1,,1,,1,0.6774,,,,,,,,,,
Jaheim Bell,NE,TE,5,No,Yes,No,5,,No,Yes,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,34,No,Yes,No,31,4,No,Yes,4,1,0.129,4,1,34,12,8,22,0.2903,0.5161,0.1935,5.5,102.1,1.0968,8.5,2.0317,8.5,3,2,5.5463,5.5463,0.1176,3.4,7.4,5.4,7.4,9.4,7.4,5.4,7.4,7.4,7.4,5.4,9.4,7.4,17,3,,,,2,,,,,,,,,,,,
