Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Jauan Jennings,SF,WR,23,2,2,11,3,8
Teagan Quitoriano,ATL,TE,2,,,,,
Ashton Dulin,IND,WR,4,,,,,
Tanner Conner,MIA,TE,6,3,2,18,2,16
Quintin Morris,JAX,TE,6,3,3,17,7,10
Moliki Matavao,NO,TE,1,,,,,
Ja'Tavion Sanders,CAR,TE,9,6,6,22,-1,23
Juwan Johnson,NO,TE,27,15,13,82,8,75
David Montgomery,DET,RB,4,,,,,
Mack Hollins,NE,WR,13,1,1,6,6,
Andrew Ogletree,IND,TE,4,1,1,4,3,1
Jaylen Warren,PIT,RB,10,1,1,2,-1,3
Kendrick Bourne,SF,WR,19,,,,,
Jack Bech,LV,WR,13,,,,,
Kevin Austin,NO,WR,6,,,,,
Tyler Badie,DEN,RB,7,1,,,1,
Jalen Brooks,ARZ,WR,2,,,,,
Kenneth Gainwell,PIT,RB,26,12,11,75,21,57
Bhayshul Tuten,JAX,RB,2,,,,,
Casey Washington,ATL,WR,6,,,,,
John Metchie,NYJ,WR,12,3,2,5,,3
Jalen Nailor,MIN,WR,18,4,4,17,6,11
Marquise Brown,KC,WR,19,3,2,24,9,22
KaVontae Turpin,DAL,WR,17,6,4,47,-5,54
DJ Moore,CHI,WR,23,1,,,2,
Bucky Irving,TB,RB,3,,,,,
Josh Oliver,MIN,TE,5,5,4,14,-7,18
Nick Chubb,HST,RB,8,,,,,
Michael Carter,ARZ,RB,8,1,1,1,-2,3
Tyjae Spears,TEN,RB,7,,,,,
Isaiah Davis,NYJ,RB,6,1,1,12,,12
Colby Parkinson,LA,TE,22,10,10,39,4,35
Isaiah Bond,CLV,WR,11,2,,,-1,
Brenden Bates,CLV,TE,4,2,1,6,3,3
Rome Odunze,CHI,WR,17,3,3,12,11,1
Jacory Croskey-Merritt,WAS,RB,1,,,,,
Josh Downs,IND,WR,17,4,4,16,9,7
Tetairoa McMillan,CAR,WR,24,1,1,8,-1,9
Devaughn Vele,NO,WR,17,,,,,
Quinshon Judkins,CLV,RB,7,1,,,5,
Tyler Allgeier,ATL,RB,4,,,,,
KeAndre Lambert-Smith,LAC,WR,2,,,,,
Foster Moreau,NO,TE,7,7,4,27,7,27
Trayveon Williams,CLV,RB,1,,,,,
Devin Singletary,NYG,RB,7,1,,,-2,
Gage Larvadain,CLV,WR,9,,,,,
Isaiah Hodgins,NYG,WR,4,1,1,8,,8
Zamir White,LV,RB,3,1,,,1,
Ameer Abdullah,IND,RB,2,,,,,
David Sills,ATL,WR,17,2,2,13,5,8
Kayshon Boutte,NE,WR,17,,,,,
Hunter Long,JAX,TE,6,4,3,18,10,10
Robbie Chosen,WAS,WR,1,,,,,
Ja'Marr Chase,CIN,WR,45,10,9,49,3,44
Adam Trautman,DEN,TE,9,4,3,22,20,16
D'Andre Swift,CHI,RB,13,3,2,12,-3,15
Jonathan Mingo,DAL,WR,1,,,,,
Cooper Kupp,SEA,WR,21,5,4,30,7,25
Tommy Tremble,CAR,TE,20,10,8,65,3,61
James Conner,ARZ,RB,2,,,,,
Shedrick Jackson,LV,WR,1,,,,,
Kyle Williams,NE,WR,8,,,,,
Anthony Firkser,DET,TE,3,3,3,15,4,11
Tyler Conklin,LAC,TE,2,1,,,2,
Tom Kennedy,DET,WR,1,,,,,
Chris Brooks,GB,RB,5,2,1,10,5,8
Christian Watson,GB,WR,16,1,1,5,2,3
Dare Ogunbowale,HST,RB,3,1,1,18,,18
Nico Collins,HST,WR,34,,,,,
Jerry Jeudy,CLV,WR,22,,,,,
Jake Ferguson,DAL,TE,44,31,27,123,-23,144
Davante Adams,LA,WR,28,1,,,3,
Elijah Arroyo,SEA,TE,11,4,3,18,5,14
Darius Slayton,NYG,WR,12,,,,,
Jordan Whittington,LA,WR,22,7,6,36,7,32
Josh Whyle,GB,TE,5,2,2,6,4,5
Travis Etienne,JAX,RB,5,,,,,
Samaje Perine,CIN,RB,10,,,,,
Bam Knight,ARZ,RB,3,,,,,
Jaret Patterson,LAC,RB,2,,,,,
J.K. Dobbins,DEN,RB,4,1,1,7,3,4
Emari Demercado,ARZ,RB,5,1,1,4,-1,5
Efton Chism,NE,WR,4,,,,,
Will Dissly,LAC,TE,7,6,5,45,8,39
KhaDarel Hodge,ATL,WR,5,,,,,
Rasheen Ali,BLT,RB,4,1,1,3,2,1
Charlie Jones,CIN,WR,2,,,,,
Saquon Barkley,PHI,RB,6,,,,,
Evan Engram,DEN,TE,29,20,15,86,14,81
Keleki Latu,BUF,TE,1,1,1,14,,14
Jamari Thrash,CLV,WR,6,1,1,3,2,1
Matthew Golden,GB,WR,26,3,2,5,,11
Connor Heyward,PIT,TE,2,,,,,
Dylan Sampson,CLV,RB,3,,,,,
Adonai Mitchell,NYJ,WR,11,,,,,
Jawhar Jordan,HST,RB,1,,,,,
Nick Westbrook-Ikhine,MIA,WR,8,2,2,16,7,9
Brevyn Spann-Ford,DAL,TE,11,4,4,18,3,15
Tyler Higbee,LA,TE,15,10,8,72,22,55
Jake Bobo,SEA,WR,2,,,,,
Pat Bryant,DEN,WR,18,,,,,
Marquez Valdes-Scantling,PIT,WR,19,,,,,
Jaylen Wright,MIA,RB,1,,,,,
Austin Hooper,NE,TE,12,5,3,16,11,8
Justin Watson,HST,WR,3,1,1,12,1,11
Rashee Rice,KC,WR,8,1,1,4,3,1
Mo Alie-Cox,IND,TE,12,7,6,48,,47
Bryce Oliver,TEN,WR,1,,,,,
Ollie Gordon,MIA,RB,1,,,,,
Ben Yurosek,MIN,TE,1,1,1,5,,5
Devin Culp,TB,TE,1,,,,,
Tyrone Tracy,NYG,RB,2,,,,,
Michael Mayer,LV,TE,14,8,7,50,10,41
Jelani Woods,NYJ,TE,1,,,,,
Marvin Harrison,ARZ,WR,17,,,,,
Treyton Welch,NO,TE,1,,,,,
Cedrick Wilson,MIA,WR,6,,,,,
Sean Tucker,TB,RB,1,,,,,
Brashard Smith,KC,RB,2,1,1,4,-3,7
John FitzPatrick,GB,TE,15,11,8,50,18,41
De'Von Achane,MIA,RB,10,1,,,2,
Mike Evans,TB,WR,4,,,,,
Xavier Smith,LA,WR,6,1,1,6,3,3
Kenneth Walker,SEA,RB,6,1,1,5,,5
Keon Coleman,BUF,WR,15,,,,,
Lil'Jordan Humphrey,DEN,WR,3,,,,,
Jordan Addison,MIN,WR,18,4,2,9,9,5
Tyler Lockett,LV,WR,17,1,,,3,
Audric Estime,NO,RB,3,,,,,
Charlie Kolar,BLT,TE,2,1,1,23,5,18
Zach Ertz,WAS,TE,11,3,3,22,7,15
Darnell Washington,PIT,TE,17,9,6,50,7,45
Greg Dortch,ARZ,WR,3,2,2,7,-6,13
Terrell Jennings,NE,RB,1,,,,,
Tip Reiman,ARZ,TE,3,1,1,2,-1,3
Davis Allen,LA,TE,25,15,12,89,,90
Javonte Williams,DAL,RB,22,2,2,8,5,3
Tyrell Shavers,BUF,WR,17,2,2,24,1,23
Courtland Sutton,DEN,WR,30,1,1,5,-4,9
Tyler Goodson,IND,RB,1,,,,,
Jordan Mason,MIN,RB,6,,,,,
Tre Tucker,LV,WR,32,3,2,17,-4,25
Michael Pittman,IND,WR,35,3,2,28,10,18
Tim Jones,JAX,WR,1,,,,,
Malik Washington,MIA,WR,16,2,2,27,,27
Jonathan Taylor,IND,RB,19,2,2,13,-1,14
Troy Franklin,DEN,WR,25,5,4,11,8,5
Laquon Treadwell,IND,WR,1,,,,,
Jakobie Keeney-James,GB,WR,1,,,,,
Tim Patrick,JAX,WR,6,2,2,11,1,10
Josh Reynolds,NYJ,WR,7,,,,,
Noah Gray,KC,TE,7,7,7,35,-4,39
Brian Thomas,JAX,WR,20,3,2,3,6,
Chimere Dike,TEN,WR,15,4,4,1,,3
DeAndre Hopkins,BLT,WR,2,,,,,
Xavier Hutchinson,HST,WR,31,3,3,15,5,10
Simi Fehoko,ARZ,WR,1,,,,,
T.J. Hockenson,MIN,TE,19,10,8,59,20,44
Stone Smartt,NYJ,TE,4,1,1,4,,4
Ian Thomas,LV,TE,8,5,5,37,-1,38
Zay Flowers,BLT,WR,10,2,2,9,3,6
Michael Wilson,ARZ,WR,25,2,2,22,2,20
Dalton Kincaid,BUF,TE,8,2,2,13,1,12
Jakobi Meyers,JAX,WR,28,6,5,26,14,12
Hunter Henry,NE,TE,20,11,10,106,15,92
Jahmyr Gibbs,DET,RB,9,1,1,2,-2,4
Zavier Scott,MIN,RB,1,,,,,
Gabe Davis,BUF,WR,7,,,,,
Taysom Hill,NO,TE,4,3,2,19,5,14
DeMario Douglas,NE,WR,7,3,3,25,-3,28
James Mitchell,CAR,TE,1,1,1,11,1,10
Cade Otton,TB,TE,18,10,8,32,9,26
Carter Runyon,LV,TE,1,,,,,
Malik Nabers,NYG,WR,2,,,,,
Xavier Weaver,ARZ,WR,6,,,,,
Ray-Ray McCloud,NYG,WR,11,1,1,8,2,6
Eric Saubert,SEA,TE,3,1,1,1,-2,3
Brian Robinson,SF,RB,2,,,,,
Alvin Kamara,NO,RB,2,,,,,
Jimmy Horn,CAR,WR,2,1,1,1,,1
Tai Felton,MIN,WR,3,1,1,10,-2,12
Tucker Fisk,LAC,TE,3,1,1,12,,12
Braxton Berrios,HST,WR,4,1,,,1,
Kendre Miller,NO,RB,2,,,,,
