Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Taysom Hill,NO,TE,11,5,4,22,22,6
Jeff Wilson,MIA,RB,2,,,,,
Kenny McIntosh,SEA,RB,2,,,,,
Kameron Johnson,TB,WR,3,1,,,5,
Dyami Brown,WAS,WR,16,,,,,
Garrett Wilson,NYJ,WR,58,23,16,178,147,73
Blake Whiteheart,CLV,TE,4,,,,,
Chris Manhertz,NYG,TE,3,,,,,
Johnny Wilson,PHI,WR,9,,,,,
Emanuel Wilson,GB,RB,5,,,,,
Quentin Johnston,LAC,WR,23,6,3,41,34,12
Harrison Bryant,LV,TE,1,,,,,
Tylan Wallace,BLT,WR,2,,,,,
Jonnu Smith,MIA,TE,24,5,4,83,48,48
Adam Thielen,CAR,WR,30,7,7,63,45,18
Elijah Higgins,ARZ,TE,10,1,1,4,5,-1
Dan Chisena,CAR,WR,1,,,,,
Braelon Allen,NYJ,RB,11,,,,,
Amon-Ra St. Brown,DET,WR,18,9,8,64,51,68
David Moore,CAR,WR,27,6,3,19,38,7
Tutu Atwell,LA,WR,14,,,,,
Josh Palmer,LAC,WR,19,7,4,41,53,6
Antonio Gibson,NE,RB,5,,,1,,
Charlie Woerner,ATL,TE,4,,,,,
Mason Kinsey,TEN,WR,1,,,,,
Bijan Robinson,ATL,RB,18,,,,,
Jaleel McLaughlin,DEN,RB,4,,,,,
Calvin Austin,PIT,WR,21,2,2,35,17,18
Ronnie Bell,SF,WR,7,2,1,10,8,5
Jacob Cowing,SF,WR,5,,,,,
Isiah Pacheco,KC,RB,6,,,,,
Cordarrelle Patterson,PIT,RB,3,1,1,20,15,5
Pat Freiermuth,PIT,TE,21,9,7,93,78,36
Xavier Worthy,KC,WR,18,1,1,19,7,12
Rachaad White,TB,RB,18,,,,,
Cam Grandy,CIN,TE,3,,,,,
Malachi Corley,NYJ,WR,4,1,1,2,2,
Elijah Moore,CLV,WR,52,13,10,101,84,38
AJ Barner,SEA,TE,9,2,2,26,16,10
Zach Charbonnet,SEA,RB,5,,,,,
Chuba Hubbard,CAR,RB,17,,,,,
Derrick Henry,BLT,RB,4,,,,,
Jared Wayne,HST,WR,1,,,,,
Brandon Powell,MIN,WR,5,2,,,23,
Kareem Hunt,KC,RB,5,,,,,
Ty Johnson,BUF,RB,10,,,,,
Nick Muse,MIN,TE,1,,,,,
Van Jefferson,PIT,WR,8,,,,,
Curtis Samuel,BUF,WR,10,2,1,9,7,5
Tanner Hudson,CIN,TE,4,3,3,41,14,27
Najee Harris,PIT,RB,4,,,,,
Chase Brown,CIN,RB,29,2,2,42,20,22
Daniel Bellinger,NYG,TE,9,,,,,
Drew Sample,CIN,TE,13,,,,,
Austin Ekeler,WAS,RB,9,1,1,14,1,13
Jaheim Bell,NE,TE,2,1,,,7,
Stefon Diggs,HST,WR,21,8,7,80,61,26
Ben Sinnott,WAS,TE,3,,,,,
Zay Jones,ARZ,WR,4,1,,,11,
Irv Smith,HST,TE,1,,,,,
Andrei Iosivas,CIN,WR,52,8,2,16,69,1
Brandon Aiyuk,SF,WR,15,3,,,16,
Allen Lazard,NYJ,WR,39,10,7,67,65,19
Darnell Mooney,ATL,WR,33,5,4,61,44,21
Jeremy Ruckert,NYJ,TE,7,,,,,
Kalif Raymond,DET,WR,9,1,1,38,19,19
Raheem Mostert,MIA,RB,8,,,,,
Jalen Coker,CAR,WR,21,3,3,36,30,6
Dallas Goedert,PHI,TE,13,1,1,9,6,3
Roschon Johnson,CHI,RB,5,,,,,
