Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
T.J. Hockenson,MIN,TE,12,5,5,24,13,11
Jalen Reagor,LAC,WR,5,,,,,
Trey McBride,ARZ,TE,29,13,11,102,28,78
Carson Steele,KC,RB,5,,,,,
John Bates,WAS,TE,7,4,3,38,4,31
Dontayvion Wicks,GB,WR,19,3,3,22,-5,27
Dawson Knox,BUF,TE,18,3,2,5,-2,5
Noah Brown,WAS,WR,13,2,2,6,,6
Marcedes Lewis,CHI,TE,2,1,1,2,1,1
Kyren Williams,LA,RB,17,,,,,
Tucker Kraft,GB,TE,28,22,18,201,41,174
Payne Durham,TB,TE,5,2,2,34,23,11
Trey Palmer,TB,WR,11,2,2,7,,7
Marvin Mims,DEN,WR,16,6,6,19,-16,35
Dallas Goedert,PHI,TE,17,12,11,63,23,44
Roschon Johnson,CHI,RB,5,,,,,
Cedric Tillman,CLV,WR,19,3,3,11,-1,12
Calvin Ridley,TEN,WR,27,,,,,
Baylor Cupp,KC,TE,1,1,,,-1,
Raheem Mostert,MIA,RB,7,1,1,2,2,
Jalen Coker,CAR,WR,13,,,,,
Kyle Pitts,ATL,TE,19,13,11,69,31,46
Dante Pettis,NO,WR,2,,,,,
Brevin Jordan,HST,TE,3,1,1,3,,3
Jayden Reed,GB,WR,17,3,1,12,1,12
Terry McLaurin,WAS,WR,19,1,1,3,,3
Ainias Smith,PHI,WR,2,,,,,
Chris Godwin,TB,WR,14,4,4,21,12,9
Zay Jones,ARZ,WR,7,1,1,5,2,3
Ben Sinnott,WAS,TE,6,2,2,10,6,4
Stefon Diggs,HST,WR,16,2,2,4,-6,10
Jeremy Ruckert,NYJ,TE,21,15,10,47,5,57
Kalif Raymond,DET,WR,5,,,,,
Darnell Mooney,ATL,WR,28,1,,,4,
Brandon Aiyuk,SF,WR,7,,,,,
Allen Lazard,NYJ,WR,30,4,2,7,-2,8
Andrei Iosivas,CIN,WR,34,4,2,9,1,11
Chase Brown,CIN,RB,15,2,1,4,4,2
Najee Harris,PIT,RB,18,3,3,34,9,25
Tanner Hudson,CIN,TE,4,3,2,14,-4,18
Curtis Samuel,BUF,WR,10,6,4,6,-2,5
Devontez Walker,BLT,WR,2,,,,,
Austin Ekeler,WAS,RB,5,1,1,7,2,5
Jaheim Bell,NE,TE,1,,,,,
Drew Sample,CIN,TE,17,10,9,37,-2,41
Daniel Bellinger,NYG,TE,10,4,4,31,6,25
Zach Charbonnet,SEA,RB,12,1,1,6,-1,7
