Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,ReceptionsHero,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Adonai Mitchell,IND,WR,3,Yes,Yes,No,3,No,Yes,0.3333,0.6667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,1,No,No,No,1,No,No,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,19,No,Yes,No,19,No,Yes,0.3684,0.6316,17,4,1,2,0.5,1,0.2105,1,1,0.25,17,68,1,1,1,3,17,2,84.4,0.8947,4.25,-6.032,0.25,17,1,8.4208,8.4208,0.2222,7.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,1,,,,,,,,,
Parris Campbell,PHI,WR,1,No,No,No,1,No,No,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,4,Yes,No,No,4,No,No,0.5,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,14,No,No,No,14,No,No,0.2143,0.7857,14,6,1,2,0.3333,,0.4286,1,1,0.1667,39,192,,,1,5,32,6,14.6,2.7857,6.5,-6.8572,0.1667,39,1,10.6201,10.6201,0.4286,3.9,4.9,4.4,4.9,4.9,4.9,4.4,4.9,4.9,4.9,4.4,4.9,4.9,,4,2,4,2,,,,,
KhaDarel Hodge,ATL,WR,5,No,No,No,5,No,Yes,0.6,0.4,16,2,1,2,1,,0.4,1,,0.5,22,44,,,,2,22,1,89.6,4.4,11,0.4139,,22,1,3.3534,3.3534,0.4,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,,6,2,6,2,,,,,
Will Dissly,LAC,TE,15,No,No,No,15,Yes,No,0.4667,0.0667,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4667,,,,
Rasheen Ali,BLT,RB,1,No,No,Yes,1,No,No,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Miles Sanders,CAR,RB,5,No,No,No,5,No,Yes,,0.4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,
Saquon Barkley,PHI,RB,8,Yes,No,No,7,No,Yes,,0.1429,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571,,,
Evan Engram,JAX,TE,8,No,Yes,No,7,No,No,0.4286,,9,1,,,,,0.1429,,,,,17,,,,1,17,,39.6,,,-11.6807,,,,1.5328,1.5328,0.125,,,,,,,,,,,,,,,,,,,0.5714,,,,
Jamari Thrash,CLV,WR,2,No,No,Yes,2,No,No,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Whyle,TEN,TE,5,No,Yes,No,3,No,Yes,,0.3333,17,1,,,,,0.3333,,,,,15,,,,,15,,39.6,,,-10.6391,,,,3.084,3.084,0.25,,,,,,,,,,,,,,,,,,,0.6667,,,,
Travis Etienne,JAX,RB,12,Yes,Yes,No,9,No,Yes,,0.1111,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8889,,,
Jordan Whittington,LA,WR,4,Yes,No,No,4,No,No,0.25,0.75,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaje Perine,KC,RB,6,No,No,No,5,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
J.K. Dobbins,LAC,RB,8,No,No,No,5,Yes,No,,0.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,
Jerry Jeudy,CLV,WR,25,No,No,Yes,25,No,No,0.24,0.76,17,9,2,6,0.6667,,0.36,5,1,0.5556,155,226,2,,,6,25.1111,5,100.5,6.2,17.2222,5.5007,,31,4,21.2106,21.2106,0.375,27.5,32.5,30,32.5,32.5,35.5,33,32.5,32.5,32.5,30,32.5,32.5,,35,,7,,,,,,
Dare Ogunbowale,HST,RB,12,No,Yes,No,9,No,Yes,0.1111,0.1111,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7778,,,
Nico Collins,HST,WR,21,No,Yes,No,21,No,Yes,0.0952,0.9048,12,9,1,5,0.5556,,0.4286,5,1,0.5556,203,246,1,,,7,27.3333,6,97.9,9.6667,22.5556,10.6638,,40.6,5,18.2408,18.2408,0.4286,26.3,31.3,28.8,31.3,31.3,34.3,31.8,31.3,31.3,31.3,28.8,31.3,31.3,,48,11,9.6,2.2,,,1,,
Jake Ferguson,DAL,TE,9,Yes,No,No,8,No,Yes,0.75,0.125,14,4,1,3,0.75,,0.5,2,1,0.5,50,90,,,,4,22.5,2,95.8,6.25,12.5,1.9465,,25,2,8.5311,8.5311,0.4444,5,7,6,7,8,7,6,7,7,7,6,8,7,,12,5,6,2.5,0.125,,,,
Davante Adams,NYJ,WR,15,Yes,No,No,15,No,Yes,0.4,0.6,14,4,,2,0.5,,0.2667,2,,0.5,97,114,1,,,3,28.5,2,135.4,6.4667,24.25,11.2702,,48.5,2,8.6124,8.6124,0.2667,15.7,17.7,16.7,17.7,17.7,17.7,16.7,17.7,17.7,17.7,16.7,17.7,17.7,,39,7,19.5,3.5,,,,,
Amari Cooper,BUF,WR,7,No,No,No,7,No,No,0.1429,0.8571,14,2,,,,,0.2857,,,,,92,,,,2,46,2,39.6,,,-15,,,,4.69,4.69,0.3333,,,,,,,,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,9,No,No,No,9,No,No,0.1111,0.8889,16,5,1,4,0.8,,0.5556,2,,0.4,79,105,,,,2,21,1,87.5,8.7778,15.8,4.3383,,39.5,2,8.2193,8.2193,0.5556,7.9,9.9,8.9,9.9,9.9,9.9,8.9,9.9,9.9,9.9,8.9,9.9,9.9,,27,22,13.5,11,,,,1,0.5
Chris Brooks,GB,RB,5,Yes,Yes,Yes,2,No,Yes,0.5,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Christian Watson,GB,WR,10,Yes,Yes,Yes,10,No,Yes,0.3,0.7,15,3,,1,0.3333,,0.3,1,,0.3333,44,103,1,,,2,34.3333,3,81.9,4.4,14.6667,0.9202,,44,1,4.3716,4.3716,0.3,10.4,11.4,10.9,11.4,11.4,11.4,10.9,11.4,11.4,11.4,10.9,11.4,11.4,,4,,4,,,,,,
Dallin Holker,NO,TE,4,No,No,No,3,No,No,,0.6667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,
James Conner,ARZ,RB,4,No,No,No,4,Yes,No,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Justice Hill,BLT,RB,10,Yes,No,No,7,No,Yes,,0.1429,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571,,,
Tyler Conklin,NYJ,TE,17,Yes,No,No,16,No,Yes,0.6875,,16,5,1,3,0.6,,0.3125,2,,0.4,47,92,,,,3,18.4,1,74.6,2.9375,9.4,-2.0211,,23.5,2,9.6452,9.6452,0.3125,4.7,6.7,5.7,6.7,7.7,6.7,5.7,6.7,6.7,6.7,5.7,7.7,6.7,,9,2,4.5,1,0.3125,,,,
Sincere McCormick,LV,RB,1,No,No,No,1,No,No,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
K.J. Osborn,WAS,WR,6,No,No,No,6,No,No,0.3333,0.6667,9,1,,1,1,1,0.1667,1,,1,22,24,1,1,,1,24,1,158.3,3.6667,22,10.2471,,22,1,3.3553,3.3553,0.1667,8.2,9.2,8.7,9.2,9.2,9.2,8.7,9.2,9.2,9.2,8.7,9.2,9.2,,,,,,,,,,
Jase McClellan,ATL,RB,1,No,No,No,1,No,Yes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ja'Marr Chase,CIN,WR,21,No,No,No,21,No,No,0.3333,0.6667,17,9,,6,0.6667,,0.4286,6,,0.6667,251,190,2,,,6,21.1111,3,109.7,11.9524,27.8889,16.3148,,41.8333,6,15.7531,15.7531,0.4286,37.1,43.1,40.1,43.1,43.1,46.1,43.1,43.1,43.1,43.1,40.1,43.1,43.1,,113,13,18.8333,2.1667,,,,2,0.3333
D'Andre Swift,CHI,RB,12,Yes,Yes,Yes,9,No,Yes,,0.1111,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8889,,,
Adam Trautman,DEN,TE,11,No,No,No,7,No,No,,0.1429,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571,,,,
Jonathan Mingo,DAL,WR,8,Yes,No,No,8,No,Yes,0.375,0.625,17,2,,1,0.5,,0.25,,,,,35,,,,1,17.5,,39.6,,,-11.2822,,,,3.7864,3.7864,0.25,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,LA,WR,8,No,No,No,8,Yes,No,0.75,0.25,12,3,1,2,0.6667,1,0.375,2,1,0.6667,86,60,2,1,,3,20,2,149.3,10.75,28.6667,17.4372,,43,2,10.197,10.197,0.375,20.6,22.6,21.6,22.6,22.6,22.6,21.6,22.6,22.6,22.6,21.6,22.6,22.6,1,47,,23.5,,,,,,
Tommy Tremble,CAR,TE,6,No,No,No,6,No,Yes,0.3333,,12,1,1,1,1,,0.1667,1,1,1,20,18,,,,1,18,,118.8,3.3333,20,7.0268,,20,1,1.2143,1.2143,0.1667,2,3,2.5,3,3.5,3,2.5,3,3,3,2.5,3.5,3,,2,1,2,1,0.6667,,,,
Kayshon Boutte,NE,WR,20,No,No,Yes,20,No,Yes,0.2,0.75,15,10,,3,0.3,,0.5,3,,0.3,93,303,1,,,8,30.3,6,59.6,4.65,9.3,-3.2261,,31,3,21.6991,21.6991,0.5,15.3,18.3,16.8,18.3,18.3,18.3,16.8,18.3,18.3,18.3,16.8,18.3,18.3,,31,6,10.3333,2,0.05,,,,
Hunter Long,LA,TE,1,Yes,No,No,1,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ben Sims,GB,TE,7,Yes,Yes,Yes,5,No,Yes,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
DeAndre Carter,CHI,WR,3,No,No,No,3,No,No,0.6667,0.3333,13,,,,,,,,,,,,,,,,,,,,,,,,,2.0167,2.0167,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Chosen,MIA,WR,1,No,No,No,1,Yes,Yes,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,9,No,No,No,8,No,No,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Zamir White,LV,RB,1,No,No,Yes,1,No,Yes,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ameer Abdullah,LV,RB,4,No,Yes,No,2,Yes,Yes,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Trey Sermon,IND,RB,7,Yes,Yes,No,5,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Josh Downs,IND,WR,14,Yes,Yes,No,14,No,Yes,0.9286,0.0714,14,5,1,2,0.4,,0.3571,1,,0.2,22,92,,,,5,18.4,2,45.4,1.5714,4.4,-6.6604,,22,1,9.6146,9.6146,0.3846,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,,3,,3,,,,,,
Khalil Herbert,CIN,RB,1,No,No,No,1,No,No,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Devaughn Vele,DEN,WR,9,No,No,No,9,No,No,0.5556,0.4444,13,3,1,3,1,,0.3333,2,1,0.6667,57,60,,,1,3,20,2,109.7,6.3333,19,7.7705,0.3333,28.5,2,4.9101,4.9101,0.3333,5.7,7.7,6.7,7.7,7.7,7.7,6.7,7.7,7.7,7.7,6.7,7.7,7.7,,15,6,7.5,3,,,,,
Tyler Allgeier,ATL,RB,3,No,No,No,3,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Foster Moreau,NO,TE,19,No,No,No,13,No,No,0.1538,0.0769,17,2,,2,1,,0.1538,2,,1,62,36,,,,2,18,1,118.8,4.7692,31,20.5717,,31,2,4.7233,4.7233,0.1053,6.2,8.2,7.2,8.2,9.2,8.2,7.2,8.2,8.2,8.2,7.2,9.2,8.2,,26,10,13,5,0.7692,,,,
Isaiah Davis,NYJ,RB,1,Yes,No,No,1,No,Yes,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,7,Yes,No,No,6,No,No,0.1667,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,,,,
Rome Odunze,CHI,WR,21,Yes,Yes,Yes,21,No,Yes,0.4762,0.5238,17,9,,2,0.2222,2,0.4286,1,,0.1111,28,187,,,1,6,20.7778,4,40,1.3333,3.1111,-8.1784,0.1111,28,1,17.8196,17.8196,0.4286,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,1,11,4,11,4,,,,1,1
D.J. Moore,CHI,WR,22,Yes,Yes,Yes,22,No,Yes,0.2273,0.7727,17,5,,2,0.4,,0.2273,2,,0.4,44,123,,,,3,24.6,2,72.1,2,8.8,-2.9921,,22,2,10.5798,10.5798,0.2273,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,,2,1,1,0.5,,,,,
Bucky Irving,TB,RB,9,No,No,No,9,No,No,0.1111,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8889,,,
Josh Oliver,MIN,TE,13,No,Yes,Yes,10,No,No,,,15,2,,2,1,,0.2,2,,1,50,44,,,,2,22,1,118.8,5,25,14.9245,,25,2,3.8236,3.8236,0.1538,5,7,6,7,8,7,6,7,7,7,6,8,7,,6,1,3,0.5,1,,,,
Nick Chubb,CLV,RB,6,Yes,No,No,4,No,No,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Tyjae Spears,TEN,RB,7,No,No,No,4,No,No,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Laviska Shenault,LAC,WR,1,No,No,No,1,No,Yes,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,21,No,Yes,Yes,21,No,No,0.619,0.381,17,4,,1,0.25,2,0.1905,1,,0.25,22,91,,,,3,22.75,3,50,1.0476,5.5,-5.5825,,22,1,9.4312,9.4312,0.1905,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,1,2,,2,,,,,,
John Metchie,HST,WR,9,No,Yes,No,9,No,Yes,0.5556,0.4444,13,2,,2,1,,0.2222,2,,1,44,36,,,,1,18,,118.8,4.8889,22,10.2013,,22,2,4.0043,4.0043,0.2222,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,,8,,4,,,,,,
KaVontae Turpin,DAL,WR,8,Yes,No,No,7,No,Yes,1,,17,4,,4,1,,0.5714,4,,1,106,83,,,,3,20.75,1,118.8,15.1429,26.5,14.7933,,26.5,4,7.737,7.737,0.5,10.6,14.6,12.6,14.6,14.6,17.6,15.6,14.6,14.6,14.6,12.6,14.6,14.6,,23,3,5.75,0.75,,,,,
Jamison Crowder,WAS,WR,2,Yes,No,No,2,No,Yes,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mims,NO,RB,3,No,No,No,2,No,No,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,2,Yes,No,No,2,No,Yes,,1,14,1,,,,,0.5,,,,,16,,,,,16,,,,,-10.0952,,,,1.8642,1.8642,0.5,,,,,,,,,,,,,,,,,,,,,,,
