name,video_note,n_clips
Darnell Mooney,"“They raise the money just about $750,000 and shoot this movie Obsession in 20 days.” (@brettkollmann) | “I'm going to, Meg and Fanspeak were doing their 1k subs and then some money.” (@jakobsanderson)",17
Luther Burden III,"“Like I'm the person who would people would think of it's like not being excited enough about Luther burden but like Luther burden was literally my highest drafted player last year.” (@patkerrane) | “These dig patterns, these end cuts, and oh, yes, the freak of nature athlete with the ball in his hands that Luther Burd",14
Lamar Jackson,"“You lose Linderbaum, draft a guard inside the top 14, but for the most part, it's kind of the same thing with Lamar Jackson in terms of the skill guys.” (@joshnorris) | “10 in the sequence to Jackson Churio, struck him out on a pitch above the zone, Robleski gets out of it, Brewers send...” (@corbin_young21)",13
David Montgomery,"“May 28th, Tameka Ryan said, and it's not a long quote, he starts off saying that David Montgomery, outstanding addition for us when it comes to his approach to the game, he's dialed in mentally, physically, he's in really great shape.” (@coachspeakindex) | “I mean, I think one thing with Montgomery, he's what he's get",13
Terry McLaurin,"“What stands out to me is when David Blau took over as the team's play caller, literally his first quote was, how do we get Terry McLaurin 10 targets per game?” (@joshnorris) | “We are only one year removed for Terry McLaurin being wide receiver 14 and fantasy points per game.” (@smitchell17)",11
Fernando Mendoza,"“They line up and run formations to set up the pass, so the line is better, and I think the scheme is better, and in general, the offense, Fernando Mendoza stepping in, should be better, such that Genti sees, you know, less heavy boxes.” (@benjaminsolak) | “Now, Fernando Mendoza has said early on he's focusing on his f",10
Alec Pierce,"“I think you can include Alec Pierce kind of in there, too.” (@joshnorris) | “So, if we have that box that I'm going to keep on talking about, the deep and inside piece should be taken by Reid Blankenship.” (@syedschemes)",10
Josh Downs,“I would not be shocked whatsoever if Josh Downs led the Colts in receptions this year.” (@jamesdkoh) | “Third downs would be about a 57 yard attempt from here.” (@ihartitz),9
Jordan James,"“And then LeBron James and Giannis Antetokounmpo have won championships before, can take the lead in the postseason.” (@clevta) | “You're not supposed to draw a play up for anybody except LeBron James in that situation.” (@clevta)",9
Omar Cooper Jr.,"“He's physical after the catch, but I can already talk myself into a pipeline of targets for those three names that I said versus what Omar Cooper is probably going to get this year.” (@haydenwinks) | “I like certain aspects of Omar Cooper's game, Gumby-like movements.” (@haydenwinks)",8
C.J. Stroud,"“Stroud supporter, I feel like Nate has done a really good job of, even when things are going south from a production standpoint or perception standpoint, saying, this quarterback is still playing well.” (@sammonsonnfl) | “But his and Stroud's supporters would argue that you put a good offensive line in front of him, h",8
Aaron Rodgers,"“They have two third-round picks in 2025 in Caleb Rogers and Charles Grant, and then a 2026 third-rounder in Trey Zoon III.” (@benjaminsolak) | “think if you're if you're the sly receiver and you see the nickel wearing 42 where's the ball going aaron rogers told me if you ever saw a quarter corner wearing 40 he's throw",7
Sam LaPorta,"“If you told me right now, like, there are going to be five weeks scattered throughout the season where Sam Laporta is actually going to have a 95% route participation rate because they're going to be in heavy sets.” (@joshnorris) | “Sam Laporta is coming off of a significant injury, a back injury that as soon as he su",7
Bucky Irving,"“After the first day of OTAs that Bucky Irving missed because of off-season shoulder surgery, head coach Todd Bowles gets on the microphone and says that he expects Bucky to return, quote, sometime during the summer or fall.” (@joshnorris) | “I mean, this is a player during his rookie season and Bucky Irving, who was s",7
