"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"142","Dontayvion Wicks","GB","WR","14","2025","213","0.21","1.56","0.36","61","0.30","2.00","0.58","145","0.18","1.45","0.28","115","0.25","1.88","0.41","98","0.15","1.18","0.29"
"143","Travis Hunter","JAX","WR","7","2025","212","0.21","1.41","0.30","35","0.20","1.94","0.48","167","0.22","1.38","0.28","117","0.21","1.13","0.28","95","0.21","1.75","0.32"
"144","Ja'Tavion Sanders","CAR","TE","13","2025","211","0.16","0.90","0.26","50","0.10","0.36","0.24","150","0.19","1.10","0.27","108","0.12","0.50","0.19","103","0.20","1.32","0.33"
"145","Chris Moore","WAS","WR","14","2025","210","0.10","0.99","0.18","58","0.16","1.98","0.37","148","0.08","0.62","0.11","133","0.12","1.20","0.23","77","0.06","0.61","0.10"
"146","Michael Mayer","LV","TE","13","2025","209","0.23","1.57","0.35","53","0.21","1.49","0.30","148","0.24","1.66","0.34","112","0.22","1.99","0.37","97","0.25","1.08","0.34"
"147","Mike Evans","TB","WR","8","2025","209","0.28","1.76","0.41","53","0.34","1.75","0.70","149","0.27","1.85","0.32","116","0.28","1.69","0.43","93","0.28","1.85","0.38"
"148","Greg Dortch","ARZ","WR","12","2025","207","0.16","1.00","0.36","39","0.13","1.95","0.63","158","0.18","0.82","0.27","100","0.11","0.66","0.23","107","0.21","1.31","0.42"
"149","Isaiah Williams","NYJ","WR","15","2025","202","0.17","0.96","0.24","54","0.11","0.69","0.14","145","0.19","1.08","0.26","102","0.14","0.75","0.18","100","0.20","1.17","0.27"
"150","Daniel Bellinger","NYG","TE","16","2025","196","0.13","1.46","0.30","62","0.11","0.82","0.15","127","0.15","1.85","0.40","115","0.16","2.00","0.42","81","0.10","0.69","0.14"
"151","Jaylin Noel","HST","WR","17","2025","195","0.18","1.50","0.35","63","0.19","0.67","0.29","124","0.17","2.02","0.40","94","0.17","1.30","0.27","101","0.19","1.68","0.42"
"152","Luke Musgrave","GB","TE","17","2025","195","0.16","1.29","0.25","42","0.17","1.74","0.29","145","0.17","1.23","0.25","96","0.14","1.33","0.25","99","0.18","1.25","0.26"
"153","Kalif Raymond","DET","WR","15","2025","194","0.14","1.49","0.31","50","0.14","1.78","0.42","141","0.15","1.42","0.27","90","0.14","1.73","0.36","104","0.14","1.28","0.25"
"154","Jordan Whittington","LA","WR","17","2025","194","0.12","0.88","0.19","58","0.09","0.34","0.09","128","0.15","1.18","0.24","114","0.14","1.07","0.21","80","0.10","0.61","0.14"
"155","Noah Fant","CIN","TE","15","2025","193","0.20","1.49","0.40","50","0.06","0.24","0.20","136","0.26","2.02","0.44","78","0.17","1.50","0.37","115","0.23","1.49","0.43"
"156","Drew Sample","CIN","TE","17","2025","191","0.09","0.55","0.17","47","0.09","0.87","0.15","139","0.09","0.44","0.12","85","0.08","0.26","0.08","106","0.09","0.79","0.23"
"157","Tucker Kraft","GB","TE","8","2025","190","0.22","2.57","0.62","64","0.36","4.25","1.07","120","0.15","1.75","0.34","117","0.27","3.21","0.67","73","0.14","1.56","0.53"
"158","DeAndre Hopkins","BLT","WR","17","2025","189","0.19","1.75","0.35","80","0.20","1.99","0.40","105","0.18","1.63","0.33","99","0.26","2.47","0.47","90","0.10","0.94","0.23"
"159","Xavier Weaver","ARZ","WR","9","2025","187","0.07","0.36","0.07","44","0.09","0.66","0.11","138","0.07","0.28","0.06","90","0.08","0.49","0.09","97","0.06","0.24","0.05"
"160","Isaiah Hodgins","NYG","WR","7","2025","185","0.09","0.62","0.15","58","0.14","0.59","0.09","118","0.06","0.58","0.12","108","0.09","0.62","0.11","77","0.09","0.62","0.21"
"161","Austin Hooper","NE","TE","16","2025","185","0.14","1.42","0.32","32","0.13","1.81","0.28","147","0.14","1.38","0.29","104","0.16","1.78","0.37","81","0.10","0.96","0.26"
"162","Darnell Washington","PIT","TE","16","2025","182","0.24","2.00","0.41","34","0.24","1.29","0.42","134","0.22","2.05","0.38","88","0.27","2.17","0.40","94","0.20","1.84","0.40"
"163","Jaylin Lane","WAS","WR","15","2025","182","0.17","1.24","0.22","63","0.21","2.00","0.30","115","0.16","0.86","0.17","110","0.19","1.23","0.20","72","0.14","1.25","0.22"
"164","Dyami Brown","JAX","WR","14","2025","181","0.20","1.25","0.28","36","0.17","0.89","0.34","138","0.22","1.41","0.26","107","0.18","1.47","0.31","74","0.24","0.95","0.22"
"165","Nick Westbrook-Ikhine","MIA","WR","15","2025","179","0.10","0.50","0.11","36","0.06","","0.00","137","0.11","0.65","0.15","105","0.09","0.32","0.08","74","0.12","0.74","0.16"
"166","Davis Allen","LA","TE","17","2025","179","0.18","1.16","0.35","43","0.30","0.91","0.56","131","0.15","1.29","0.30","92","0.23","1.37","0.38","87","0.14","0.94","0.32"
"167","Dalton Kincaid","BUF","TE","12","2025","179","0.27","3.19","0.70","66","0.24","2.18","0.45","108","0.30","3.91","0.83","105","0.25","3.04","0.62","74","0.31","3.41","0.83"
"168","Jack Bech","LV","WR","16","2025","178","0.15","1.26","0.24","53","0.19","1.40","0.25","119","0.14","1.26","0.24","84","0.18","1.93","0.35","94","0.13","0.66","0.14"
"169","Jeremy Ruckert","NYJ","TE","17","2025","173","0.16","1.03","0.27","29","0.14","0.55","0.12","140","0.17","1.16","0.31","94","0.19","1.17","0.34","79","0.13","0.87","0.19"
"170","Tyler Higbee","LA","TE","10","2025","173","0.21","1.62","0.41","59","0.22","0.92","0.43","110","0.20","2.06","0.42","96","0.21","1.41","0.28","77","0.21","1.90","0.58"
"171","Tyrell Shavers","BUF","WR","17","2025","170","0.13","1.44","0.27","58","0.14","1.69","0.27","107","0.13","1.37","0.28","120","0.13","1.41","0.23","50","0.14","1.52","0.35"
"172","Kyle Williams","NE","WR","17","2025","169","0.12","1.24","0.29","41","0.17","2.07","0.43","125","0.11","0.99","0.25","93","0.13","1.52","0.35","76","0.12","0.89","0.22"
"173","Adam Trautman","DEN","TE","17","2025","166","0.14","1.17","0.27","19","0.16","1.37","0.61","137","0.15","1.23","0.25","77","0.13","1.42","0.27","89","0.15","0.97","0.28"
"174","Konata Mumpfield","LA","WR","17","2025","166","0.13","0.55","0.15","45","0.18","0.36","0.21","111","0.13","0.68","0.14","88","0.13","0.35","0.15","78","0.14","0.78","0.16"
"175","Mason Tipton","NO","WR","13","2025","165","0.10","0.46","0.12","30","0.10","0.37","0.10","134","0.10","0.49","0.12","71","0.08","0.52","0.14","94","0.12","0.41","0.09"
"176","Zay Jones","ARZ","WR","8","2025","163","0.10","1.12","0.19","38","0.11","0.39","0.09","117","0.09","1.44","0.23","84","0.12","0.76","0.15","79","0.08","1.51","0.23"
"177","Terrance Ferguson","LA","TE","13","2025","162","0.15","1.43","0.32","51","0.12","1.90","0.39","107","0.16","1.22","0.23","91","0.14","1.77","0.24","71","0.17","0.99","0.42"
"178","Josh Reynolds","NYJ","WR","5","2025","153","0.14","0.66","0.15","31","0.16","0.74","0.17","120","0.13","0.65","0.13","70","0.16","0.96","0.20","83","0.12","0.41","0.09"
"179","Tyler Johnson","NYJ","WR","12","2025","151","0.11","1.30","0.25","36","0.03","0.42","0.24","110","0.14","1.65","0.27","79","0.06","0.90","0.13","72","0.15","1.75","0.38"
"180","Darren Waller","MIA","TE","9","2025","148","0.23","1.91","0.60","28","0.21","1.43","0.75","111","0.22","2.04","0.40","70","0.19","1.33","0.25","78","0.27","2.44","0.91"
"181","Calvin Ridley","TEN","WR","7","2025","148","0.23","2.05","0.32","38","0.11","2.05","0.28","105","0.28","2.14","0.35","78","0.19","1.87","0.29","70","0.27","2.24","0.35"
"182","Lil'Jordan Humphrey","NYG, DEN","WR","10","2025","148","0.16","1.05","0.23","46","0.13","0.13","0.03","93","0.17","1.61","0.35","72","0.11","1.14","0.27","76","0.20","0.97","0.20"
"183","Allen Lazard","NYJ","WR","10","2025","145","0.12","0.48","0.16","23","0.13","0.57","0.14","116","0.10","0.49","0.17","72","0.18","0.75","0.27","73","0.07","0.22","0.05"
"184","Roman Wilson","PIT","WR","13","2025","144","0.14","1.15","0.28","49","0.18","2.33","0.46","87","0.13","0.60","0.20","60","0.13","1.08","0.16","84","0.14","1.20","0.36"
"185","Hunter Renfrow","CAR","WR","6","2025","143","0.16","0.62","0.25","38","0.18","0.58","0.51","99","0.14","0.51","0.13","74","0.18","0.64","0.24","69","0.14","0.61","0.26"
"186","Tim Patrick","JAX","WR","16","2025","141","0.17","1.33","0.37","53","0.15","1.55","0.48","81","0.20","1.30","0.33","79","0.15","1.49","0.31","62","0.19","1.11","0.43"
"187","Treylon Burks","WAS","WR","8","2025","141","0.16","0.92","0.21","37","0.27","1.14","0.33","101","0.12","0.87","0.17","65","0.18","1.60","0.34","76","0.14","0.34","0.09"
"188","Kevin Austin","NO","WR","8","2025","134","0.17","1.04","0.25","24","0.13","0.17","0.06","107","0.19","1.27","0.30","62","0.11","0.79","0.26","72","0.22","1.26","0.24"
"189","Tutu Atwell","LA","WR","10","2025","133","0.11","1.44","0.23","43","0.14","2.14","0.40","89","0.10","1.12","0.16","73","0.14","1.85","0.32","60","0.08","0.95","0.13"
"190","Elijah Arroyo","SEA","TE","13","2025","133","0.19","1.35","0.28","30","0.17","1.20","0.39","94","0.19","1.51","0.27","62","0.18","1.34","0.34","71","0.20","1.35","0.23"
"191","Luke Schoonmaker","DAL","TE","17","2025","133","0.17","0.99","0.20","28","0.11","0.82","0.15","99","0.20","1.10","0.23","51","0.16","0.16","0.05","82","0.18","1.51","0.30"
"192","Xavier Smith","LA","WR","16","2025","130","0.18","2.33","0.37","35","0.31","3.54","0.58","91","0.13","1.97","0.31","73","0.21","2.79","0.46","57","0.14","1.74","0.26"
"193","Mitchell Tinsley","CIN","WR","17","2025","129","0.19","0.90","0.24","36","0.28","1.08","0.36","84","0.14","0.76","0.12","73","0.22","1.29","0.29","56","0.14","0.39","0.18"
"194","Jamari Thrash","CLV","WR","9","2025","128","0.11","0.84","0.16","51","0.10","0.69","0.15","73","0.11","0.68","0.14","69","0.13","1.04","0.21","59","0.08","0.59","0.11"
"195","Ray-Ray McCloud","ATL, NYG","WR","6","2025","128","0.10","0.54","0.11","29","0.10","0.48","0.08","95","0.11","0.58","0.12","67","0.07","-0.03","0.03","61","0.13","1.16","0.20"
"196","Greg Dulcich","MIA","TE","10","2025","127","0.24","2.64","0.50","16","0.19","3.06","0.49","104","0.26","2.64","0.47","66","0.32","3.36","0.58","61","0.16","1.85","0.43"
"197","Malik Nabers","NYG","WR","4","2025","127","0.25","2.13","0.45","26","0.27","2.73","0.47","91","0.26","2.20","0.49","43","0.35","3.00","0.53","84","0.20","1.69","0.41"
"198","Tory Horton","SEA","WR","8","2025","126","0.17","1.28","0.47","36","0.22","2.06","0.68","88","0.16","0.99","0.39","66","0.24","1.53","0.64","60","0.10","1.00","0.28"
"199","John Bates","WAS","TE","15","2025","123","0.12","0.84","0.22","33","0.12","0.27","0.30","85","0.13","1.11","0.20","65","0.12","0.77","0.15","58","0.12","0.91","0.30"
"200","Mitchell Evans","CAR","TE","17","2025","122","0.18","1.40","0.40","17","0.06","0.12","0.42","99","0.19","1.67","0.34","65","0.14","1.15","0.35","57","0.23","1.68","0.45"
"201","Gage Larvadain","CLV","WR","13","2025","121","0.11","0.59","0.12","33","0.18","0.91","0.18","80","0.09","0.51","0.11","48","0.15","0.63","0.13","73","0.08","0.56","0.12"
"202","Luke Farrell","SF","TE","17","2025","121","0.10","0.70","0.25","11","0.09","","0.00","101","0.09","0.64","0.14","50","0.10","0.82","0.18","71","0.10","0.62","0.30"
"203","Gabe Davis","BUF","WR","6","2025","116","0.16","1.11","0.27","45","0.18","0.82","0.35","65","0.14","1.35","0.21","74","0.14","1.24","0.22","42","0.19","0.88","0.35"
"204","Charlie Woerner","ATL","TE","17","2025","114","0.07","0.42","0.11","23","0.04","-0.22","0.02","88","0.08","0.60","0.14","55","0.02","0.05","0.02","59","0.12","0.76","0.19"
"205","Johnny Mundt","JAX","TE","16","2025","114","0.16","0.97","0.18","22","0.09","0.95","0.14","89","0.18","1.01","0.19","61","0.13","0.80","0.15","53","0.19","1.17","0.21"
"206","Hunter Long","JAX","TE","9","2025","112","0.14","0.76","0.29","23","0.17","0.96","0.23","82","0.13","0.72","0.24","62","0.15","0.61","0.25","50","0.14","0.94","0.33"
"207","Mo Alie-Cox","IND","TE","17","2025","111","0.17","1.05","0.28","22","0.09","0.23","0.34","88","0.17","1.00","0.21","45","0.18","0.51","0.14","66","0.17","1.42","0.37"
"208","Brock Wright","DET","TE","11","2025","111","0.16","0.97","0.33","19","0.11","1.16","0.22","90","0.17","0.92","0.28","66","0.15","0.83","0.28","45","0.18","1.18","0.41"
"209","Jayden Reed","GB","WR","7","2025","110","0.20","1.88","0.44","32","0.22","1.63","0.54","71","0.20","2.15","0.38","59","0.19","1.64","0.42","51","0.22","2.16","0.41"
"210","Brycen Tremayne","CAR","WR","16","2025","107","0.16","1.50","0.28","24","0.04","","0.00","76","0.21","2.11","0.39","51","0.16","1.78","0.30","56","0.16","1.23","0.27"
"211","John FitzPatrick","GB","TE","15","2025","107","0.14","0.67","0.24","32","0.22","0.78","0.23","73","0.11","0.64","0.24","64","0.16","0.64","0.27","43","0.12","0.72","0.19"
"212","Tanner Hudson","CIN","TE","13","2025","106","0.23","1.58","0.45","38","0.16","1.18","0.38","61","0.25","1.85","0.40","41","0.20","1.61","0.45","65","0.25","1.57","0.45"
"213","Grant Calcaterra","PHI","TE","15","2025","105","0.12","0.72","0.22","32","0.22","1.69","0.36","71","0.08","0.31","0.16","40","0.15","1.00","0.20","65","0.11","0.55","0.22"
"214","Josh Oliver","MIN","TE","15","2025","103","0.17","1.55","0.53","24","0.29","1.88","0.90","72","0.15","1.60","0.47","48","0.21","1.35","0.66","55","0.15","1.73","0.43"
"215","Elijah Moore","BUF","WR","9","2025","103","0.17","1.09","0.28","25","0.20","1.92","0.31","76","0.16","0.84","0.16","71","0.15","1.14","0.18","32","0.19","0.97","0.22"
"216","Ben Sinnott","WAS","TE","16","2025","99","0.13","1.15","0.29","24","0.08","1.67","0.50","74","0.15","1.00","0.22","54","0.11","0.81","0.30","45","0.16","1.56","0.27"
"217","Tanner Conner","MIA","TE","9","2025","96","0.16","0.95","0.19","22","0.18","0.64","0.11","68","0.15","0.94","0.20","41","0.17","0.83","0.16","55","0.15","1.04","0.21"
"218","Anthony Firkser","DET","TE","7","2025","96","0.08","0.55","0.14","33","0.06","0.06","0.07","56","0.11","0.91","0.20","43","0.12","0.58","0.17","53","0.06","0.53","0.11"
"219","Luke McCaffrey","WAS","WR","9","2025","96","0.16","2.11","0.53","28","0.14","-0.07","0.03","66","0.15","3.03","0.62","61","0.11","1.61","0.52","35","0.23","3.00","0.50"
"220","Jalin Hyatt","NYG","WR","8","2025","96","0.15","0.36","0.09","30","0.13","0.57","0.16","64","0.16","0.28","0.06","56","0.14","0.38","0.11","40","0.15","0.35","0.06"
"221","Casey Washington","ATL","WR","7","2025","95","0.15","0.99","0.16","26","0.27","1.00","0.18","64","0.11","1.06","0.17","54","0.11","0.48","0.09","41","0.20","1.66","0.26"
"222","Tyreek Hill","MIA","WR","4","2025","94","0.31","2.82","0.57","20","0.30","1.70","0.72","70","0.30","3.20","0.53","29","0.34","3.79","0.59","65","0.29","2.38","0.56"
"223","Charlie Kolar","BLT","TE","17","2025","93","0.13","1.53","0.39","28","0.11","1.07","0.64","61","0.15","1.84","0.30","55","0.15","1.80","0.29","38","0.11","1.13","0.53"
"224","Scott Miller","PIT","WR","13","2025","93","0.13","0.67","0.16","29","0.14","0.55","0.12","62","0.13","0.74","0.19","51","0.08","0.39","0.10","42","0.19","1.00","0.24"
"225","Julian Hill","MIA","TE","14","2025","92","0.22","1.52","0.34","7","0.14","2.71","0.41","79","0.24","1.53","0.33","42","0.21","1.67","0.33","50","0.22","1.40","0.30"
"226","James Proche","TEN","WR","9","2025","91","0.11","0.71","0.14","21","0.10","0.24","0.07","67","0.12","0.90","0.16","50","0.14","0.48","0.11","41","0.07","1.00","0.17"
"227","Darius Cooper","PHI","WR","13","2025","90","0.12","1.02","0.20","24","0.13","0.96","0.18","64","0.13","1.08","0.22","44","0.11","1.18","0.21","46","0.13","0.87","0.20"
"228","Jackson Hawes","BUF","TE","17","2025","88","0.22","2.13","0.60","22","0.27","3.55","0.85","63","0.17","1.44","0.38","58","0.21","1.62","0.46","30","0.23","3.10","0.88"
"229","Malik Heath","GB","WR","11","2025","86","0.08","1.00","0.17","27","0.11","1.07","0.22","56","0.07","1.02","0.16","59","0.12","1.46","0.25","27","","","0.00"
"230","Will Dissly","LAC","TE","9","2025","84","0.18","1.15","0.25","27","0.26","1.78","0.33","52","0.15","0.94","0.23","43","0.19","1.28","0.24","41","0.17","1.02","0.25"
"231","Tylan Wallace","BLT","WR","14","2025","81","0.10","0.56","0.18","30","0.13","0.83","0.35","50","0.08","0.40","0.08","37","0.14","0.84","0.33","44","0.07","0.32","0.05"
"232","Blake Whiteheart","CLV","TE","16","2025","79","0.08","0.05","0.03","22","0.05","0.18","0.06","55","0.09","","0.02","40","0.08","0.10","0.06","39","0.08","","0.00"
"233","Taysom Hill","NO","TE","13","2025","79","0.20","1.15","0.54","8","","","0.00","70","0.23","1.30","0.38","43","0.14","0.42","0.24","36","0.28","2.03","0.45"
"234","Tyler Conklin","LAC","TE","10","2025","78","0.13","1.29","0.22","26","0.15","0.58","0.13","48","0.10","1.35","0.22","42","0.14","1.64","0.26","36","0.11","0.89","0.17"
"235","Shane Zylstra","DET","TE","5","2025","78","0.06","0.26","0.06","26","0.04","","0.00","46","0.09","0.43","0.11","40","0.08","0.40","0.09","38","0.05","0.11","0.04"
"236","Jimmy Horn","CAR","WR","13","2025","78","0.18","1.38","0.37","18","0.22","1.39","0.25","57","0.18","1.46","0.30","39","0.18","2.05","0.36","39","0.18","0.72","0.20"
"237","Curtis Samuel","BUF","WR","6","2025","76","0.11","1.07","0.28","20","0.15","1.00","0.55","55","0.09","1.11","0.18","45","0.16","1.67","0.43","31","0.03","0.19","0.05"
"238","Kylen Granson","PHI","TE","17","2025","75","0.12","0.53","0.15","20","0.10","0.30","0.08","53","0.13","0.64","0.18","32","0.16","0.47","0.14","43","0.09","0.58","0.15"
"239","Ian Thomas","LV","TE","15","2025","74","0.18","1.54","0.33","17","0.06","0.71","0.13","54","0.22","1.89","0.41","43","0.21","2.12","0.42","31","0.13","0.74","0.20"
"240","Jalen McMillan","TB","WR","4","2025","74","0.20","2.41","0.40","15","0.27","3.73","0.64","55","0.20","2.22","0.37","42","0.24","2.88","0.50","32","0.16","1.78","0.27"
"241","Dante Pettis","NO","WR","8","2025","73","0.15","1.74","0.28","11","0.09","1.64","0.25","60","0.17","1.82","0.30","26","0.15","0.81","0.23","47","0.15","2.26","0.31"
"242","Brevyn Spann-Ford","DAL","TE","17","2025","70","0.19","1.29","0.34","11","","","0.00","55","0.22","1.56","0.30","26","0.23","1.77","0.37","44","0.16","1.00","0.33"
"243","Durham Smythe","CHI","TE","17","2025","70","0.09","0.36","0.09","12","0.08","0.33","0.12","56","0.09","0.38","0.09","37","0.08","0.41","0.09","33","0.09","0.30","0.09"
"244","Foster Moreau","NO","TE","11","2025","69","0.14","0.86","0.19","9","0.11","","0.00","60","0.15","0.98","0.22","40","0.10","0.38","0.09","29","0.21","1.52","0.32"
"245","KeAndre Lambert-Smith","LAC","WR","10","2025","68","0.18","0.75","0.24","22","0.09","0.45","0.09","45","0.22","0.91","0.31","37","0.14","0.27","0.05","31","0.23","1.32","0.45"
"246","Malachi Corley","CLV","WR","13","2025","68","0.18","1.16","0.46","17","0.12","1.71","0.29","50","0.20","1.00","0.28","42","0.19","0.93","0.26","26","0.15","1.54","0.31"
"247","Jalen Brooks","ARZ, DAL","WR","6","2025","68","0.09","0.75","0.12","18","0.06","1.11","0.17","47","0.11","0.66","0.11","33","0.06","0.61","0.09","35","0.11","0.89","0.15"
"248","Cade Stover","HST","TE","9","2025","67","0.24","1.13","0.30","13","0.15","0.38","0.12","50","0.24","1.18","0.30","35","0.20","1.57","0.36","32","0.28","0.66","0.22"
"249","Ashton Dulin","IND","WR","12","2025","66","0.15","1.61","0.30","14","0.21","4.86","0.63","49","0.14","0.78","0.14","37","0.11","1.27","0.21","29","0.21","2.03","0.27"
"250","Gunner Olszewski","NYG","WR","16","2025","66","0.20","2.20","0.54","24","0.25","2.92","0.72","40","0.18","1.88","0.46","37","0.27","3.62","0.91","29","0.10","0.38","0.07"
"251","Andre Baccellia","ARZ","WR","5","2025","65","0.06","0.12","0.04","9","0.11","0.33","0.14","53","0.04","0.09","0.03","26","","","0.00","39","0.10","0.21","0.07"
"252","Quintin Morris","JAX","TE","13","2025","65","0.11","0.85","0.27","19","0.05","0.26","0.39","44","0.14","1.14","0.23","36","0.08","0.56","0.11","29","0.14","1.21","0.47"
"253","Dylan Drummond","ATL","WR","9","2025","64","0.17","0.66","0.18","16","0.13","0.19","0.08","45","0.20","0.87","0.22","28","0.21","1.00","0.21","36","0.14","0.39","0.15"
"254","Josh Whyle","GB","TE","8","2025","63","0.10","0.57","0.23","18","0.17","1.28","0.57","42","0.07","0.31","0.10","33","0.09","0.76","0.14","30","0.10","0.37","0.34"
"255","Noah Brown","WAS","WR","4","2025","63","0.16","1.32","0.21","18","0.11","","0.00","42","0.19","1.98","0.32","29","0.17","0.93","0.16","34","0.15","1.65","0.25"
"256","Skyy Moore","SF","WR","17","2025","62","0.11","1.40","0.24","14","0.14","2.79","0.42","47","0.11","1.02","0.17","28","0.14","2.75","0.42","34","0.09","0.29","0.06"
"257","Trent Sherfield","DEN, ARZ","WR","12","2025","59","0.08","0.36","0.09","7","","","0.00","50","0.10","0.42","0.10","29","0.03","0.10","0.04","30","0.13","0.60","0.13"
"258","Devontez Walker","BLT","WR","11","2025","58","0.14","2.34","0.65","19","0.26","3.79","1.54","38","0.08","1.68","0.22","30","0.17","3.20","0.65","28","0.11","1.43","0.64"
"259","Jahdae Walker","CHI","WR","7","2025","57","0.18","1.53","0.47","15","0.13","0.40","0.51","40","0.20","2.03","0.48","33","0.06","0.79","0.14","24","0.33","2.54","0.92"
"260","Dee Eskridge","MIA","WR","13","2025","54","0.11","1.15","0.19","7","0.14","","0.00","46","0.11","1.35","0.22","23","0.13","0.61","0.15","31","0.10","1.55","0.22"
"261","Cedrick Wilson","MIA","WR","10","2025","54","0.17","0.81","0.17","7","0.14","1.00","0.24","43","0.16","0.86","0.18","25","0.04","","0.00","29","0.28","1.52","0.32"
"262","Eric Saubert","SEA","TE","11","2025","53","0.09","0.58","0.17","5","","","0.00","46","0.11","0.67","0.15","28","0.07","0.75","0.15","25","0.12","0.40","0.12"
"263","Payne Durham","TB","TE","17","2025","52","0.08","0.21","0.04","9","","","0.00","40","0.10","0.28","0.05","25","0.04","","0.00","27","0.11","0.41","0.08"
"264","Derius Davis","LAC","WR","11","2025","52","0.06","0.19","0.07","13","","","0.00","35","0.09","0.29","0.09","25","0.08","0.12","0.05","27","0.04","0.26","0.06"
"265","Josiah Deguara","ARZ","TE","12","2025","51","0.08","0.41","0.22","10","","","0.00","40","0.08","0.35","0.09","27","","","0.00","24","0.17","0.88","0.46"
"266","Stone Smartt","NYJ","TE","8","2025","51","0.18","1.02","0.24","10","0.30","1.70","0.37","41","0.15","0.85","0.21","26","0.19","1.46","0.30","25","0.16","0.56","0.18"
"267","Andrew Ogletree","IND","TE","15","2025","47","0.13","0.57","0.27","5","0.20","","0.00","42","0.12","0.64","0.30","21","0.19","1.10","0.54","26","0.08","0.15","0.05"
"268","Ben Skowronek","PIT","WR","16","2025","46","0.13","1.50","0.37","13","","","0.00","30","0.17","2.30","0.56","26","0.15","2.65","0.65","20","0.10","","0.00"
"269","Harrison Bryant","HST","TE","12","2025","45","0.13","0.16","0.06","5","0.40","0.40","0.24","36","0.11","0.14","0.04","22","0.18","0.32","0.12","23","0.09","","0.00"
"270","Bo Melton","GB","WR","9","2025","45","0.27","2.38","0.53","7","0.29","4.86","0.63","37","0.27","1.97","0.44","21","0.38","2.48","0.34","24","0.17","2.29","0.56"
"271","Tucker Fisk","LAC","TE","10","2025","45","0.07","0.42","0.09","7","0.14","","0.00","34","0.06","0.56","0.11","29","0.07","0.41","0.08","16","0.06","0.44","0.11"
"272","Austin Trammell","JAX","WR","6","2025","45","0.20","1.02","0.17","16","0.31","1.13","0.18","29","0.14","0.97","0.17","31","0.29","1.48","0.25","14","","","0.00"
"273","Cody White","SEA","WR","9","2025","43","0.09","2.09","0.42","15","0.13","0.60","0.13","26","0.08","3.12","0.62","27","0.11","2.56","0.55","16","0.06","1.31","0.19"
"274","Jack Stoll","NO","TE","15","2025","43","0.23","1.07","0.39","5","","","0.00","37","0.27","1.24","0.45","20","0.25","0.55","0.16","23","0.22","1.52","0.59"
"275","Mason Kinsey","TEN","WR","10","2025","42","0.10","1.14","0.16","10","0.20","4.80","0.68","30","0.07","","0.00","23","0.13","2.09","0.30","19","0.05","","0.00"
"276","Beaux Collins","NYG","WR","9","2025","42","0.14","0.60","0.11","12","0.17","","0.00","28","0.11","0.89","0.16","24","0.17","1.04","0.19","18","0.11","","0.00"
"277","Nate Adkins","DEN","TE","9","2025","41","0.24","1.17","0.41","4","0.25","","0.00","33","0.24","1.45","0.51","19","0.16","0.74","0.18","22","0.32","1.55","0.61"
"278","Braxton Berrios","HST","WR","4","2025","40","0.20","0.93","0.24","5","0.40","2.80","0.68","34","0.18","0.68","0.19","17","0.29","2.24","0.52","23","0.13","-0.04","0.04"
"279","Kameron Johnson","TB","WR","17","2025","39","0.18","1.64","0.45","10","0.40","3.40","1.14","29","0.10","1.03","0.17","22","0.23","2.91","0.75","17","0.12","","0.00"
"280","Robbie Chosen","WAS","WR","3","2025","39","0.23","1.36","0.26","17","0.24","0.76","0.14","21","0.24","1.90","0.38","28","0.21","1.29","0.27","11","0.27","1.55","0.25"
"281","Jonathan Mingo","DAL","WR","6","2025","39","0.10","0.64","0.09","8","","","0.00","30","0.13","0.83","0.12","11","0.18","2.27","0.32","28","0.07","","0.00"
"282","Savion Williams","GB","WR","12","2025","39","0.26","2.00","0.68","9","0.11","0.89","0.87","29","0.31","2.41","0.55","21","0.19","0.43","0.23","18","0.33","3.83","1.05"
"283","KhaDarel Hodge","ATL","WR","11","2025","38","0.26","0.82","0.16","15","0.20","0.53","0.12","22","0.32","1.05","0.20","17","0.24","1.41","0.26","21","0.29","0.33","0.08"
"284","David Moore","CAR","WR","4","2025","36","0.03","0.14","0.08","5","","","0.00","31","0.03","0.16","0.05","26","0.04","0.19","0.06","10","","","0.00"
"285","Tahj Washington","MIA","WR","6","2025","34","0.15","1.09","0.17","6","0.17","1.17","0.28","28","0.14","1.07","0.14","15","0.13","1.73","0.31","19","0.16","0.58","0.06"
"286","Efton Chism","NE","WR","8","2025","32","0.09","2.34","0.52","7","0.29","5.71","1.71","25","0.04","1.40","0.18","17","0.12","2.65","0.74","15","0.07","2.00","0.27"
"287","Tip Reiman","ARZ","TE","4","2025","32","0.16","0.56","0.15","4","","","0.00","27","0.19","0.67","0.18","11","0.18","0.91","0.18","21","0.14","0.38","0.13"
"288","Theo Wease","MIA","WR","3","2025","32","0.31","4.34","0.81","6","","","0.00","26","0.38","5.35","1.00","16","0.31","3.00","0.49","16","0.31","5.69","1.13"
"289","Justin Watson","HST","WR","3","2025","32","0.13","0.94","0.19","13","0.23","1.38","0.29","19","0.05","0.63","0.12","20","0.10","0.75","0.13","12","0.17","1.25","0.29"
