Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,DropsTotal,TargetedReadFirstTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterContact,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Juwan Johnson,NO,TE,12,No,Yes,No,12,No,No,0.5833,0.1667,1.7942,1.7942,17,0.0833,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery,DET,RB,1,No,Yes,No,1,No,No,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,23,No,Yes,No,23,No,Yes,0.3913,0.6087,4.3856,4.3856,17,,,1,,,0.0435,,,,,18,18,,39.6,,,-10.8991,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Boyd,TEN,WR,29,No,Yes,No,29,No,No,0.8966,0.1034,2.858,2.858,16,,,2,1,0.5,0.069,1,0.5,7,,20,10,,58.3,0.2414,3.5,-4.4895,7,,1,0.3333,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,,,,,,
Hassan Haskins,LAC,RB,7,Yes,Yes,No,5,No,No,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,9,No,Yes,Yes,7,No,No,0.5714,0.2857,,,17,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,24,No,Yes,No,19,No,No,,0.1053,1.385,1.385,15,0.7368,0.1579,1,,,0.0526,,,,,1,1,,39.6,,,-5.7294,,,,0.1111,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Kendrick Bourne,NE,WR,19,No,Yes,No,18,No,Yes,0.2222,0.7778,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teagan Quitoriano,HST,TE,3,No,Yes,Yes,2,No,No,0.5,,,,7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,3,No,Yes,Yes,3,No,No,0.3333,0.6667,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,30,No,Yes,No,30,No,No,0.4,0.6,6.4179,6.4179,15,,,3,2,0.6667,0.1,2,0.6667,45,5,44,14.6667,1,109.7,1.5,15,7.4187,22.5,2.5,2,0.4286,4.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,2,,1,,1,,1,1,1,,,,,
Ja'Tavion Sanders,CAR,TE,30,No,Yes,No,26,No,Yes,0.5,0.3077,3.818,3.818,16,,0.1923,2,1,0.5,0.0769,1,0.5,28,13,49,24.5,1,95.8,1.0769,14,6.6304,28,13,1,0.2222,2.8,3.8,3.3,3.8,4.3,3.8,3.3,3.8,3.8,3.8,3.3,4.3,3.8,13,,,,13,,1,1,1,,,,,
Quintin Morris,BUF,TE,4,No,Yes,No,4,No,Yes,0.25,0.5,,,16,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquise Brown,KC,WR,3,No,Yes,No,3,No,Yes,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,24,Yes,Yes,No,24,No,No,0.5,0.5,1.7084,1.7084,17,,,1,1,1,0.0417,,,,,10,10,,39.6,,,-7.5,,,,0.1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
John Metchie,HST,WR,14,No,Yes,No,14,No,No,0.5714,0.4286,1.9371,1.9371,13,,,1,1,1,0.0714,1,1,16,8,8,8,,118.8,1.1429,16,8.4894,16,8,1,0.25,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,,,,,,,,,,,
Jamison Crowder,WAS,WR,8,No,Yes,Yes,8,No,No,0.875,0.125,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,8,No,Yes,Yes,8,No,No,1,,3.7199,3.7199,17,,,2,1,0.5,0.25,1,0.5,16,-1,32,16,,77.1,2,8,-3.0375,16,-1,1,0.3333,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,,,,,,,,,,,
Jordan Mims,NO,RB,2,No,Yes,No,2,No,No,0.5,,1.4215,1.4215,9,0.5,,1,1,1,0.5,,,,,2,2,,39.6,,,-6.3947,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,4,No,Yes,Yes,4,No,No,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Bell,CLV,WR,1,No,Yes,No,1,No,Yes,1,,3.1524,3.1524,1,,,1,1,1,1,1,1,12,,12,12,,116.7,12,12,2.9539,12,,,1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,,1,1,1,,,,,,
Kevin Austin,NO,WR,4,No,Yes,No,4,No,No,0.5,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,11,No,No,No,9,No,No,,0.1111,1.4767,1.4767,17,0.8889,,1,1,1,0.1111,1,1,8,3,5,5,,100,0.8889,8,0.767,8,3,,0.3333,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1,,,,1,,,,,,,,,
Samaje Perine,KC,RB,19,No,Yes,No,18,No,No,,0.0556,1.7406,1.7406,17,0.8889,0.0556,1,1,1,0.0556,1,1,14,1,13,13,,118.8,0.7778,14,6.9524,14,1,1,0.1429,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,1,No,Yes,No,1,No,No,,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Whyle,TEN,TE,13,No,Yes,No,12,No,No,0.5,0.3333,3.237,3.237,17,,0.1667,2,2,1,0.1667,2,1,25,9,25,12.5,1,158.3,2.0833,12.5,4.0517,12.5,4.5,2,0.6667,8.5,10.5,9.5,10.5,11.5,10.5,9.5,10.5,10.5,10.5,9.5,11.5,10.5,1,,,,0.5,1,,,,1,1,1,,
Travis Etienne,JAX,RB,23,No,Yes,Yes,14,No,No,,0.2857,2.4599,2.4599,15,0.7143,,2,2,1,0.1429,1,0.5,8,14,-1,-0.5,,60.4,0.5714,4,-2.1611,8,14,1,0.3333,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,3,,,,3,,,,,,,,,
J.K. Dobbins,LAC,RB,10,Yes,Yes,No,5,No,No,,,1.6111,1.6111,13,1,,1,1,1,0.2,,,,,14,14,,39.6,,,-9.9318,,,,0.25,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Emari Demercado,ARZ,RB,21,No,Yes,Yes,18,No,No,,0.0556,3.4872,3.4872,13,0.9444,,2,1,0.5,0.1111,1,0.5,3,,21,10.5,,56.3,0.1667,1.5,-6.3608,3,,,0.25,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,1,,,,,,,,
Equanimeous St. Brown,NO,WR,2,No,Yes,No,2,No,No,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,9,No,Yes,Yes,9,No,No,0.7778,0.2222,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,NYJ,WR,16,No,Yes,No,16,No,No,0.4375,0.5625,3.3687,3.3687,14,,,1,1,1,0.0625,1,1,30,,30,30,1,118.8,1.875,30,20.806,30,,1,0.25,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,,,,,,,,,1,,,,,
Dare Ogunbowale,HST,RB,16,No,Yes,No,14,No,No,0.2143,0.0714,,,17,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Collins,HST,WR,16,No,Yes,No,16,No,No,0.125,0.875,2.8256,2.8256,12,,,1,1,1,0.0625,1,1,6,,13,13,,131.3,0.375,6,-2.9145,6,,1,0.25,6.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,,,,,,1,,,,1,1,1,,
Jerry Jeudy,CLV,WR,57,No,Yes,No,55,No,No,0.3636,0.6364,5.0628,5.0628,17,,,3,3,1,0.0545,3,1,135,74,61,20.3333,2,158.3,2.4545,45,36.026,45,24.6667,3,0.1579,25.5,28.5,27,28.5,28.5,31.5,30,28.5,28.5,28.5,27,28.5,28.5,,,2,,,,,,,,2,,,
Ronnie Rivers,LA,RB,2,No,Yes,No,2,No,No,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,BUF,WR,45,No,Yes,Yes,43,No,No,0.2326,0.7674,4.4256,4.4256,14,,,3,1,0.3333,0.0698,1,0.3333,7,-1,28,9.3333,,42.4,0.1628,2.3333,-5.6891,7,-1,,0.2143,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,1,1,1,,,,,
Darius Slayton,NYG,WR,18,No,No,No,18,No,No,0.2222,0.7778,1.7228,1.7228,16,,,1,,,0.0556,,,,,,,,39.6,,,-6.0386,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,2,No,Yes,No,2,No,No,1,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,2,No,Yes,Yes,2,No,No,0.5,0.5,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,11,No,Yes,No,8,No,Yes,0.5,0.125,,,16,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parris Campbell,PHI,WR,7,No,Yes,No,7,No,No,0.5714,0.4286,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,13,No,Yes,Yes,13,No,No,0.6154,0.3846,3.1123,3.1123,17,,,2,,,0.1538,,,,,54,27,1,39.6,,,-10.9058,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,27,No,Yes,No,27,No,No,0.2593,0.7407,1.3779,1.3779,17,,,1,,,0.037,,,,,12,12,,39.6,,,-9.0461,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,8,No,Yes,No,8,No,No,0.25,0.75,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,CAR,RB,7,No,Yes,No,7,No,Yes,0.1429,0.1429,1.475,1.475,11,0.7143,,1,,,0.1429,,,,,13,13,,39.6,,,-7.0476,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,1,No,Yes,No,1,No,No,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,13,Yes,Yes,No,11,No,No,0.2727,0.2727,1.3984,1.3984,15,,0.4545,1,1,1,0.0909,1,1,1,1,,,,79.2,0.0909,1,-4.289,1,1,,0.3333,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,1,,,,1,,,,,,,,,
KhaDarel Hodge,ATL,WR,4,No,Yes,No,4,No,Yes,0.5,0.5,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,6,No,Yes,No,6,No,No,0.6667,0.3333,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Engram,JAX,TE,19,No,Yes,Yes,19,No,Yes,0.5789,0.3158,,,9,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,38,No,No,No,32,No,No,0.0312,0.0312,2.7707,2.7707,16,0.9375,,2,1,0.5,0.0625,1,0.5,4,5,18,9,,56.3,0.125,2,-5.0762,4,5,,0.1333,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,4,,,,4,,,,,,,,2,2
Adam Trautman,DEN,TE,18,No,Yes,No,12,No,No,0.3333,0.25,,,17,,0.4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,27,No,Yes,Yes,22,No,No,,0.2273,1.4663,1.4663,17,0.7727,,1,1,1,0.0455,,,,,4,4,,39.6,,,-6.6619,,,,0.1429,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Ja'Marr Chase,CIN,WR,34,No,Yes,No,34,No,No,0.3529,0.6471,7.9508,7.9508,17,,,4,3,0.75,0.1176,3,0.75,42,14,43,10.75,,108.3,1.2353,10.5,1.7842,14,4.6667,3,0.2667,4.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,2,,2,,0.6667,1,,,,1,,,,
Tommy Tremble,CAR,TE,15,No,Yes,No,13,No,Yes,0.4615,0.0769,,,12,,0.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,12,No,Yes,Yes,11,No,No,0.1818,0.8182,1.4125,1.4125,17,,,1,1,1,0.0909,1,1,35,15,20,20,1,118.8,3.1818,35,24.1348,35,15,1,0.5,3.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,2,,,,2,,,,,,,,,
Cooper Kupp,LA,WR,11,No,Yes,Yes,11,No,No,0.6364,0.3636,2.5266,2.5266,12,,,1,1,1,0.0909,1,1,7,,15,15,,135.4,0.6364,7,-3.4097,7,,1,0.2,6.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,,,,,,1,,,,1,1,1,,
Hunter Long,LA,TE,2,No,Yes,No,2,No,No,,0.5,,,17,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,30,No,Yes,No,28,No,Yes,0.1786,0.7857,1.6525,1.6525,15,,0.0357,1,,,0.0357,,,,,34,34,1,39.6,,,-14,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,5,No,Yes,No,5,No,No,0.6,0.4,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Brooks,CAR,RB,1,No,Yes,Yes,1,No,No,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,1,No,Yes,Yes,1,No,No,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,7,No,Yes,Yes,7,No,No,0.2857,0.7143,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,18,No,Yes,Yes,14,No,No,,0.2857,1.6122,1.6122,16,0.7143,,1,1,1,0.0714,1,1,4,5,-1,-1,,83.3,0.2857,4,-1.819,4,5,,0.2,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,,,
Sincere McCormick,LV,RB,2,No,Yes,Yes,2,No,No,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.J. Osborn,WAS,WR,12,No,Yes,No,12,No,No,0.0833,0.9167,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,18,No,Yes,No,17,No,No,0.7647,0.0588,6.1524,6.1524,16,,0.1765,4,3,0.75,0.2353,3,0.75,53,9,48,12,,116.7,3.1176,13.25,3.9508,17.6667,3,3,0.4444,5.3,8.3,6.8,8.3,9.8,8.3,6.8,8.3,8.3,8.3,6.8,9.8,8.3,4,,,,1.3333,,1,1,1,,,,,
Justice Hill,BLT,RB,24,Yes,Yes,No,18,No,No,,,1.1391,1.1391,16,1,,1,1,1,0.0556,1,1,-6,9,-15,-15,,79.2,-0.3333,-6,-10.5287,-6,9,,0.1429,-0.6,0.4,-0.1,0.9,0.4,0.4,-0.1,0.4,0.4,0.4,-0.1,0.4,0.4,2,,,,2,,,,,,,,,
Anthony Firkser,KC,TE,1,No,Yes,No,1,No,No,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman,IND,WR,27,No,Yes,Yes,25,No,No,0.32,0.68,5.806,5.806,16,,,3,2,0.6667,0.12,1,0.3333,3,,53,17.6667,1,42.4,0.12,1,-8.9931,3,,,0.3,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,1,1,,,,,,,
Malik Washington,MIA,WR,11,No,Yes,No,11,No,No,0.5455,0.4545,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,4,No,Yes,Yes,3,No,No,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,SF,RB,6,No,Yes,No,4,No,No,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feleipe Franks,CAR,TE,2,No,Yes,No,1,No,Yes,,,1.5093,1.5093,15,,1,1,1,1,1,1,1,12,1,11,11,,116.7,12,12,3.2598,12,1,1,1,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,,,,,,,,,,,
Tre Tucker,LV,WR,28,Yes,Yes,No,28,No,No,0.2857,0.7143,3.9629,3.9629,17,,,1,1,1,0.0357,1,1,10,5,5,5,,108.3,0.3571,10,3.6372,10,5,1,0.0909,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,1,,,,1,1,,,,,,,,
Grant DuBose,MIA,WR,1,No,Yes,No,1,No,Yes,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Jones,JAX,WR,1,No,Yes,Yes,1,No,No,,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,11,No,Yes,Yes,9,No,No,,0.1111,,,14,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,19,No,Yes,No,19,No,No,0.5789,0.4211,3.3566,3.3566,16,,,2,1,0.5,0.1053,1,0.5,29,,52,26,2,95.8,1.5263,14.5,3.6721,29,,1,0.3333,2.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,,,,,,,,,,,,,,
