Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Courtland Sutton,DEN,WR,38,Yes,No,No,37,11,No,Yes,9,0.8182,0.2973,8,0.7273,96,29,5,116,0.1351,0.8649,8,10.5455,1,91.5,2.5946,8.7273,0.2734,12,3.625,0.625,4,20.3162,20.3162,0.3548,15.6,23.6,19.6,23.6,23.6,23.6,19.6,23.6,23.6,23.6,19.6,23.6,23.6,17,,,,,1,,,,,1,1,1,1,0.0909,1
DJ Chark,LAC,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,22,No,No,No,16,7,No,No,7,1,0.4375,7,1,95,74,43,21,,,6,3,,118.8,5.9375,13.5714,7.1897,13.5714,10.5714,6.1429,4,10.7733,10.7733,0.3889,9.5,16.5,13,16.5,20,16.5,13,16.5,16.5,16.5,13,20,16.5,17,1,,,,,4,0.5714,,,,,,,,
Zach Ertz,WAS,TE,18,Yes,No,No,15,2,No,Yes,2,1,0.1333,2,1,19,5,,19,0.1333,0.2667,1,9.5,,145.8,1.2667,9.5,0.4746,9.5,2.5,,1,3.9711,3.9711,0.1429,7.9,9.9,8.9,9.9,10.9,9.9,8.9,9.9,9.9,9.9,8.9,10.9,9.9,17,0.6,,1,1,1,,,,,1,1,1,,,
Audric Estime,DEN,RB,6,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,13,No,No,Yes,8,3,No,Yes,3,1,0.375,3,1,45,43,4,2,,,1,0.6667,,118.8,5.625,15,9.4959,15,14.3333,1.3333,1,4.5501,4.5501,0.2308,4.5,7.5,6,7.5,9,7.5,6,7.5,7.5,7.5,6,9,7.5,13,1,,,,,,,,,,,,,,
Davis Allen,LA,TE,11,No,No,Yes,11,1,No,No,1,1,0.0909,,,,,,2,,,,2,,39.6,,,-6.3701,,,,,1.36,1.36,0.1,,,,,,,,,,,,,,14,1,,,,,,,,,1,,,,,
John Samuel Shenker,LV,TE,4,No,Yes,No,4,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,,,,,,,,,,,,,
Hunter Henry,NE,TE,14,Yes,No,No,10,2,No,Yes,2,1,0.2,2,1,15,11,3,4,0.2,,1,2,,97.9,1.5,7.5,1.4514,7.5,5.5,1.5,1,3.2428,3.2428,0.1818,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,16,0.8,,,,,,,,,1,,,,,
Dalton Kincaid,BUF,TE,13,Yes,No,No,10,1,No,No,1,1,0.1,1,1,12,9,2,3,0.1,,,3,,116.7,1.2,12,5.6782,12,9,2,1,1.2781,1.2781,0.125,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,13,0.9,,,,,,,,,,,,,,
Nelson Agholor,BLT,WR,12,Yes,Yes,No,11,2,No,Yes,2,1,0.1818,2,1,32,4,,34,0.1818,0.8182,2,17,1,158.3,2.9091,16,5.5149,16,2,,2,7.1356,7.1356,0.1818,9.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,14,,,,,1,,,,,1,1,1,,,
Jakobi Meyers,LV,WR,23,Yes,No,No,21,3,No,Yes,3,1,0.1429,3,1,34,28,6,6,0.1905,0.7619,2,2,,113.9,1.619,11.3333,6.0315,11.3333,9.3333,2,2,4.138,4.138,0.1579,3.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,15,,0.0476,,,,1,0.3333,,,,,,,,
Jahmyr Gibbs,DET,RB,18,Yes,Yes,No,8,1,No,No,1,1,0.125,1,1,20,18,9,2,,,,2,,118.8,2.5,20,13.6053,20,18,9,1,1.546,1.546,0.0667,2,3,2.5,3.5,3,3,2.5,3,3,3,2.5,3,3,17,,1,,,,2,2,,,,,,,,
Ian Thomas,CAR,TE,4,Yes,No,Yes,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,20,No,No,Yes,20,5,No,Yes,3,0.6,0.25,2,0.4,9,8,9,38,0.35,0.65,5,7.6,,47.9,0.45,1.8,-5.9203,4.5,4,4.5,1,9.099,9.099,0.2778,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,17,,,1,,,3,1.5,1,0.2,,,,,,
D.J. Turner,LV,WR,7,No,Yes,Yes,7,1,No,Yes,1,1,0.1429,1,1,1,,,1,0.5714,0.4286,,1,,79.2,0.1429,1,-4.1211,1,,,,1.3605,1.3605,0.2,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,12,,,,,,,,,,,,,,,
Gabe Davis,JAX,WR,7,Yes,No,No,6,,No,Yes,,,,,,,,,,0.1667,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
River Cracraft,MIA,WR,2,Yes,Yes,Yes,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,20,Yes,No,No,19,6,No,No,3,0.5,0.3158,2,0.3333,18,3,,119,0.2105,0.7895,6,19.8333,2,2.8,0.9474,3,-7.159,9,1.5,,1,12.5588,12.5588,0.3529,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,16,,,2,1,,,,,,,1,,,,
Simi Fehoko,LAC,WR,6,Yes,Yes,No,6,,No,No,,,,,,,,,,,1,,,,,,,,,,,,1.349,1.349,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Eric Tomlinson,LAC,TE,7,No,No,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,9,No,No,No,7,,No,No,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
Ezekiel Elliott,DAL,RB,9,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,12,Yes,Yes,No,11,1,No,No,1,1,0.0909,1,1,3,1,,2,0.0909,,1,2,,79.2,0.2727,3,-3.3701,3,1,,,1.6258,1.6258,0.1,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,10,0.9091,,,,,,,,,1,,,,,
Tim Patrick,DET,WR,21,Yes,Yes,No,19,2,No,No,2,1,0.1053,2,1,14,12,4,2,0.3158,0.6842,1,1,,95.8,0.7368,7,1.3482,7,6,2,1,2.8587,2.8587,0.1111,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,16,,,,,,1,0.5,,,,,,,,
Brian Thomas,JAX,WR,12,No,Yes,Yes,11,2,No,No,2,1,0.1818,2,1,11,1,,10,0.1818,0.8182,2,5,,89.6,1,5.5,-0.8628,5.5,0.5,,,2.8859,2.8859,0.25,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,17,,,,,,,,,,,,,,,
DeAndre Hopkins,KC,WR,13,No,No,No,12,5,No,Yes,3,0.6,0.4167,3,0.6,28,4,,84,0.1667,0.8333,3,16.8,1,75.4,2.3333,5.6,-3.3565,9.3333,1.3333,,2,9.9908,9.9908,0.4167,2.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,16,,,1,1,,,,,,,,,,,
Josh Reynolds,JAX,WR,8,No,Yes,Yes,7,1,No,No,1,1,0.1429,1,1,49,8,3,41,0.2857,0.7143,1,41,1,118.8,7,49,34,49,8,3,1,2.1517,2.1517,0.1429,4.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,9,,,,,,,,,,,,,,,
Noah Gray,KC,TE,30,Yes,No,No,22,2,No,Yes,2,1,0.0909,2,1,16,12,3,12,,0.0455,2,6,,139.6,0.7273,8,1.2093,8,6,1.5,2,5.6854,5.6854,0.0769,7.6,9.6,8.6,9.6,10.6,9.6,8.6,9.6,9.6,9.6,8.6,10.6,9.6,17,0.8182,0.1364,,,1,,,,,2,1,1,,,
Tyrone Tracy,NYG,RB,20,Yes,Yes,No,9,1,Yes,Yes,1,1,0.1111,1,1,1,1,1,,0.1111,,1,,,79.2,0.1111,1,-4.8271,1,1,1,,1.4264,1.4264,0.0625,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,17,,0.8889,,,,,,,,,,,,,
Michael Mayer,LV,TE,15,Yes,No,No,12,2,No,Yes,2,1,0.1667,2,1,11,7,2,4,0.0833,,2,2,,89.6,0.9167,5.5,-0.1779,5.5,3.5,1,1,2.9142,2.9142,0.1818,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,11,0.9167,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,22,Yes,No,Yes,21,6,No,Yes,5,0.8333,0.2857,5,0.8333,118,44,12,88,0.0476,0.9524,3,14.6667,1,158.3,5.619,19.6667,10.2067,23.6,8.8,2.4,3,10.9116,10.9116,0.3333,17.8,22.8,20.3,22.8,22.8,25.8,23.3,22.8,22.8,22.8,20.3,22.8,22.8,17,,,1,1,1,,,,,,,,,,
Mo Alie-Cox,IND,TE,10,No,Yes,Yes,6,2,No,No,2,1,0.3333,1,0.5,12,1,1,32,,,2,16,1,68.8,2,6,-4.8519,12,1,1,1,3.3138,3.3138,0.25,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,17,1,,1,,,,,,,,,,,,
Bryce Oliver,TEN,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,10,Yes,Yes,No,9,3,No,Yes,1,0.3333,0.3333,1,0.3333,3,2,2,20,0.2222,,3,6.6667,,2.8,0.3333,1,-5.9345,3,2,2,,3.8476,3.8476,0.375,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,0.7778,,,,,,,,,,,,,,
Justin Watson,KC,WR,28,Yes,No,No,28,3,No,Yes,3,1,0.1071,3,1,56,12,1,44,0.2857,0.6786,1,14.6667,,118.8,2,18.6667,8.4557,18.6667,4,0.3333,3,4.598,4.598,0.12,5.6,8.6,7.1,8.6,8.6,8.6,7.1,8.6,8.6,8.6,7.1,8.6,8.6,17,0.0357,,,,,,,,,,,,,,
Rashee Rice,KC,WR,2,Yes,No,No,2,2,No,Yes,2,1,1,1,0.5,8,3,,17,0.5,0.5,2,8.5,,60.4,4,4,-3.7045,8,3,,,3.1199,3.1199,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,4,,,,,,,,,,,,,1,0.5,
Ty Chandler,MIN,RB,3,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,10,8,1,2,,,1,2,,108.3,5,10,3.6053,10,8,1,1,1.3995,1.3995,0.5,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,15,,1,,,,,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,26,Yes,No,No,24,3,No,Yes,3,1,0.125,2,0.6667,20,4,1,19,0.4167,0.5833,2,6.3333,,45.8,0.8333,6.6667,-0.3269,10,2,0.5,1,4.1336,4.1336,0.15,2,4,3,4,4,4,3,4,4,4,3,4,4,17,,,,,,,,,,,,,1,0.3333,
Keon Coleman,BUF,WR,14,Yes,Yes,No,13,3,No,Yes,3,1,0.2308,3,1,95,26,13,69,,1,1,23,1,118.8,7.3077,31.6667,21.682,31.6667,8.6667,4.3333,3,5.9394,5.9394,0.3,9.5,12.5,11,12.5,12.5,12.5,11,12.5,12.5,12.5,11,12.5,12.5,13,,,1,1,,,,,,,,,,,
Tyler Lockett,SEA,WR,10,No,No,Yes,10,4,No,No,3,0.75,0.4,3,0.75,45,7,3,53,0.2,0.8,1,13.25,,111.5,4.5,11.25,1.625,15,2.3333,1,3,6.3672,6.3672,0.4,4.5,7.5,6,7.5,7.5,7.5,6,7.5,7.5,7.5,6,7.5,7.5,17,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,20,Yes,Yes,No,20,4,No,No,4,1,0.2,3,0.75,14,17,6,-1,0.35,0.65,3,-0.25,,118.8,0.7,3.5,-1.7635,4.6667,5.6667,2,1,8.8929,8.8929,0.2667,7.4,10.4,8.9,10.4,10.4,10.4,8.9,10.4,10.4,10.4,8.9,10.4,10.4,15,,,,,1,2,0.6667,1,0.25,1,1,1,1,0.25,1
De'Von Achane,MIA,RB,7,Yes,Yes,Yes,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,
Mike Evans,TB,WR,9,No,No,No,9,4,No,Yes,4,1,0.4444,4,1,46,11,1,38,0.1111,0.8889,2,9.5,,154.2,5.1111,11.5,3.5415,11.5,2.75,0.25,4,8.5042,8.5042,0.5,10.6,14.6,12.6,14.6,14.6,14.6,12.6,14.6,14.6,14.6,12.6,14.6,14.6,14,,,,,1,,,,,1,1,1,,,
Kenneth Walker,SEA,RB,7,Yes,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,
Sean Tucker,TB,RB,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,
Joseph Fortson,KC,TE,2,No,No,Yes,2,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Tank Bigsby,JAX,RB,5,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,
Mike Woods,CLV,WR,2,Yes,No,No,2,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Zach Pascal,ARZ,WR,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,3,Yes,Yes,Yes,3,1,Yes,Yes,1,1,0.3333,1,1,1,,,2,0.6667,0.3333,1,2,,118.8,0.3333,1,-4.3344,1,,,1,4.9846,4.9846,0.3333,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,17,,,,,1,,,,,1,1,1,,,
Cedrick Wilson,NO,WR,15,No,No,No,11,2,No,Yes,2,1,0.1818,1,0.5,3,10,2,5,0.1818,0.8182,1,2.5,,56.3,0.2727,1.5,-4.2933,3,10,2,,3.1328,3.1328,0.1667,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,15,,,,,,,,,,,,,1,0.5,
Nate Adkins,DEN,TE,32,Yes,No,No,17,5,No,Yes,4,0.8,0.2941,4,0.8,38,38,10,20,0.0588,0.0588,3,4,1,98.3,2.2353,7.6,0.3961,9.5,9.5,2.5,2,7.3913,7.3913,0.2083,3.8,7.8,5.8,7.8,9.8,7.8,5.8,7.8,7.8,7.8,5.8,9.8,7.8,17,0.8824,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,28,Yes,No,No,22,8,No,Yes,8,1,0.3636,8,1,81,62,24,19,0.0909,,7,2.375,,108.9,3.6818,10.125,4.1113,10.125,7.75,3,5,11.2231,11.2231,0.3333,8.1,16.1,12.1,16.1,20.1,16.1,12.1,16.1,16.1,16.1,12.1,20.1,16.1,17,0.9091,,,,,,,,,,,,,,
Jack Stoll,MIA,TE,11,Yes,No,No,4,1,No,No,1,1,0.25,1,1,6,2,1,4,,,,4,,91.7,1.5,6,-0.0667,6,2,1,,1.2826,1.2826,0.1429,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,9,1,,,,,,,,,,,,,,
Shane Zylstra,DET,TE,4,Yes,Yes,No,4,,No,No,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.75,,,,,,,,,,,,,,
Mecole Hardman,KC,WR,4,No,Yes,Yes,4,,No,Yes,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Chris Conley,SF,WR,5,Yes,No,Yes,4,,No,Yes,,,,,,,,,,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.25,,,,,,,,,,,,,,
Skyy Moore,KC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,1,No,No,No,1,1,No,No,1,1,1,1,1,6,6,,,,1,,,,91.7,6,6,0.711,6,6,,1,1.316,1.316,1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,5,,,,,,,,,,,,,,,
Joe Mixon,HST,RB,18,No,No,No,6,1,No,No,1,1,0.1667,1,1,7,4,,3,,,1,3,,95.8,1.1667,7,0.4906,7,4,,1,1.8194,1.8194,0.0714,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,14,,1,,,,,,,,1,,,,,
Kristian Wilkerson,LV,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,26,Yes,No,No,24,7,No,No,7,1,0.2917,7,1,85,53,21,32,0.5,0.5,6,4.5714,,117.3,3.5417,12.1429,4.9091,12.1429,7.5714,3,4,11.686,11.686,0.28,8.5,15.5,12,15.5,15.5,15.5,12,15.5,15.5,15.5,12,15.5,15.5,11,,,,,,4,0.5714,,,1,,,,,
Luke Musgrave,GB,TE,2,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,6,7,3,-1,,,1,-1,,91.7,3,6,1.0986,6,7,3,,1.5446,1.5446,0.5,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,7,1,,,,,,,,,,,,,,
Christian Kirk,JAX,WR,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Aaron Jones,MIN,RB,20,Yes,Yes,No,11,,No,No,,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,0.9091,,,,,,,,,,,,,
Luke Farrell,JAX,TE,11,No,Yes,Yes,8,2,No,No,,,0.25,,,,,,30,,0.125,2,15,1,,,,-9.945,,,,,3.5874,3.5874,0.25,,,,,,,,,,,,,,17,0.875,,,,,,,,,,,,,,
Jalen McMillan,TB,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
E.J. Jenkins,PHI,TE,3,Yes,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,
Jahan Dotson,PHI,WR,19,Yes,Yes,No,13,,Yes,Yes,,,,,,,,,,0.4615,0.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,17,Yes,Yes,No,14,3,No,Yes,3,1,0.2143,3,1,94,13,6,87,0.4286,0.5,3,29,2,158.3,6.7143,31.3333,19.3365,31.3333,4.3333,2,2,6.2616,6.2616,0.2308,15.4,18.4,16.9,18.4,18.4,18.4,16.9,18.4,18.4,18.4,16.9,18.4,18.4,13,0.0714,,,,1,,,,,1,1,1,,,
Theo Johnson,NYG,TE,18,Yes,No,No,14,3,No,Yes,3,1,0.2143,3,1,21,19,3,2,0.0714,0.0714,2,0.6667,,95.8,1.5,7,1.4959,7,6.3333,1,1,4.1287,4.1287,0.25,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,12,0.8571,,1,1,,,,,,,,,,,
Trenton Irwin,CIN,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,27,Yes,Yes,No,27,5,No,No,4,0.8,0.1852,4,0.8,39,35,11,-2,0.2593,0.7407,4,-0.4,,99.2,1.4444,7.8,2.7388,9.75,8.75,2.75,3,7.1171,7.1171,0.2381,3.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,15,,,,,,,,,,1,,,,,
Brian Robinson,WAS,RB,18,Yes,No,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,,
Alvin Kamara,NO,RB,25,Yes,Yes,No,14,3,No,Yes,3,1,0.2143,3,1,48,50,2,-2,,,2,-0.6667,,118.8,3.4286,16,10.1406,16,16.6667,0.6667,1,3.7749,3.7749,0.1579,4.8,7.8,6.3,9.3,7.8,7.8,6.3,7.8,7.8,7.8,6.3,7.8,7.8,14,,1,,,,,,1,0.3333,,,,,,
Tucker Fisk,LAC,TE,4,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,
Eric Saubert,SF,TE,8,Yes,No,Yes,7,,No,Yes,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8571,,,,,,,,,,,,,,
Ray-Ray McCloud,ATL,WR,9,Yes,Yes,No,9,1,No,No,1,1,0.1111,1,1,6,4,1,2,0.6667,0.3333,1,2,,91.7,0.6667,6,0.6656,6,4,1,,1.3859,1.3859,0.1429,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,,,,,,,,,,,,,,,
Alexander Mattison,LV,RB,11,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,19,18,2,1,,,1,1,,118.8,4.75,19,13.2706,19,18,2,1,1.3891,1.3891,0.1111,1.9,2.9,2.4,3.4,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,14,,1,,,,,,,,,,,,,
Cade Otton,TB,TE,16,No,No,No,8,3,No,No,2,0.6667,0.375,2,0.6667,33,28,8,6,,,3,2,,103.5,4.125,11,4.8442,16.5,14,4,1,7.3277,7.3277,0.2143,3.3,5.3,4.3,5.3,6.3,5.3,4.3,5.3,5.3,5.3,4.3,6.3,5.3,14,1,,,,,1,0.5,,,1,1,,,,
Demario Douglas,NE,WR,6,Yes,Yes,No,6,3,No,Yes,2,0.6667,0.5,2,0.6667,20,,,63,0.6667,0.3333,3,21,1,85.4,3.3333,6.6667,-3.8522,10,,,2,5.2134,5.2134,0.6,2,4,3,4,4,4,3,4,4,4,3,4,4,17,,,,,,,,,,,1,,,,
Tank Dell,HST,WR,16,Yes,No,Yes,16,6,No,Yes,4,0.6667,0.375,4,0.6667,80,14,2,118,0.1875,0.8125,5,19.6667,3,109.7,5,13.3333,4.1495,20,3.5,0.5,3,14.0499,14.0499,0.4286,20,24,22,24,24,24,22,24,24,24,22,24,24,14,,,2,1,2,,,,,1,3,2,,,1
Sione Vaki,DET,RB,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,
James Mitchell,DET,TE,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,26,Yes,Yes,No,25,11,Yes,Yes,9,0.8182,0.44,9,0.8182,100,69,62,80,0.28,0.72,10,7.2727,1,134.8,4,9.0909,2.3212,11.1111,7.6667,6.8889,2,19.6113,19.6113,0.5,16,25,20.5,25,25,28,23.5,25,25,25,20.5,25,25,15,,,,,1,4,0.4444,,,2,1,,,,
Xavier Weaver,ARZ,WR,3,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Gus Edwards,LAC,RB,3,Yes,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,
Kadarius Toney,CLV,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,14,Yes,No,No,9,4,No,Yes,3,0.75,0.4444,3,0.75,15,10,7,8,,0.4444,3,2,,80.2,1.6667,3.75,-2.1513,5,3.3333,2.3333,1,5.7875,5.7875,0.4444,2.22,5.22,3.72,5.22,6.72,5.22,3.72,5.22,5.22,5.22,3.72,6.9,5.4,8,0.4444,0.1111,,,,1,0.3333,,,1,,,,,
Jacob Kibodi,CLV,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
Blake Corum,LA,RB,4,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,,,,,,,,,,,,
