"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Bo Nix","Broncos","612","144.45","0.228","70.52","0.111","25.32","45.4%","114.2","3.5","22.7%","18.0%"
"[object Object]","2025","Matthew Stafford","Rams","597","134.73","0.217","61.45","0.099","134.74","52.7%","104.0","3.2","30.2%","16.0%"
"[object Object]","2025","Jared Goff","Lions","578","123.28","0.200","49.62","0.081","98.18","50.8%","91.9","2.8","30.0%","18.8%"
"[object Object]","2025","Caleb Williams","Bears","568","119.63","0.202","50.64","0.086","36.12","44.1%","91.2","2.8","26.4%","19.1%"
"[object Object]","2025","Patrick Mahomes","Chiefs","502","105.85","0.197","44.50","0.083","48.92","47.2%","80.9","2.5","26.9%","19.0%"
"[object Object]","2025","C.J. Stroud","Texans","423","101.13","0.227","48.41","0.109","50.59","48.2%","79.0","2.4","26.9%","18.2%"
"[object Object]","2025","Jordan Love","Packers","439","92.27","0.201","35.78","0.078","85.43","51.1%","67.2","2.1","27.4%","17.2%"
"[object Object]","2025","Jalen Hurts","Eagles","454","90.48","0.186","28.61","0.059","5.13","44.7%","61.8","1.9","22.0%","20.2%"
"[object Object]","2025","Drake Maye","Patriots","492","87.95","0.163","22.67","0.042","139.61","54.9%","59.8","1.8","32.3%","18.0%"
"[object Object]","2025","Dak Prescott","Cowboys","600","86.35","0.137","15.03","0.024","84.39","50.2%","58.3","1.8","27.6%","18.2%"
"[object Object]","2025","Jacoby Brissett","Cardinals","485","77.74","0.147","16.04","0.030","-0.81","47.0%","52.4","1.6","25.2%","19.5%"
"[object Object]","2025","Josh Allen","Bills","460","75.47","0.151","15.80","0.032","54.63","48.6%","50.2","1.6","29.0%","18.6%"
"[object Object]","2025","Bryce Young","Panthers","478","71.98","0.143","8.41","0.017","-33.78","45.0%","43.0","1.3","22.0%","21.2%"
"[object Object]","2025","Joe Flacco","2 teams","416","67.01","0.154","17.14","0.040","-36.20","44.2%","46.7","1.4","22.6%","18.7%"
"[object Object]","2025","Brock Purdy","49ers","284","65.96","0.224","30.01","0.102","49.16","54.2%","50.4","1.6","33.9%","16.9%"
"[object Object]","2025","Trevor Lawrence","Jaguars","560","59.80","0.099","-9.75","-0.016","-2.45","47.8%","31.3","1.0","25.3%","20.0%"
"[object Object]","2025","Daniel Jones","Colts","384","59.11","0.146","8.50","0.021","64.97","53.2%","36.2","1.1","26.1%","15.8%"
"[object Object]","2025","Mac Jones","49ers","289","58.17","0.191","22.28","0.073","64.77","54.4%","43.1","1.3","28.2%","16.1%"
"[object Object]","2025","Tyler Shough","Saints","327","56.07","0.157","14.51","0.041","-3.61","46.1%","38.9","1.2","24.6%","19.3%"
"[object Object]","2025","Sam Darnold","Seahawks","477","54.13","0.107","-8.92","-0.018","50.40","50.0%","25.5","0.8","31.3%","17.7%"
"[object Object]","2025","Baker Mayfield","Buccaneers","543","52.95","0.091","-16.36","-0.028","-11.17","44.2%","23.4","0.7","24.2%","20.4%"
"[object Object]","2025","Justin Herbert","Chargers","512","52.93","0.094","-12.98","-0.023","26.59","48.4%","25.8","0.8","26.1%","21.0%"
"[object Object]","2025","Michael Penix Jr.","Falcons","276","52.35","0.181","17.41","0.060","15.81","47.4%","37.4","1.2","29.4%","20.4%"
"[object Object]","2025","Jaxson Dart","Giants","339","51.96","0.139","7.16","0.019","-19.02","43.3%","32.7","1.0","24.6%","22.2%"
"[object Object]","2025","Aaron Rodgers","Steelers","498","50.20","0.095","-18.04","-0.034","-2.95","44.6%","17.9","0.6","21.1%","19.4%"
"[object Object]","2025","Spencer Rattler","Saints","257","47.58","0.173","15.42","0.056","-27.73","43.6%","34.0","1.1","21.5%","20.0%"
"[object Object]","2025","Kirk Cousins","Falcons","269","44.93","0.159","10.32","0.037","0.81","42.9%","29.6","0.9","24.8%","19.1%"
"[object Object]","2025","Joe Burrow","Bengals","259","40.65","0.147","8.90","0.032","22.00","50.7%","27.8","0.9","31.5%","19.2%"
"[object Object]","2025","Lamar Jackson","Ravens","302","34.88","0.103","-10.04","-0.030","-0.70","44.7%","13.0","0.4","26.9%","23.7%"
"[object Object]","2025","Tua Tagovailoa","Dolphins","384","34.46","0.083","-20.97","-0.051","-15.82","45.7%","7.1","0.2","27.3%","22.9%"
"[object Object]","2025","Kyler Murray","Cardinals","161","31.26","0.177","9.18","0.052","-1.14","43.5%","21.4","0.7","24.3%","19.8%"
"[object Object]","2025","Jayden Daniels","Commanders","188","30.89","0.150","5.52","0.027","-4.18","43.2%","19.5","0.6","24.8%","23.8%"
"[object Object]","2025","Tyrod Taylor","Jets","134","23.95","0.162","5.33","0.036","-15.15","43.2%","15.5","0.5","23.0%","25.0%"
"[object Object]","2025","Malik Willis","Packers","35","22.45","0.591","16.98","0.447","28.33","60.5%","19.5","0.6","34.2%","7.9%"
"[object Object]","2025","Marcus Mariota","Commanders","227","21.27","0.088","-9.10","-0.037","-0.99","46.1%","7.4","0.2","25.1%","22.6%"
"[object Object]","2025","Philip Rivers","Colts","92","17.84","0.184","5.00","0.052","-7.49","44.3%","11.7","0.4","23.7%","21.6%"
"[object Object]","2025","Tanner McKee","Eagles","43","13.97","0.304","8.39","0.182","-0.42","47.8%","11.6","0.4","23.9%","21.7%"
"[object Object]","2025","Cooper Rush","Ravens","52","13.45","0.254","5.73","0.108","-23.20","45.3%","9.4","0.3","28.3%","30.2%"
"[object Object]","2025","Davis Mills","Texans","159","12.66","0.076","-6.27","-0.038","-18.82","42.5%","5.2","0.2","21.0%","19.8%"
"[object Object]","2025","Tyler Huntley","Ravens","67","11.94","0.159","3.38","0.045","11.92","49.3%","8.5","0.3","26.7%","18.7%"
"[object Object]","2025","Josh Johnson","Commanders","54","9.52","0.170","1.29","0.023","5.60","51.8%","5.0","0.2","26.8%","17.9%"
"[object Object]","2025","Riley Leonard","Colts","67","9.29","0.135","1.32","0.019","-11.14","37.7%","5.9","0.2","23.2%","23.2%"
"[object Object]","2025","Carson Wentz","Vikings","169","9.28","0.049","-13.72","-0.073","1.02","48.9%","-0.8","-0.0","24.5%","18.1%"
"[object Object]","2025","Russell Wilson","Giants","119","6.73","0.052","-8.63","-0.067","-9.38","38.8%","0.2","0.0","20.2%","24.0%"
"[object Object]","2025","Joe Milton III","Cowboys","24","5.73","0.239","2.64","0.110","2.97","50.0%","4.3","0.1","20.8%","16.7%"
"[object Object]","2025","Mason Rudolph","Steelers","52","5.67","0.105","-0.62","-0.011","3.39","51.9%","3.0","0.1","25.9%","16.7%"
"[object Object]","2025","Taysom Hill","Saints","6","4.71","0.785","4.00","0.667","1.59","33.3%","4.5","0.1","33.3%","33.3%"
"[object Object]","2025","Nick Mullens","Jaguars","3","3.17","1.056","2.79","0.929","5.59","100.0%","3.0","0.1","66.7%","0.0%"
"[object Object]","2025","Mitch Trubisky","Bills","35","2.63","0.075","-1.12","-0.032","17.15","60.0%","1.3","0.0","45.7%","22.9%"
"[object Object]","2025","Justin Fields","Jets","204","1.93","0.008","-26.58","-0.115","-33.00","40.7%","-10.8","-0.3","21.6%","22.1%"
"[object Object]","2025","Gardner Minshew","Chiefs","13","1.86","0.143","-0.18","-0.014","-4.66","23.1%","0.7","0.0","7.7%","23.1%"
"[object Object]","2025","Anthony Richardson Sr.","Colts","2","1.85","0.924","1.65","0.824","-2.67","0.0%","1.8","0.1","0.0%","100.0%"
"[object Object]","2025","Gunner Olszewski","Giants","2","1.75","0.873","1.70","0.852","1.53","50.0%","1.9","0.1","50.0%","50.0%"
"[object Object]","2025","Cam Ward","Titans","540","1.66","0.003","-73.49","-0.124","-137.47","38.3%","-32.9","-1.0","21.3%","25.2%"
"[object Object]","2025","Kyle Allen","Lions","2","1.39","0.693","1.16","0.582","-0.31","0.0%","1.3","0.0","0.0%","0.0%"
"[object Object]","2025","Joshua Dobbs","Patriots","10","1.22","0.122","-0.08","-0.008","-1.34","50.0%","0.6","0.0","30.0%","40.0%"
"[object Object]","2025","Jaylen Waddle","Dolphins","1","0.95","0.946","0.92","0.919","0.94","100.0%","1.0","0.0","0.0%","0.0%"
"[object Object]","2025","Cam Akers","Vikings","1","0.87","0.873","0.75","0.749","2.59","100.0%","0.8","0.0","100.0%","0.0%"
