Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsTotal,ReceptionsHero,DeepTargetTargetsTotal
Zay Flowers,BLT,WR,36,Yes,No,No,36,,No,Yes,,,,0.3056,,,,,,,17,0.6944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,60,No,Yes,No,60,1,Yes,Yes,0.0167,,,0.2167,,100,1.9614,1.3453,1.3453,0.0167,17,0.7833,1,1,1,1,8,8,2,,,,0.1333,8,,8,8,2,,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,
Xavier Hutchinson,HST,WR,32,No,Yes,No,32,,No,Yes,,,,0.0938,,,,,,,17,0.9062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simi Fehoko,ARZ,WR,3,No,No,No,3,,No,Yes,,,,0.3333,,,,,,,7,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobie Keeney-James,GB,WR,2,Yes,No,Yes,2,,No,Yes,,,,0.5,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,16,No,No,Yes,16,3,No,Yes,0.1875,6,0.4375,0.4375,2,83.3,-1.9086,4.3756,4.3756,0.1875,15,0.125,3,1,3,1,12,6,1,,,,0.75,4,,4,2,0.3333,,1.2,4.2,2.7,4.2,5.7,4.2,2.7,4.2,4.2,4.2,2.7,5.7,4.2,,,1,1,,,,
Stone Smartt,NYJ,TE,2,No,Yes,Yes,1,,No,No,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Patrick,JAX,WR,8,No,Yes,No,8,1,No,Yes,0.125,,,0.125,,83.3,-2.0386,3.1425,3.1425,0.125,16,0.875,1,1,1,1,4,4,1,,,,0.5,4,,4,4,1,,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,1,,,,,,
Josh Reynolds,NYJ,WR,12,No,No,No,12,,No,Yes,,,,0.1667,,,,,,,5,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Gray,KC,TE,15,Yes,No,No,10,2,No,Yes,0.2,-3,0.8,0.1,-1.5,81.3,-2.5559,4.3815,4.3815,0.1333,16,0.1,2,1,2,1,7,10,3,,,,0.7,3.5,,3.5,5,1.5,,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,,,,,,,,
Brian Thomas,JAX,WR,20,No,Yes,No,20,,No,Yes,,,,0.15,,,,,,,14,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimere Dike,TEN,WR,41,No,Yes,No,41,2,No,Yes,0.0488,-12,,0.7805,-6,56.3,-6.5128,2.6302,2.6302,0.0488,17,0.2195,1,0.5,1,0.5,-6,2,1,,,,-0.1463,-3,,-6,2,1,,-0.6,0.4,-0.1,0.4,0.4,0.4,-0.1,0.4,0.4,0.4,-0.1,0.4,0.4,,,,,,,,
Ben Yurosek,MIN,TE,4,Yes,No,Yes,3,,No,Yes,,,1,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Culp,TB,TE,3,No,Yes,No,3,,No,Yes,,,0.3333,,,,,,,,11,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,21,No,Yes,Yes,19,19,No,Yes,1,-11,,,-0.5789,83.8,-1.8723,31.189,31.189,0.9048,15,,17,0.8947,16,0.8421,78,95,29,1,4,0.25,4.1053,4.1053,0.0526,4.875,5.9375,1.8125,2,7.8,23.8,15.8,31.8,23.8,23.8,15.8,23.8,23.8,23.8,15.8,23.8,23.8,1,,,,,,,
Michael Mayer,LV,TE,26,Yes,No,No,18,2,No,Yes,0.1111,5,0.7222,0.1111,2.5,79.2,-4.346,2.8316,2.8316,0.0769,13,0.1111,2,1,2,1,4,-1,,,,,0.2222,2,,2,-0.5,,,0.4,2.4,1.4,2.4,3.4,2.4,1.4,2.4,2.4,2.4,1.4,3.4,2.4,0.0556,,,,,,,
Jelani Woods,NYJ,TE,4,No,No,No,2,,No,Yes,,,0.5,0.5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,38,No,No,No,38,,No,Yes,,,,0.2105,,,,,,,12,0.7895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,BLT,WR,11,Yes,No,No,11,,No,Yes,,,,0.3636,,,,,,,17,0.6364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,15,No,Yes,No,7,,No,Yes,,,1,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Oliver,TEN,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ollie Gordon,MIA,RB,4,No,No,Yes,3,2,No,Yes,0.6667,-1,,,-0.5,56.3,-5.7569,2.8882,2.8882,0.5,17,,2,1,1,0.5,1,4,2,1,,,0.3333,0.5,0.5,1,4,2,,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,,1,,,,,
Austin Hooper,NE,TE,18,No,No,Yes,16,3,No,Yes,0.1875,5,0.75,0.125,1.6667,42.4,-4.6603,5.6399,5.6399,0.1667,16,0.125,1,0.3333,1,0.3333,4,2,,,,,0.25,1.3333,,4,2,,,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,1,,,,,,
Rashee Rice,KC,WR,7,No,No,No,7,,No,No,,,,0.5714,,,,,,,8,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Chandler,MIN,RB,1,Yes,No,Yes,1,1,No,Yes,1,-6,,,-6,79.2,-3.0893,1.0944,1.0944,1,3,,1,1,1,1,2,8,,,,,2,2,,2,8,,,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,,,,,,,
Britain Covey,PHI,WR,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,5,No,No,Yes,5,3,No,Yes,0.6,-9,,,-3,42.4,-2.756,4.3593,4.3593,0.6,10,,3,1,1,0.3333,9,9,3,1,,,1.8,3,0.3333,9,9,3,,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,,2,,,,,
Keon Coleman,BUF,WR,20,No,Yes,Yes,19,,No,No,,,0.0526,0.2105,,,,,,,13,0.7368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,9,No,Yes,No,9,1,No,No,0.1111,2,0.1111,0.2222,2,39.6,-5.3344,1.5261,1.5261,0.1111,10,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,20,Yes,No,Yes,20,,No,Yes,,,,0.15,,,,,,,14,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,LV,WR,23,Yes,No,No,22,,No,Yes,,,,0.6364,,,,,,,17,0.3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,37,No,No,No,35,25,No,Yes,0.7143,-52,0.0571,0.0857,-2.08,103.2,-0.2944,38.8482,38.8482,0.6757,16,,23,0.92,21,0.84,139,186,40,2,8,0.381,3.9714,5.56,0.08,6.619,8.8571,1.9048,7,19.9,40.9,30.4,51.4,40.9,43.9,33.4,40.9,40.9,40.9,30.4,40.9,40.9,0.8571,2,1,1,,1,,
Mike Evans,TB,WR,12,No,No,No,12,,No,Yes,,,,0.3333,,,,,,,8,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Smith,LA,WR,13,No,Yes,No,13,,Yes,Yes,,,,0.6923,,,,,,,16,0.3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,17,No,No,No,14,14,No,Yes,1,-6,0.0714,0.0714,-0.4286,95.2,0.9845,19.6746,19.6746,0.8235,17,,14,1,13,0.9286,96,104,14,1,2,0.1538,6.8571,6.8571,0.0714,7.3846,8,1.0769,2,9.6,22.6,16.1,29.1,22.6,22.6,16.1,22.6,22.6,22.6,16.1,22.6,22.6,0.8571,2,,,,,,
Sean Tucker,TB,RB,8,No,No,No,8,8,No,Yes,1,-13,,,-1.625,66.7,-5.7147,15.2287,15.2287,1,17,,6,0.75,5,0.625,4,22,6,1,,,0.5,0.5,0.125,0.8,4.4,1.2,,0.4,5.4,2.9,7.9,5.4,5.4,2.9,5.4,5.4,5.4,2.9,5.4,5.4,1,2,,,,,,
Brashard Smith,KC,RB,6,Yes,No,No,6,4,No,Yes,0.6667,-13,,,-3.25,132.3,0.8102,7.4537,7.4537,0.6667,17,0.3333,4,1,3,0.75,27,35,8,,3,1,4.5,6.75,,9,11.6667,2.6667,2,8.7,11.7,10.2,13.2,11.7,11.7,10.2,11.7,11.7,11.7,10.2,11.7,11.7,0.6667,1,,,,1,,
John FitzPatrick,GB,TE,13,No,No,No,12,4,No,Yes,0.3333,8,0.75,0.1667,2,39.6,-3.7016,8.4356,8.4356,0.3077,15,,3,0.75,1,0.25,9,8,2,2,,,0.75,2.25,0.5,9,8,2,,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,0.0833,2,,,,,,
Tank Bigsby,PHI,RB,4,Yes,No,Yes,4,3,No,Yes,0.75,-5,,,-1.6667,99.3,4.6708,4.3783,4.3783,0.75,16,,3,1,2,0.6667,30,36,28,1,3,1.5,7.5,10,0.3333,15,18,14,1,3,5,4,6,5,5,4,5,5,5,4,5,5,1,,,,,,,
Jordan Watkins,SF,WR,1,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedrick Wilson,MIA,WR,5,No,No,Yes,4,,No,Yes,,,,0.25,,,,,,,10,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,17,No,Yes,Yes,11,,No,Yes,,,0.6364,0.2727,,,,,,,17,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Adkins,DEN,TE,7,No,Yes,No,3,,No,No,,,1,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Harris,LAC,WR,19,No,Yes,No,19,,No,No,,,,0.2105,,,,,,,17,0.7895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stoll,NO,TE,8,No,Yes,No,6,1,No,Yes,0.1667,-1,0.3333,0.1667,-1,39.6,-4.9014,1.4407,1.4407,0.125,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Darius Cooper,PHI,WR,10,Yes,No,Yes,9,2,No,Yes,0.2222,1,,0.5556,0.5,81.3,-2.0798,2.8326,2.8326,0.2,13,0.4444,2,1,2,1,7,6,1,,,,0.7778,3.5,,3.5,3,0.5,,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,,,,,,,
Shane Zylstra,DET,TE,5,No,Yes,No,2,,No,No,,,0.5,,,,,,,,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Royals,KC,WR,3,Yes,No,No,3,,No,Yes,,,,0.3333,,,,,,,7,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,11,Yes,No,No,11,,Yes,Yes,,,,0.3636,,,,,,,11,0.6364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Higgins,HST,WR,23,No,Yes,No,23,,No,Yes,,,,0.2174,,,,,,,17,0.7826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyy Moore,SF,WR,8,No,No,No,8,1,No,Yes,0.125,-3,,0.25,-3,118.8,10.0592,1.5573,1.5573,0.125,17,0.75,1,1,1,1,15,18,15,,2,2,1.875,15,,15,18,15,1,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,,,,,,,
David Martin-Robinson,TEN,TE,3,No,Yes,No,3,,No,Yes,,,0.6667,0.3333,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Restrepo,TEN,WR,5,No,No,No,5,,No,Yes,,,,1,,,,1.4857,1.4857,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks,HST,RB,19,No,Yes,No,15,13,No,Yes,0.8667,-4,,,-0.3077,95.8,0.8352,20.7958,20.7958,0.6842,16,,13,1,11,0.8462,91,96,35,1,3,0.2727,6.0667,7,0.0769,8.2727,8.7273,3.1818,1,9.1,20.1,14.6,25.6,20.1,20.1,14.6,20.1,20.1,20.1,14.6,20.1,20.1,1,1,2,1,1,,,
James Proche,TEN,WR,14,No,Yes,No,14,,No,Yes,,,,0.2143,,,,,,,9,0.7857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,36,No,Yes,No,35,2,Yes,Yes,0.0571,-4,,0.4,-2,85.4,-1.0553,3.1541,3.1541,0.0556,16,0.6,2,1,2,1,9,13,4,,,,0.2571,4.5,,4.5,6.5,2,,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,,,,
Aaron Jones,MIN,RB,11,No,No,No,10,9,No,Yes,0.9,-2,,,-0.2222,73.4,-2.1943,15.6759,15.6759,0.8182,12,,7,0.7778,6,0.6667,34,35,8,1,1,0.1667,3.4,3.7778,0.1111,5.6667,5.8333,1.3333,1,2.4,8.4,5.4,11.4,8.4,8.4,4.4,7.4,7.4,7.4,4.4,8.4,7.4,1,1,,,,,,
Luke Farrell,SF,TE,20,No,No,No,18,2,No,Yes,0.1111,,0.8333,0.1111,,81.3,-2.5935,2.6675,2.6675,0.1,17,,2,1,2,1,7,7,4,,,,0.3889,3.5,,3.5,3.5,2,,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,0.0556,,1,1,,,,
Luke Musgrave,GB,TE,17,Yes,No,Yes,17,1,No,Yes,0.0588,,0.6471,0.2941,,87.5,-0.289,1.5284,1.5284,0.0588,17,0.0588,1,1,1,1,5,5,2,,,,0.2941,5,,5,5,2,,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,,,,,
Christian Kirk,HST,WR,19,No,Yes,No,18,,No,Yes,,,,0.7222,,,,,,,13,0.2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Evans,CAR,TE,15,No,No,No,13,2,No,Yes,0.1538,2,0.6923,0.1538,1,93.8,0.6705,2.7014,2.7014,0.1333,17,0.1538,2,1,2,1,13,11,4,,,,1,6.5,,6.5,5.5,2,1,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,,,,,,,,
Jalen McMillan,TB,WR,4,No,No,No,4,,No,Yes,,,,0.25,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.J. Jenkins,PHI,TE,1,No,No,No,1,,No,Yes,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Ernest Johnson,NE,RB,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Theo Johnson,NYG,TE,33,No,No,Yes,31,4,No,Yes,0.129,-6,0.3548,0.4516,-1.5,77.1,-2.6263,6.0497,6.0497,0.1212,15,0.129,4,1,3,0.75,9,13,3,1,,,0.2903,2.25,0.25,3,4.3333,1,,0.9,3.9,2.4,3.9,5.4,3.9,2.4,3.9,3.9,3.9,2.4,5.4,3.9,0.0645,,,,,,,
Jahan Dotson,PHI,WR,27,Yes,No,Yes,27,,No,Yes,,,,0.2593,,,,,,,17,0.7407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,38,Yes,No,Yes,38,,No,Yes,,,,0.5526,,,,,,,17,0.4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,33,No,Yes,No,33,,No,No,,,,0.2727,,,,,,,17,0.7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson,SF,RB,8,No,No,No,8,7,No,Yes,0.875,-11,,0.125,-1.5714,62.2,-4.2336,11.0089,11.0089,0.875,17,,6,0.8571,4,0.5714,11,25,11,,2,0.5,1.375,1.5714,,2.75,6.25,2.75,1,1.1,5.1,3.1,7.1,5.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,0.875,2,2,,,,,
Alvin Kamara,NO,RB,21,No,No,No,21,17,No,Yes,0.8095,10,,,0.5882,89.7,-0.7725,26.2255,26.2255,0.8095,11,0.0476,17,1,16,0.9412,94,88,21,,5,0.3125,4.4762,5.5294,,5.875,5.5,1.3125,4,9.4,25.4,17.4,33.4,25.4,25.4,17.4,25.4,25.4,25.4,17.4,25.4,25.4,0.9524,1,1,,,,,
Gunner Olszewski,NYG,WR,5,No,Yes,Yes,5,,No,Yes,,,,0.4,,,,,,,16,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Horn,CAR,WR,8,No,No,No,8,3,No,Yes,0.375,-11,,0.875,-3.6667,93.1,1.6866,5.4598,5.4598,0.375,13,0.125,3,1,3,1,19,30,14,,2,0.6667,2.375,6.3333,,6.3333,10,4.6667,1,1.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,,1,,,,,,
Tai Felton,MIN,WR,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Fisk,LAC,TE,9,No,Yes,No,7,1,No,Yes,0.1429,,0.8571,,,116.7,6.711,1.3923,1.3923,0.1111,10,0.1429,1,1,1,1,12,12,3,,,,1.7143,12,,12,12,3,1,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,,,,,
Ray-Ray McCloud,NYG,WR,11,No,Yes,Yes,11,,No,Yes,,,,0.1818,,,,,,,6,0.8182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Saubert,SEA,TE,10,No,No,No,5,1,No,Yes,0.2,-2,1,,-2,79.2,-3.8511,1.6469,1.6469,0.1,11,,1,1,1,1,1,3,,,,,0.2,1,,1,3,,,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,1,,,,,,
DeMario Douglas,NE,WR,23,No,No,Yes,23,3,No,Yes,0.1304,-13,,0.8261,-4.3333,79.9,0.9441,6.3355,6.3355,0.1304,17,0.1739,2,0.6667,2,0.6667,16,23,1,,2,1,0.6957,5.3333,,8,11.5,0.5,,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,,,,,,,
Cade Otton,TB,TE,35,No,No,No,31,3,No,Yes,0.0968,-1,0.4839,0.3548,-0.3333,86.1,-0.5261,4.4265,4.4265,0.0857,16,0.1613,3,1,3,1,14,15,6,,,,0.4516,4.6667,,4.6667,5,2,,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,,,,,,,,
Malik Nabers,NYG,WR,13,No,No,No,13,,No,Yes,,,,0.0769,,,,,,,4,0.9231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,18,No,Yes,No,18,,Yes,Yes,,,,0.1667,,,,,,,9,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colson Yankoff,WAS,TE,2,Yes,No,Yes,2,,No,Yes,,,0.5,,,,,,,,14,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Laube,LV,RB,2,Yes,No,No,2,2,No,Yes,1,-7,,,-3.5,95.8,1.1555,3.1361,3.1361,1,17,,2,1,2,1,14,21,13,,1,0.5,7,7,,7,10.5,6.5,1,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,1,,,,,,,
Jason Brownlee,KC,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,7,No,No,No,6,3,No,Yes,0.5,2,,0.5,0.6667,85.4,1.0172,4.622,4.622,0.4286,13,0.1667,3,1,2,0.6667,20,19,5,1,,,3.3333,6.6667,0.3333,10,9.5,2.5,,2,4,3,4,5,4,3,4,4,4,3,5,4,0.3333,,,,,,,
Blake Corum,LA,RB,14,No,Yes,No,9,9,Yes,Yes,1,6,,0.1111,0.6667,70.6,-3.0784,13.2078,13.2078,0.6429,17,,8,0.8889,6,0.6667,28,21,5,2,,,3.1111,3.1111,0.2222,4.6667,3.5,0.8333,2,2.8,8.8,5.8,11.8,8.8,8.8,5.8,8.8,8.8,8.8,5.8,8.8,8.8,0.8889,1,,,,,,
Julian Hill,MIA,TE,15,No,No,Yes,9,2,No,Yes,0.2222,,0.7778,0.2222,,79.2,-2.289,2.7755,2.7755,0.1333,14,,2,1,2,1,6,6,2,,,,0.6667,3,,3,3,1,,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,,,,,,,,
Tyquan Thornton,KC,WR,10,No,No,No,10,,No,No,,,,0.5,,,,,,,14,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,16,No,No,No,16,14,No,Yes,0.875,58,,,4.1429,113.4,4.2392,20.2453,20.2453,0.875,16,,14,1,14,1,157,99,41,,4,0.2857,9.8125,11.2143,,11.2143,7.0714,2.9286,6,15.7,29.7,22.7,36.7,29.7,32.7,25.7,29.7,29.7,29.7,22.7,29.7,29.7,1,,,,,,,1
Trent Sherfield,ARZ,WR,11,No,Yes,No,10,1,No,Yes,0.1,2,,0.5,2,79.2,-2.3344,1.3058,1.3058,0.0909,12,0.5,1,1,1,1,3,1,-1,,,,0.3,3,,3,1,-1,,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,
Evan Hull,NO,RB,3,No,No,No,2,1,No,Yes,0.5,-3,,,-3,91.7,-0.1191,1.5235,1.5235,0.3333,6,,1,1,1,1,6,9,1,,,,3,6,,6,9,1,,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1,,,,,,,
DK Metcalf,PIT,WR,49,No,No,No,49,,No,Yes,,,,0.2245,,,,,,,15,0.7755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,BLT,TE,24,Yes,No,No,23,1,No,Yes,0.0435,,0.087,0.7391,,79.2,-4.289,1.559,1.559,0.0417,17,0.1739,1,1,1,1,1,1,1,,,,0.0435,1,,1,1,1,,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,,,,,,,
Parker Washington,JAX,WR,22,No,Yes,No,22,,No,Yes,,,,0.4091,,,,,,,16,0.5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,HST,WR,5,No,Yes,No,5,2,No,Yes,0.4,-7,,0.8,-3.5,56.3,-4.3308,2.5792,2.5792,0.4,4,,1,0.5,1,0.5,-1,7,2,,,,-0.2,-0.5,,-1,7,2,,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.2,1,,,,,,
Thomas Fidone,NYG,TE,1,No,No,No,1,,No,Yes,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendre Miller,NO,RB,7,Yes,Yes,Yes,5,4,No,Yes,0.8,-2,,0.2,-0.5,92.7,0.2678,7.7304,7.7304,0.5714,7,,4,1,4,1,25,27,10,,2,0.5,5,6.25,,6.25,6.75,2.5,1,2.5,6.5,4.5,8.5,6.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,0.8,,,,,,,
Travis Hunter,JAX,WR,11,Yes,No,No,11,2,No,Yes,0.1818,-4,,0.8182,-2,118.8,7.0009,3.177,3.177,0.1818,7,0.0909,2,1,2,1,25,29,13,,1,0.5,2.2727,12.5,,12.5,14.5,6.5,2,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,0.0909,,,,,,,
