Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,InterceptionsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,TouchdownsTotal,IncompletionsThrownAway,IncompletionsBatted
Sam Howell,SEA,QB,1,1,1,1,1,1,1,0.0587,1,-2,-2,-0.5,-2,-3,Yes,No,0.0906,-0.0906,No,1,1,1,1.1,-3,79.2,No,Yes,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,2,,,,,,,,,,,,
Jameis Winston,CLV,QB,17,17,17,0.8824,13,0.7647,0.8235,-0.1112,17,107,6.2941,1.3084,3.6471,-43,No,No,3.2816,-0.0754,Yes,0.2353,1,0.7059,1.6941,-2.5294,67.5,No,Yes,3.28,3.28,3.28,3.28,3.28,3.28,3.28,2.28,2.28,2.28,2.28,4.35,3.35,12,-4,0.0588,1,2,0.1176,0.1176,0.0588,1.85,6,,,
Joe Milton,NE,QB,2,2,2,1,2,1,1,0.0582,2,4,2,2.75,2,-7,Yes,No,0.4053,-0.2027,No,0.5,1,1,1.75,-3.5,79.2,No,Yes,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,1,,,,,,,,,1,,,
Clayton Tune,ARZ,QB,1,1,1,1,1,1,1,0.0587,1,1,1,4,1,-3,No,No,0.0906,-0.0906,No,,1,1,1.1,-3,79.2,No,No,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,6,,,,,,,,,,,,
Michael Penix,ATL,QB,7,7,7,0.8571,6,0.8571,0.8571,-0.0796,7,32,4.5714,1.8438,4.5714,-28,No,No,0.8408,-0.1201,No,0.4286,1,0.5714,1.2714,-4,85.7,No,Yes,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,5,,,,,,0.1429,,,2,,,
Tyrod Taylor,NYJ,QB,5,5,5,1,5,1,1,0.0615,5,24,4.8,1.6667,4.8,-16,No,No,0.953,-0.1906,Yes,,1,0.8,1.68,-3.2,86.7,No,Yes,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,2,,,,,,,,,1,,,
Josh Allen,BUF,QB,56,55,55,0.9636,51,0.9273,0.9636,0.0262,55,361,6.5636,1.4571,7.6545,-179,No,No,5.3943,-0.0799,No,0.3091,1,0.8727,1.1436,-3.2545,112.2,No,No,26.44,26.44,26.44,26.44,26.44,29.44,29.44,26.44,26.44,26.44,26.44,30.05,30.05,17,-7,0.0364,,1,0.0182,0.0364,,2.3,13,3,,
Jake Haener,NO,QB,4,3,3,1,3,1,1,0.0624,3,11,3.6667,1.6364,3.6667,-7,No,No,0.4097,-0.1366,No,,1,0.6667,1.3667,-2.3333,81.9,No,Yes,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,8,,,,,,,,,,,,
Skylar Thompson,MIA,QB,4,4,4,1,2,0.5,1,0.0651,4,24,6,1.3333,6,-15,No,No,0.7244,-0.1811,No,,1,0.5,1.625,-3.75,68.8,No,No,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,3,-7,0.5,,,,,,,1,,,
Drew Lock,NYG,QB,22,22,22,0.9545,19,0.8636,0.9545,0.0183,22,121,5.5,1.5537,4.3636,-84,Yes,No,3.3376,-0.1517,No,0.0455,1,0.9091,1.4545,-3.8182,85.8,No,Yes,7.84,7.84,7.84,7.84,7.84,7.84,7.84,6.84,6.84,6.84,6.84,9.05,8.05,7,-8,0.0909,1,,,0.0455,0.0455,,6,1,,
